"full_name","mouse_ID","organ","sample_number","SDI","SDI_sd","SDI_separate_species","n_pixels"
"MOUSE_A_CAECUM_001a.png_RGB_XY_HSV","A","CAECUM","001a",0.767082687396676,0.0097837784075906,0.998608932011058,3589253
"MOUSE_A_PERI_001a.png_RGB_XY_HSV","A","PERI","001a",0.768342567767738,0.0155551763421005,0.998733725907136,7923
"MOUSE_A_PERI_001b.png_RGB_XY_HSV","A","PERI","001b",0.300898336277446,0.14913867858375,0.997301204881797,41886
"MOUSE_A_PERI_002a.png_RGB_XY_HSV","A","PERI","002a",0.684430226134976,0.0327178637958394,0.809810598147031,61781
"MOUSE_A_PERI_003a.png_RGB_XY_HSV","A","PERI","003a",0.437952689037127,0.0737343277260049,0.998066314680571,268977
"MOUSE_A_PERI_004a.png_RGB_XY_HSV","A","PERI","004a",0.711025309945605,0.032947682328684,0.85903337611203,195613
"MOUSE_B_CAECUM_001a.png_RGB_XY_HSV","B","CAECUM","001a",0.812278948763504,0.00403158411087829,0.999326253297648,830563
"MOUSE_B_LIVER_001a.png_RGB_XY_HSV","B","LIVER","001a",0.479132746948844,0.0799499867422202,0.998617951373198,58024
"MOUSE_B_PERI_001a.png_RGB_XY_HSV","B","PERI","001a",0.75554390730397,0.00306257149140189,0.998262764386337,2761326
"MOUSE_B_PERI_002a.png_RGB_XY_HSV","B","PERI","002a",0.869046685034566,0.00139956810362813,0.998545483501409,3355796
"MOUSE_C_CAECUM_001a.png_RGB_XY_HSV","C","CAECUM","001a",0.84716561105966,0.0051403796185987,0.998062189229842,2816929
"MOUSE_D_CAECUM_001a.png_RGB_XY_HSV","D","CAECUM","001a",0.855766762079075,0.00687312590206688,0.999066951375846,2156089
"MOUSE_D_LIVER_001a.png_RGB_XY_HSV","D","LIVER","001a",0.383868034304102,0.116292312544283,0.997261388626315,367503
"MOUSE_D_LIVER_001b.png_RGB_XY_HSV","D","LIVER","001b",0.702457266509533,0.020490018807822,0.998409238524108,253679
"MOUSE_D_LIVER_001c.png_RGB_XY_HSV","D","LIVER","001c",0.00222236522654416,0.000187109713655656,0.00372035961173922,326007
"MOUSE_D_LIVER_001d.png_RGB_XY_HSV","D","LIVER","001d",0.0274672020325919,0.0140746653987242,0.0756533744585403,69272
"MOUSE_D_LIVER_001e.png_RGB_XY_HSV","D","LIVER","001e",0.638881602678212,0.0158129844774958,0.995671250634608,85111
"MOUSE_D_LIVER_001f.png_RGB_XY_HSV","D","LIVER","001f",0.62186625306791,0.0434001041708707,0.998463475606764,193122
"MOUSE_D_LIVER_001g.png_RGB_XY_HSV","D","LIVER","001g",0.306075965679163,0.119107550067922,0.996313668113737,23636
"MOUSE_E_CAECUM_001a.png_RGB_XY_HSV","E","CAECUM","001a",0.872631894302575,0.00848738183846902,0.984452742831761,2776611
"MOUSE_E_LIVER_001a.png_RGB_XY_HSV","E","LIVER","001a",0.534123591681615,0.0345764242528191,0.999073690511272,138601
"MOUSE_E_LIVER_001b.png_RGB_XY_HSV","E","LIVER","001b",0.394357081985817,0.105428047014762,0.995694487110683,996831
