C186A1_1	C186A1_2	C186A1_3	C186A2_1	C186A2_2	C186A2_3	C186A3_1	C186A3_2	C186A3_3	C186A4_1	C186A4_2	C186A4_3	C186A5_1	C186A5_2	C186A5_3	C186CA1_1	C186CA1_2	C186CA1_3	C186CA2_1	C186CA2_2	C186CA2_3	C186M10_1	C186M10_2	C186M10_3	C186M3_1	C186M3_2	C186M3_3	C186M5_1	C186M5_2	C186M5_3	C186M6_1	C186M6_2	C186M6_3	C186M7_1	C186M7_2	C186M7_3	C186N1_1	C186N1_2	C186N1_3	C186N2_2	C186N2_3	C186N3_1	C186N3_2	C186N3_3	C186P1_1	C186P1_2	C186P1_3	C186P2_1	C186P2_2	C186P2_3	C186P3_1	C186P3_2	C186P3_3	C186P5_1	C186P5_2	C186P7_1	C186P7_2	C186P7_3
2121	2180	2065	1044	1217	1076	2419	2457	2429	1527	1656	1718	790	1466	1764	2846	3367	3217	2901	3206	2841	3598	3556	3279	2041	2841	3387	3323	3152	3044	3617	3326	3275	2616	2363	3475	1944	1584	1333	235	181	807	899	675	2024	1995	1524	1710	1844	1824	1471	1773	2227	282	256	539	454	577
3729	3735	3132	1720	1724	1722	4023	3758	4252	2364	2484	2764	1216	2580	2631	3973	4371	4777	4364	4513	4510	5016	5602	5194	2957	3901	5196	4681	5274	4513	5247	4994	4496	4146	3392	4579	2657	2714	1939	341	278	1363	1472	1186	2745	3141	2217	2471	2648	2506	2076	2569	2999	456	399	814	747	836
5236	5052	4999	2620	2749	2565	5886	6038	6403	3066	3631	4215	1746	3235	4358	5989	7024	7524	6447	6908	6742	7918	8863	8036	4383	6150	8174	6951	7494	7222	7353	7325	6707	6129	5211	6510	3688	3209	2959	425	361	2216	2222	1808	3849	4477	3291	3715	3819	3827	2943	3382	4001	537	733	1183	1165	1213
7270	7991	7410	3692	3918	3826	8457	9242	9706	4538	5474	6286	2333	5123	6354	7178	8583	9383	7590	8741	8540	9863	11080	10104	5530	7962	10333	8449	9595	9020	8611	8787	7779	7570	6729	8057	5372	4915	4234	656	540	3107	3422	2724	5319	6002	4758	5214	5267	5092	3410	4023	4660	762	916	1661	1503	1570
9063	10090	9260	4202	4653	4420	10420	11580	12226	4997	6266	7478	2817	6056	7552	7833	9429	10233	8242	9721	9328	10725	12399	10762	6129	8797	11597	9523	10628	9535	8718	9028	7903	8247	7507	8660	6386	5666	5235	775	607	3946	4235	3461	5921	6682	5338	5790	5670	5414	3262	3956	4631	849	962	1777	1575	1562
9208	11047	9446	4022	4538	4239	10850	12215	12667	5046	6209	7377	2864	6179	7498	7739	9351	9810	7938	9722	8985	10659	12019	10473	6269	8680	11226	9578	10502	9576	8219	8501	7387	8153	7264	8475	6502	5805	5091	731	604	4146	4380	3459	5731	6432	4967	5540	5270	4936	2714	3278	3952	863	840	1601	1393	1327
8660	10767	8746	3340	3789	3497	10730	11740	12127	4533	5354	6579	2592	5479	6837	6146	7588	7854	6464	7858	7106	9053	10217	8758	5371	7325	9287	7855	8735	7668	6075	6536	5138	6687	5978	6657	5974	5431	4497	603	472	3911	4249	3286	4918	5591	4386	4719	4475	4031	2033	2308	2995	728	665	1346	1172	1065
7110	9584	7335	2557	2727	2542	9093	9917	10355	3234	3832	5076	2087	4132	5243	4584	4868	5121	4414	5028	4912	6352	6711	5949	3558	4620	6427	5767	5660	4884	4385	4663	4269	4695	4529	5039	4756	4180	3658	418	310	3100	3397	2537	3925	3992	3279	3627	3484	3027	1470	1804	2227	576	480	905	743	808
5278	6150	4887	1809	1848	1845	6559	6327	7203	2538	2659	3208	1399	2870	3317	3466	3753	3447	3396	3801	2931	4438	4489	4124	2646	3600	4418	4301	4300	3535	3080	3078	2915	3148	3017	3666	3661	3329	2562	278	237	2136	1969	1702	2668	2714	2627	2502	2464	2298	1048	1258	1410	430	289	547	461	485
3278	3781	3186	1095	886	995	3540	4026	4043	1584	1445	1916	831	1907	1881	1990	1863	1751	1988	1924	1715	2517	2361	2274	1560	1983	2560	2343	2378	2045	1648	1710	1490	1827	1777	2052	2233	1948	1752	223	160	1383	1376	1096	1424	1459	1343	1203	1282	1246	612	619	724	237	158	288	247	273
