C102L3_1	C102M1_1	C102M1_2	C102M1_3	C102M2_1	C102M2_2	C102M2_3	C102M4_1	C102M4_2	C102M4_3	C102M5_1	C102M5_2	C102M5_3	C102M6_1	C102M7_1	C102N3_1	C102N3_2	C102N3_3	C102N4_1	C102N4_2	C102N4_3	C102P1j_1	C102P1j_2	C102P1j_3	C102P1b_1	C102P1b_2	C102P1b_3	C102P1c_1	C102P1c_2	C102P1c_3	C102P1d_1	C102P1d_2	C102P1d_3	C102P1e_1	C102P1e_2	C102P1e_3	C102P1f_1	C102P1f_2	C102P1f_3	C102P1g_1	C102P1g_2	C102P1g_3
792	680	588	554	1249	1496	2087	1602	2157	2473	467	541	547	252	344	0	0	0	0	0	0	2680	2554	2430	14048	16415	16728	4001	11008	13491	1370	8001	9901	5107	13545	15947	3826	5555	7199	5253	4672	6639
251	1066	1146	1100	2087	2514	2895	3447	4044	5044	1419	1478	1766	596	730	0	0	60	0	114	143	1094	1130	1216	1012	1446	1445	2205	5164	6041	2482	10889	13038	1224	2558	3158	3968	4600	6743	7770	7883	10104
112	202	219	242	422	529	650	2592	2942	3327	2092	2059	2406	231	135	52	155	217	164	485	653	159	218	214	285	293	333	948	1721	2179	465	1700	2181	260	449	608	659	746	1076	1307	1262	1647
80	84	92	127	186	231	296	705	832	992	615	574	643	76	0	132	446	853	568	1569	2154	153	107	118	376	351	411	285	660	722	120	507	711	198	351	447	335	445	585	393	332	389
132	202	202	265	484	610	610	521	666	895	478	440	460	64	96	393	1307	2378	1497	3887	4883	323	267	256	2050	2370	2485	591	1426	1695	251	1159	1624	427	918	1159	679	1064	1280	951	941	1067
340	626	602	727	1474	1818	1879	1233	1350	1774	1277	1163	1323	329	313	646	1980	3575	2212	5221	6429	527	431	411	3618	4544	5107	2168	5194	6070	887	3984	5526	1509	3322	3962	1649	2467	3216	3788	3893	4413
866	1352	1330	1779	3140	3878	4324	2509	2657	3648	3495	2927	3750	925	822	562	1789	3131	1894	4076	5370	622	587	639	8215	10423	11334	5350	12110	14497	2181	9584	13051	3644	8124	9494	2882	4274	5449	9524	9263	11861
119	192	191	243	475	612	632	3373	3451	4025	552	578	653	106	109	240	778	1310	964	1837	2410	648	668	624	1116	1305	1562	752	1468	1822	1013	3678	4668	919	1839	2077	2697	3634	4151	1224	1156	1517
0	115	141	118	351	443	556	870	766	966	174	229	227	65	59	342	1044	1488	1282	2360	3005	1068	931	1023	562	756	941	426	845	991	319	1071	1441	406	773	924	1211	1380	1496	348	360	561
0	176	212	184	485	633	800	512	549	651	253	309	291	78	71	504	1315	1820	1709	2796	3694	580	448	588	695	1010	1131	608	1151	1313	323	985	1254	452	751	874	1092	1017	1185	466	490	761
