C102L2_1	C102L2_2	C102L2_3	C102L3_1	C102L3_2	C102L3_3	C102M1_1	C102M1_2	C102M1_3	C102M2_1	C102M2_2	C102M2_3	C102M4_1	C102M4_2	C102M4_3	C102M5_1	C102M5_2	C102M5_3	C102M6_1	C102M6_2	C102M6_3	C102M7_1	C102M7_2	C102M7_3	C102N3_1	C102N3_2	C102N3_3	C102N4_1	C102N4_2	C102N4_3	C102P1j_1	C102P1j_2	C102P1j_3	C102P1b_1	C102P1b_2	C102P1b_3	C102P1c_1	C102P1c_2	C102P1c_3	C102P1d_1	C102P1d_2	C102P1d_3	C102P1e_1	C102P1e_2	C102P1e_3	C102P1f_1	C102P1f_2	C102P1f_3	C102P1g_1	C102P1g_2	C102P1g_3
2682	1815	2366	2839	1753	1932	2746	2302	4013	1789	1588	2807	498	389	253	10030	9451	10297	1116	1021	836	465	203	160	0	0	0	0	0	0	764	803	744	7368	6151	7449	2671	2306	3664	2580	2079	2832	1624	549	1075	0	193	99	7429	11227	15914
16385	10222	13951	18308	11161	13784	12110	11741	21063	11720	10752	18900	8387	8967	11901	29982	25999	29383	9044	9281	8863	7064	4746	6337	69	117	83	209	105	166	9293	7749	10093	28951	24798	30315	21578	16349	23866	23886	20600	24430	17747	7597	12682	7606	5867	7211	19384	26629	27718
8883	5706	7177	11309	6339	8061	8099	7257	13592	17332	14705	27107	21067	22283	28921	18318	16349	20690	17527	17801	17194	20862	15448	19684	80	0	211	194	108	198	22874	18612	25250	22698	20854	24948	29904	25832	30336	28098	24292	27712	29654	16503	28845	21238	17115	21001	12040	17307	25326
497	203	174	365	144	161	416	387	1359	1331	1415	2515	21430	22386	28912	5188	4872	5782	18539	17897	18666	24734	17996	22237	0	0	350	269	101	0	9378	8396	10534	3888	3886	5877	11979	9722	14644	24353	18397	22001	6017	3060	5674	26247	18891	22489	2994	4541	6483
96	0	0	165	196	429	229	81	296	55	111	214	8914	8755	12284	525	304	575	3060	2117	2419	3558	2643	3242	58	55	191	140	103	103	1118	774	966	700	423	747	1045	642	947	5285	4349	5427	1903	587	2441	8119	6537	8412	228	362	766
182	72	0	367	0	0	67	0	0	0	0	0	1278	1622	1938	0	0	0	328	168	238	346	234	270	84	0	82	184	92	133	186	0	108	155	76	225	123	140	121	775	519	632	250	56	173	846	548	882	0	0	92
0	324	446	502	338	444	382	472	550	253	237	378	492	329	612	375	286	414	311	274	453	304	210	371	306	448	608	657	547	703	499	365	221	144	255	391	93	162	378	156	309	349	0	0	293	196	256	344	368	149	379
519	0	0	621	262	349	380	361	663	415	354	579	350	170	286	425	412	478	315	335	383	553	360	614	1187	1106	1663	2076	1627	2021	444	278	87	606	290	480	573	453	517	618	368	473	578	337	367	590	508	593	403	292	607
258	127	171	450	260	255	480	363	702	663	511	929	588	532	782	638	539	669	564	449	381	675	545	591	2421	2276	3387	4050	3578	4105	537	610	444	889	547	891	1079	811	1130	963	726	909	813	243	515	1240	923	1120	309	459	759
652	364	411	754	536	509	987	704	1449	1390	1187	2117	1250	1175	1780	1361	1229	1554	1078	959	982	1389	1181	1147	4468	5015	7630	8004	7994	8657	1125	992	935	1909	1303	1979	2420	1948	2750	2356	1900	2337	1812	721	1208	2741	2317	2691	665	1344	1933
998	596	737	1154	824	879	1604	1166	2286	2150	1833	3268	1941	1782	3095	2129	1904	2430	1649	1503	1581	2029	1755	1836	6937	7428	11248	12060	11676	12568	1712	1585	1636	2785	1864	2774	3621	2680	3863	3392	2471	3195	2641	966	1813	4084	3262	4039	961	1671	2508
1281	727	930	1463	999	1113	1977	1490	2677	2505	2252	3970	2308	2146	3212	2416	2304	2922	2078	1803	2061	2244	1990	2206	8203	8509	12699	13660	13059	14076	2073	1850	2037	3251	2298	3415	4174	3151	4504	4063	2843	3676	3066	1182	2247	4803	3713	4618	1218	1905	2968
1160	670	811	1381	865	1047	1685	1434	2263	2225	2045	3475	2041	1982	2811	2073	2212	2572	1875	1526	1884	1963	1708	1935	7199	7177	10719	11640	10651	11494	1892	1605	1788	2922	2088	3024	3637	2821	3730	3534	2412	3108	2682	1069	1945	4282	3091	4001	1092	1573	2480
628	371	425	689	450	574	872	818	1235	1180	1110	1773	1115	1113	1499	1164	1175	1232	897	784	1034	1033	850	1036	3814	3490	5244	5469	4952	5814	997	768	1036	1508	1136	1656	1996	1403	1829	1856	1271	1428	1466	560	1018	2131	1347	1993	515	761	1275
