C102L2_1	C102L3_1	C102M1_1	C102M1_2	C102M2_1	C102M2_2	C102M2_3	C102M4_2	C102M5_1	C102M6_1	C102M7_1	C102N3_1	C102N3_2	C102N3_3	C102N4_1	C102N4_2	C102N4_3	C102P1j_1	C102P1j_2	C102P1j_3	C102P1b_1	C102P1b_2	C102P1b_3	C102P1c_1	C102P1c_2	C102P1c_3	C102P1d_1	C102P1d_2	C102P1d_3	C102P1e_1	C102P1e_2	C102P1e_3	C102P1f_1	C102P1f_2	C102P1f_3	C102P1g_1	C102P1g_2	C102P1g_3
57	0	63	69	148	119	119	121	57	0	0	0	0	0	0	0	0	281	170	247	224	227	206	0	0	0	432	580	552	146	94	86	219	263	132	148	84	93
139	102	153	135	266	261	286	256	137	61	70	0	0	0	0	0	0	601	461	527	555	578	485	60	120	106	716	1048	1137	396	310	267	474	597	375	386	236	266
225	274	217	177	362	319	309	340	371	177	184	0	0	0	0	0	0	722	649	652	1046	1009	885	116	371	308	720	1092	1248	997	858	869	670	809	556	793	568	546
190	420	202	144	303	273	237	316	560	277	354	0	0	0	0	0	0	539	515	480	1208	1131	1074	200	634	523	645	957	1154	1493	1280	1462	663	837	570	1329	963	943
186	349	145	122	262	214	177	205	523	284	387	0	0	52	57	50	0	243	278	191	860	788	740	229	679	558	385	615	760	1319	1143	1308	586	706	455	1353	976	953
176	238	88	70	222	135	119	71	253	173	287	118	98	137	139	125	72	79	108	58	343	291	283	183	542	426	186	293	387	742	641	748	396	509	269	1092	754	797
90	106	58	55	157	86	79	0	56	57	118	227	186	255	309	241	137	0	52	0	114	107	64	125	339	256	166	236	281	224	165	204	201	249	123	905	622	667
62	56	63	54	155	81	82	0	0	0	0	428	340	439	571	479	279	0	0	0	108	94	73	81	178	122	128	195	254	131	93	113	164	194	109	673	482	511
50	0	56	54	169	108	115	57	61	0	0	707	561	778	956	764	482	0	57	0	152	160	116	72	152	120	134	179	232	151	119	138	167	229	133	466	292	312
53	0	79	52	173	128	117	65	66	0	52	885	690	975	1245	974	641	61	51	56	177	190	138	69	164	160	101	162	215	174	155	171	184	260	165	255	201	160
61	0	57	50	150	109	113	59	60	0	0	844	676	958	1217	945	622	69	50	52	169	176	136	57	155	138	105	155	189	162	146	148	167	236	145	175	128	121
0	0	0	0	105	83	76	0	0	0	0	584	512	688	916	658	455	0	0	0	113	125	103	0	117	100	73	113	148	144	111	90	116	179	93	108	116	92
0	0	0	0	68	59	76	0	0	0	0	339	299	373	574	364	252	0	0	0	79	79	59	0	74	76	51	71	91	93	78	73	96	131	74	69	95	80
