C102L2_1	C102L2_2	C102L2_3	C102L3_1	C102L3_2	C102L3_3	C102L4_1	C102L4_2	C102L4_3	C102L5_1	C102L5_2	C102L5_3	C102M1_1	C102M1_2	C102M1_3	C102M2_1	C102M2_2	C102M2_3	C102M4_1	C102M4_2	C102M4_3	C102M5_1	C102M5_2	C102M5_3	C102M6_1	C102M6_2	C102M6_3	C102M7_1	C102M7_2	C102M7_3	C102N3_1	C102N3_2	C102N3_3	C102N4_1	C102N4_2	C102N4_3	C102P1j_1	C102P1j_2	C102P1j_3	C102P1b_1	C102P1b_2	C102P1b_3	C102P1c_1	C102P1c_2	C102P1c_3	C102P1d_1	C102P1d_2	C102P1d_3	C102P1e_1	C102P1e_2	C102P1e_3	C102P1f_1	C102P1f_2	C102P1f_3	C102P1g_1	C102P1g_2	C102P1g_3
16707	13038	8579	16233	19651	9714	2935	1549	960	324	448	0	0	0	0	16581	13317	8917	16806	18702	11130	18679	18853	12223	24118	27818	12894	21813	23010	9883	57	194	0	0	0	0	627	576	356	18688	16161	10875	14678	15407	14587	10177	20587	11829	13440	15577	8062	18081	18715	13899	25902	24998	24871
937	945	615	914	1095	513	360	338	0	0	157	116	0	61	58	1000	1113	604	877	970	693	1167	1036	722	1205	1624	696	1291	1176	572	114	198	169	315	136	281	97	0	0	2686	2669	1648	4108	4519	4600	3913	8831	4871	14399	16092	9145	5227	6194	4157	2887	2130	1979
4714	3183	2332	1374	1424	720	1015	1270	230	120	358	777	898	1362	746	1492	1335	668	3767	4344	2922	1260	1612	738	3906	4923	2462	4150	4925	1840	1022	1114	772	1163	1410	2208	531	819	276	1262	1022	775	1358	1503	1396	6440	16202	10490	6394	6099	4179	19916	29103	18055	2702	2186	1850
20793	13944	10933	7985	8641	4257	6125	5138	1169	604	1276	1466	6729	10032	5901	7913	7249	4908	18231	20968	14748	8577	8986	5371	20744	28075	12556	19404	25569	11426	5137	5150	3455	5985	6972	9825	4205	5987	2665	8427	6610	4909	7812	8536	7660	3754	5815	3285	7365	7531	3695	2133	3121	1790	15391	13246	10944
3420	2958	2229	14517	13487	7335	2784	878	655	857	1111	731	16330	22739	14028	17504	14800	11404	4164	5557	3828	16867	18862	11332	8138	10358	5252	4538	6448	2931	11467	10936	8372	14114	15476	21997	12607	16485	7788	21264	16335	12907	17707	17516	17476	4043	9487	6965	20710	20112	11828	3933	4359	3323	18740	18695	16355
2224	2452	1823	3731	3463	2093	3815	1769	1003	2006	2080	1090	5800	9021	5582	6601	5747	4037	2381	3337	2560	4233	5121	3123	3984	5083	2604	3482	4982	2236	12756	11743	9693	16418	16693	25064	3548	4533	2229	5448	4134	3433	6390	7553	7587	1318	3444	2885	4845	4355	2897	4292	4667	3645	4772	4112	3898
271	369	363	514	507	141	2593	3430	1762	4650	3659	2365	928	1462	867	755	564	324	242	312	300	370	591	259	596	848	326	749	691	222	2395	2158	1753	2825	2863	4792	401	397	128	615	286	303	658	853	641	246	482	381	656	727	287	751	1099	464	457	509	437
179	327	275	590	528	199	2676	3237	1559	4659	4188	3088	876	800	595	676	393	253	281	267	243	362	536	171	768	889	310	651	582	263	2244	1636	1050	1984	2188	3262	259	149	74	394	301	129	627	434	346	266	503	246	605	685	338	787	1146	477	485	534	314
506	448	304	665	751	390	2040	1625	1034	2213	2767	2028	1090	1085	559	1033	775	393	566	609	335	796	675	353	1136	1426	453	986	1134	422	4073	3087	1835	3712	4017	5664	463	356	0	796	660	478	943	777	632	550	1146	549	1170	1248	655	1542	2265	1145	934	1021	666
924	793	0	1036	1218	774	955	730	441	540	653	646	1527	1391	720	1284	1137	765	947	1156	0	1287	983	819	1440	2008	898	1476	1565	900	5457	4154	2459	4953	5393	7586	760	827	688	1282	1126	776	1418	1259	1083	1110	1854	1023	1900	1918	1132	2343	3287	1664	1402	1584	1286
1000	814	759	1329	1085	872	633	450	0	0	295	0	1441	1438	1127	1375	1146	1065	1102	1174	839	1469	909	1110	1217	2043	1006	1289	1363	1055	5086	3850	2800	5391	5331	7027	912	963	0	1463	1069	704	1506	1223	981	1230	1731	1048	2000	1980	1073	2210	2902	1238	1330	1450	1336
