C102L2_1	C102L2_2	C102L2_3	C102L3_1	C102L3_2	C102L3_3	C102M1_1	C102M1_2	C102M1_3	C102M2_1	C102M2_2	C102M2_3	C102M4_1	C102M4_2	C102M4_3	C102M5_1	C102M5_2	C102M5_3	C102M6_1	C102M6_2	C102M6_3	C102M7_1	C102M7_2	C102M7_3	C102N3_1	C102N3_2	C102N3_3	C102N4_1	C102N4_2	C102N4_3	C102P1j_1	C102P1j_2	C102P1j_3	C102P1b_1	C102P1b_2	C102P1b_3	C102P1c_1	C102P1c_2	C102P1c_3	C102P1d_1	C102P1d_2	C102P1d_3	C102P1e_1	C102P1e_2	C102P1e_3	C102P1f_1	C102P1f_2	C102P1f_3	C102P1g_1	C102P1g_2	C102P1g_3
86	61	64	0	0	0	149	135	197	268	146	185	131	196	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	67	0	67	54	0	0	2182	1963	1941	113	51	56	339	97	219	763	715	903
1500	822	1244	303	209	240	1781	1385	1750	3445	2253	3266	2155	2330	2164	818	736	730	1085	960	599	679	636	394	115	66	0	94	0	60	2238	2381	1925	2048	2053	1909	2271	1705	2240	2561	1975	2199	3118	1342	2204	3326	2082	2962	6431	5778	6417
4120	3090	3407	2126	1283	1413	1861	1735	1906	1488	864	1392	3629	4910	3152	3945	3895	3143	3163	3193	2514	2963	2361	1852	0	0	0	0	0	0	2518	2927	2331	6909	6751	5665	8700	7285	8609	5278	4382	4796	6339	2951	5264	9261	6820	8609	3587	2936	3890
257	230	285	1359	963	931	113	120	130	1879	1251	1816	394	389	220	2615	2001	1924	1487	1622	1371	1875	1257	1128	0	0	0	121	0	0	1842	2464	2594	3316	2993	2733	4261	3365	4086	4164	4241	4101	2886	1308	2003	1809	1596	1961	3288	3611	3615
0	59	58	218	167	177	0	0	0	182	151	176	60	0	0	1105	695	552	428	273	205	227	176	97	125	142	158	194	139	141	535	521	704	1676	1578	1717	522	407	567	1660	1561	1579	706	376	469	191	181	363	160	212	219
53	65	88	286	117	132	61	52	87	153	155	210	113	89	68	199	161	101	123	105	76	117	100	0	567	606	691	899	704	687	177	185	297	705	554	687	185	188	249	365	430	457	202	110	181	337	254	371	145	132	143
243	151	223	296	130	106	244	183	308	542	550	638	260	309	231	316	358	178	235	248	210	250	213	143	1943	2057	2202	2982	2587	2290	180	358	420	579	709	623	643	572	692	619	666	781	524	254	496	1016	779	1131	393	413	391
468	284	440	380	203	164	450	311	529	1005	948	1133	452	540	403	481	580	313	366	470	351	392	359	263	3350	3457	3743	5027	4277	3767	345	553	711	815	1154	988	1131	1017	1175	1038	1114	1223	937	410	865	1592	1311	1864	640	668	726
533	325	470	376	262	151	590	376	629	1211	1064	1245	423	593	403	500	556	354	413	472	367	448	420	318	3938	3981	4203	5611	4603	4176	420	591	816	861	1315	1054	1390	1179	1320	1140	1327	1333	1006	469	995	1720	1469	2049	819	724	693
332	142	250	206	185	67	379	241	268	661	589	681	202	366	181	196	332	184	202	232	202	316	236	200	2243	2002	2173	2765	2368	2128	231	312	386	479	747	469	672	683	651	563	757	658	616	273	506	994	749	980	397	335	386
