C6L2_1	C6L2_2	C6L2_3	C6L3_1	C6L3_2	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_1	C6L6_2	C6L6_3	C6L7_1	C6L7_2	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
205	494	278	66	59	0	114	119	0	194	85	167	333	249	193	194	135	172	174	222	200	1019	825	977	414	163	198	112	0	120	314	290	350
2638	3045	2888	508	345	230	699	525	574	2053	1180	2609	3902	2384	2089	148	148	128	67	205	280	9716	7105	7418	3797	1743	2157	907	483	860	2120	1961	1966
4388	5322	6324	1445	1156	1231	3709	2406	2790	6119	4146	6970	8091	6059	6904	345	184	382	552	621	779	24986	21626	23302	12089	6534	6890	5306	2701	3699	9131	7499	7980
3321	2674	4207	1697	1339	1594	9316	6990	7116	1230	707	1274	1071	897	986	1267	902	1393	1959	2098	2168	8863	7798	9087	7916	5403	5315	9833	5509	6312	12680	10501	11398
2072	2199	2406	1645	1156	1462	6796	4782	5268	978	398	922	479	440	754	3589	3364	5129	7066	6998	6273	13281	10450	12707	5899	3527	3902	6525	4123	5351	12955	9974	12534
3016	2772	2585	2391	1824	1896	7582	5638	5867	2062	1043	2159	1549	1169	2079	10077	10592	14644	19903	19660	18329	18254	14447	18460	3060	1692	2091	3900	2151	3323	16951	12798	16615
3758	3599	3669	2432	2037	2198	7280	6329	6529	2969	1808	3287	2958	1998	3329	16602	18358	24110	28948	28868	28701	18047	14835	19072	3509	1750	2495	4573	2236	3723	21986	16710	21225
3890	3683	4124	2321	1879	2389	7318	6244	6732	2990	2188	4141	3541	2265	3558	18843	20997	26727	28948	28868	28758	15841	13061	17105	3358	1938	2542	4892	2527	3762	22983	17597	21696
2103	1992	2280	1317	1017	1209	4380	3190	3559	1595	1085	2522	2079	1352	2152	11824	13145	16266	22459	21460	20441	8297	6363	8744	1749	1045	1252	2217	1411	2109	13002	9828	12401
484	453	436	313	161	286	1221	878	1200	414	258	754	605	244	598	3115	3329	4268	6162	5862	5214	2410	1810	2898	521	246	318	684	334	539	3718	2734	3798
88	110	76	0	0	0	248	171	283	92	58	179	153	56	152	832	755	912	1370	1093	1115	566	376	670	120	0	83	123	58	65	875	687	794
