C6L2_1	C6L2_2	C6L2_3	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_3	C6L7_3	C6N1_1	C6N2_1	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_3	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
769	292	1146	82	88	0	137	132	224	0	0	1124	312	1260	4894	1612	204	96	299
1810	1014	2663	222	277	142	352	381	384	81	52	973	551	1091	1035	862	729	548	1059
1699	928	2394	336	804	387	866	646	738	113	0	1974	1138	2203	821	1055	1470	884	1901
687	311	990	500	1290	799	1508	860	883	79	0	2569	1432	2915	879	939	2215	1246	2483
291	332	362	482	1334	1181	1565	1182	686	85	0	1144	1046	1410	1127	967	1898	1407	2218
647	344	661	720	1661	1263	1748	569	859	330	592	685	582	704	1312	1334	2417	1533	2744
410	0	450	525	1295	894	1492	456	773	1130	954	222	148	340	872	989	2150	1259	2551
130	117	213	184	1031	786	1235	211	343	1985	1622	794	517	841	627	729	2306	1430	2656
296	185	405	311	1090	850	1310	356	508	3159	2461	773	522	1058	645	724	2484	1504	2888
394	275	492	363	1191	1002	1520	443	566	3868	3064	981	640	1323	709	642	2734	1661	3207
449	302	542	426	1201	951	1391	437	530	3541	2883	1013	678	1350	644	614	2500	1511	2832
285	186	316	261	691	504	788	242	304	2036	1564	591	395	740	347	425	1368	869	1698
