C6L2_1	C6L3_1	C6L3_2	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_1	C6L6_2	C6L6_3	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
377	298	114	134	1327	848	2207	188	173	615	53	56	0	386	51	57	0	11372	8568	17501	4081	3058	5313	603	363	560	2884	2822	7397
1045	443	338	414	2798	1476	3876	118	81	253	118	145	0	415	85	0	90	5510	4445	9016	2521	2022	3999	1044	830	1349	3823	3781	10130
734	511	396	852	1060	679	1612	244	211	376	259	226	0	388	226	61	113	4239	3640	7241	1817	1130	3077	785	903	1109	1702	1766	4116
282	1062	718	1600	246	184	387	223	145	486	354	180	80	282	466	128	295	950	791	1594	338	195	515	283	198	580	457	397	1324
417	2633	1601	2242	131	96	201	207	91	346	538	445	238	394	897	371	649	426	434	833	90	90	116	73	0	56	269	218	491
484	3379	1943	2908	198	149	335	133	104	117	585	836	395	759	1831	959	1233	605	521	981	145	121	137	88	0	85	467	344	934
440	3266	1542	3163	445	308	650	149	156	137	619	1641	618	1338	2909	1652	2324	783	772	1507	274	185	236	132	78	103	739	627	1947
393	2508	1247	2290	788	633	1274	127	168	181	614	2888	1241	2568	5377	3093	4375	1385	1273	2570	526	379	539	206	158	179	1536	1252	3843
387	1482	862	1160	1059	977	1733	159	102	205	712	4060	1829	3646	7401	4262	6103	2052	1694	3612	775	519	811	264	225	293	2126	1797	5436
302	934	701	529	1173	1146	1889	149	85	240	683	4382	1927	4157	7978	4425	6620	2237	1866	4077	865	590	949	271	247	346	2248	2017	5803
206	384	321	251	912	938	1514	126	57	202	415	3500	1596	3402	6133	3742	5435	1908	1633	3692	754	462	790	242	205	330	1820	1680	4615
120	173	148	0	492	522	799	77	0	139	142	1849	805	1879	3154	1809	2967	1135	827	2151	455	264	407	120	112	218	1014	888	2378
