C6L2_3	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_2	C6L6_3	C6L7_1	C6L7_2	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
2057	0	274	310	886	373	1594	1541	1248	1375	63	54	112	61	88	232	6292	5872	14326	3807	2040	7203	692	880	1799	432	445	1379
1928	181	641	753	2050	616	1773	1163	1286	1543	0	82	122	95	129	338	8571	7577	18388	4712	2796	9571	699	1121	2998	1091	1004	3302
1518	395	1237	1402	3515	537	1177	560	706	1031	231	265	507	393	344	822	7799	6288	15849	4049	2729	9379	763	1331	3648	2242	1954	6189
1283	775	1670	1841	4912	333	542	205	206	667	784	815	1463	1029	990	2467	4870	3820	9351	2527	1716	5958	758	1124	2911	3353	3067	8435
1211	964	1981	2142	5396	348	411	215	143	690	1781	1791	3405	2415	2390	6258	2870	2023	5215	1263	675	2819	714	834	2157	4055	3983	11683
1297	973	2119	2036	5154	675	502	335	259	805	3678	3456	7271	5025	4690	12846	3026	2362	5745	1090	425	2205	599	627	1263	4949	5369	13918
1434	678	2204	1894	5177	1007	888	490	436	913	6149	6426	12673	9103	9175	22147	3933	2861	7243	1219	489	2513	614	610	1130	6160	7110	17071
1447	403	2129	1803	4973	1120	1207	635	527	942	7634	8082	16461	11527	12491	22042	4443	3534	8477	1308	555	2683	624	570	1222	6760	7846	18010
1222	233	1692	1359	4222	937	1231	654	495	676	7065	7803	15568	10926	12295	22178	4024	3198	7346	1027	527	2528	507	428	1095	6066	6931	16013
612	0	1169	991	2579	555	833	514	317	327	4887	5334	10961	7835	8723	21647	2429	2133	4852	711	387	1756	297	237	695	4170	4480	9825
293	0	659	536	1453	238	330	321	187	150	2425	2145	5335	3887	4106	10210	1449	1214	2481	355	238	1110	158	97	369	2490	2282	5472
130	0	312	211	650	91	175	161	73	63	1024	953	2141	1799	1860	4095	656	513	1066	150	116	462	90	0	166	1150	925	2234
