C6L2_1	C6L2_2	C6L2_3	C6L3_1	C6L3_2	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_1	C6L6_2	C6L6_3	C6L7_1	C6L7_2	C6L7_3	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_1	C6P1b_2	C6P1b_3	C6P1c_1	C6P1c_2	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
0	0	442	0	0	2585	827	0	1321	0	0	312	0	0	2070	0	0	343	0	0	0	0	0	1601	0	0	3061	0	0	6251	0	0	3083
1458	571	2750	7504	3141	8588	4787	2066	6855	508	383	1549	4868	1881	9244	344	66	1044	0	0	74	4964	2517	9812	7853	4100	13100	6253	3211	18310	5089	3077	12647
4206	1646	6619	8334	3723	12528	8645	4197	12436	2038	1182	4873	12484	6015	21423	760	222	1923	142	75	322	7671	4360	15543	11129	5669	17877	6333	2800	16364	6694	4340	14361
5666	2064	8269	4516	1554	5200	4936	2856	8095	3969	2232	8693	20264	9976	26419	1553	532	2832	430	251	757	3425	1878	6715	4347	2464	7256	5068	2031	10439	5077	3444	10675
3592	1389	5523	1561	381	1690	3258	1852	4647	4489	2210	8270	21030	10177	26512	2268	746	3676	1024	659	1803	3029	1667	5604	3021	1421	4166	1398	535	2684	3407	2294	5928
888	460	1542	697	179	714	902	476	1055	1599	1060	2458	11338	4961	19187	2550	837	4160	1632	1005	2917	1574	879	2906	1545	676	2232	305	146	538	1120	677	2454
938	258	1169	868	258	950	1024	542	1411	856	373	1442	6973	2773	11632	3295	1060	5213	2776	1573	4818	885	454	1688	1352	567	1613	335	224	656	1263	655	2937
970	329	1291	1167	396	1476	1342	573	2059	859	477	1769	4432	1579	7259	4499	1475	6728	4113	2552	7417	1033	511	2123	1406	575	1797	523	253	1073	1839	1015	4503
1011	339	1311	1336	412	1488	1332	633	2092	782	480	1920	2692	919	4210	4305	1792	6639	4140	2730	8101	959	538	2098	1075	455	1547	578	341	1524	1964	1118	4641
618	198	755	728	299	942	757	416	1218	437	317	1304	986	418	1501	2756	974	3749	2577	1739	5325	578	371	1230	560	243	614	350	233	938	1165	753	2872
291	88	269	337	135	319	340	163	407	196	157	609	184	50	262	1113	387	1306	1054	777	2182	248	165	410	191	67	106	188	97	439	499	330	1110
