C6L2_3	C6L3_3	C6L5_1	C6L5_2	C6L5_3	C6L6_3	C6L7_1	C6N1_1	C6N1_2	C6N1_3	C6N2_1	C6N2_2	C6N2_3	C6P1a_1	C6P1a_2	C6P1a_3	C6P1b_3	C6P1c_3	C6P1d_1	C6P1d_2	C6P1d_3
156	0	518	478	785	249	774	0	0	0	0	0	0	10052	8031	14486	6514	495	770	432	935
953	220	1881	1962	3203	228	498	62	0	74	0	0	0	6982	4714	7951	6189	1971	7094	3706	7179
581	0	975	801	1659	342	709	165	68	230	124	0	96	500	419	524	1166	647	2892	2097	3599
567	55	1466	1236	2067	148	106	636	294	416	687	232	715	237	154	273	410	553	4000	3157	4748
386	174	1013	848	1556	314	88	2009	1052	988	2612	963	2536	771	579	1151	322	217	2524	1950	2971
546	302	1705	1226	2355	538	135	4892	2676	2115	6212	2383	5742	1853	1505	2717	497	193	4363	3396	4960
458	316	1955	1445	2519	522	179	5488	2997	2356	6232	2335	5865	1896	1587	2729	594	201	4369	3444	5074
296	244	960	657	1200	301	185	3586	1771	1519	4009	1528	3514	1059	946	1555	498	210	2382	1755	3407
256	217	800	592	946	191	209	2994	1492	1245	3221	1340	2793	808	782	1249	493	242	1991	1419	2817
225	142	750	407	771	129	179	2232	1138	1015	2382	997	1908	631	599	884	366	215	1517	980	1963
