C80M1a_1	C80M1a_2	C80M1a_3	C80M1b_1	C80M1b_2	C80M1b_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
235	276	252	219	173	176	495	326	480	541	523	361	192	280	259	119	176	127	91	171	100	213	184	216	258	302	287	176	138	165	518	438	556	399	400	262
509	647	530	490	398	398	1275	794	1114	1210	1154	734	336	625	599	228	348	231	243	416	235	469	412	481	622	637	627	371	346	351	1285	1017	1388	854	993	686
1011	1173	1040	863	708	799	2541	1541	2107	2310	2219	1462	578	1182	1153	452	550	453	559	887	504	851	894	997	1092	1187	1122	621	595	664	2266	1909	2698	1663	1935	1334
1801	2228	1959	1327	1296	1391	4522	2656	4162	3767	3883	2619	965	2166	2246	901	883	833	1041	1548	840	1602	1577	1920	1863	2240	2105	1060	995	995	4145	3459	4989	2942	3552	2533
2508	3200	2732	1614	1700	1747	6575	4529	6473	4602	4777	3375	1249	2951	3190	1501	1505	1277	1760	2423	1344	2478	2694	3157	2582	3154	3091	1401	1299	1133	5652	4551	6587	4098	4828	3661
2767	3525	3068	1560	1699	1693	7561	5795	7734	4155	4272	3131	1244	2941	3535	1897	1972	1616	2151	2890	1691	2961	3420	3923	2761	3457	3355	1368	1283	1067	5668	4609	6574	4235	5215	3972
2527	3084	2762	1142	1300	1252	7225	5786	7353	2914	2962	2060	931	2300	3085	1866	1988	1519	2163	2687	1633	2891	3333	3989	2280	2866	2942	1015	986	677	4528	3416	5067	3596	4398	3354
1870	2076	1935	621	758	678	5394	4444	5553	1658	1547	1172	446	1261	1824	1277	1515	966	1539	1858	1025	2072	2296	2723	1458	1874	1809	516	464	302	2897	2068	3182	2279	2720	2051
1004	994	982	324	398	344	2972	2169	2796	1039	1055	882	158	551	833	527	570	405	656	782	413	952	904	1070	577	753	813	239	194	128	1799	1309	1752	1132	1167	897
387	368	378	126	167	117	1357	943	1070	594	605	486	0	194	260	197	180	137	230	329	140	328	324	354	201	258	261	118	52	63	967	682	817	427	418	284
