C80M1a_3	C80M1b_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
2205	9297	511	446	611	508	292	417	373	259	475	978	423	996	1281	521	1297	1129	184	1033	538	336	792	496	119	175	738	433	854	1008	0	639
4067	7597	1057	1037	1407	1124	630	877	906	666	912	1997	988	1956	2473	1224	2501	2186	464	2528	1319	738	1786	596	320	420	2078	1065	2041	2280	84	1541
5014	2005	2122	2164	3237	2225	1341	1665	1632	1494	1812	3975	1793	3325	4812	2756	4331	4352	944	4791	2443	1542	4117	1075	648	906	4267	1931	4899	4944	153	2870
6178	256	4558	3804	6242	3640	2561	3542	3186	2792	3531	6432	3237	5393	8255	4610	7348	7767	1570	8433	4340	2227	7426	2078	1000	1797	8475	3882	9085	8187	542	5683
7177	90	7969	7171	11050	6825	4752	6986	5839	5713	6207	7529	4109	6389	10463	5844	8605	10358	1922	10615	6973	3874	11460	3696	1906	3556	16279	6833	16642	13663	1825	9410
8151	232	10992	10006	15841	10149	7618	11392	8220	8848	8993	7214	4105	6407	9687	5353	7784	10082	1651	9767	8854	4991	14003	5618	2803	5334	22868	9568	23388	16055	2709	11617
7287	237	12383	11343	17756	12184	8908	14028	9807	10085	9808	4973	2817	4380	6978	3448	5572	6761	985	7154	8422	5096	13472	6409	3490	6525	26391	10194	24708	15396	2667	11926
5072	157	11267	10477	16921	11442	8476	13864	9350	9427	8925	3566	2069	3051	4778	2394	4027	4690	615	4691	7428	4422	11331	5968	3326	6200	23701	9407	23140	13233	2212	10303
607	68	7448	6899	11075	7249	5309	9492	6577	5778	5236	2140	1195	2187	2892	1387	2589	2809	373	2536	4467	2544	6676	3904	1811	4078	14761	5882	13597	7559	697	6617
70	0	1765	1879	3001	2042	1385	2258	1642	1476	1578	795	408	741	1037	532	859	901	157	993	1379	671	2162	1111	427	944	4838	1829	3540	2793	84	2017
