C80M1a_2	C80M1a_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
842	805	1949	2308	2845	1913	2066	1878	2480	1617	3715	1714	654	1526	2892	3411	2784	3859	2970	4149	2991	3453	3048	2431	3373	3517	3264	2449	2796	1753	2027	3421
2287	2417	5211	6206	7656	4755	4905	4092	5975	4034	9273	4735	2314	3886	7949	9046	7970	10695	8089	10603	8436	8031	8131	5461	8307	7358	7465	6381	7373	4311	5403	8361
3927	4995	11532	14546	15214	9332	10927	8628	12059	8422	15967	8298	6024	5300	13651	19869	17461	19471	14838	15197	16895	17996	14999	10465	17539	14428	16373	13072	13864	8002	11547	14416
5175	7035	16980	21622	22855	13643	15907	13043	16699	12545	23036	13271	10702	9828	21147	20125	18812	19674	14964	14461	22497	22536	22921	15102	22231	21315	24223	20830	21743	12176	17600	21617
4925	7384	17040	22478	24134	14364	16570	13886	17880	13388	23247	16060	13359	11853	24118	19905	18861	19232	14955	14553	22477	22557	23159	16548	22185	24280	24208	22727	23248	13962	18627	22913
2489	4597	10765	15663	14951	10148	11862	9624	11517	8744	16947	12744	10726	10661	19100	19785	18850	19719	14183	13702	22146	19687	20323	13225	16813	17321	21354	17166	20047	10099	13638	16513
1298	2747	4972	7397	6999	6168	6889	5948	7122	4746	12337	7821	6759	7571	13333	18054	18808	19457	14513	14621	15356	11962	14852	9303	8808	10044	13239	11576	15049	6975	8798	11200
1114	2609	4249	5410	4986	5140	5873	5134	5876	3691	11403	6639	5532	7442	11847	13416	17760	18054	14754	15189	13009	10254	12932	7960	7809	8542	11628	9346	13246	5518	6497	8805
960	1844	3075	4797	4334	4057	4879	3557	4645	2922	9665	6258	4828	7975	11824	12574	16637	14965	18697	17552	10533	7270	9724	5684	5574	5263	8573	7384	11190	4729	5875	8003
465	983	1878	2380	2278	2238	2524	1962	2301	1439	5229	4418	3569	4798	7551	7406	11115	10477	11739	14959	6117	3625	5262	2657	2793	2442	4966	3632	6057	2414	2879	4129
53	247	553	758	718	550	710	497	587	297	1205	1580	1400	2272	2816	2767	3863	3932	4314	5655	2034	1164	1634	702	749	658	1230	880	1870	811	836	1340
