C83L1_1	C83L1_2	C83L1_3	C83L2_1	C83L2_2	C83L2_3	C83L3_1	C83L3_2	C83L3_3	C83L4_1	C83L4_2	C83L4_3	C83L5_1	C83L5_2	C83L5_3	C83L6_2	C83L6_3	C83L7_1	C83L7_2	C83L7_3	C83L8_1	C83L8_2	C83L8_3	C83L9_1	C83L9_2	C83L9_3	C83N1_1	C83N1_2	C83N1_3	C83N2_1	C83N2_2	C83N2_3	C83N3_1	C83N3_2	C83N3_3	C83P1a_2	C83P1a_3	C83P1b_1	C83P1b_2	C83P1b_3	C83P1c_1	C83P1c_2	C83P1c_3	C83P1d_1	C83P1d_2	C83P1d_3	C83P1e_1	C83P1e_2	C83P1e_3	C83P1f_1	C83P1f_2	C83P1f_3
406	218	907	363	248	810	254	176	196	102	126	336	225	153	411	201	425	237	139	759	351	135	372	175	238	657	217	179	435	169	169	388	132	135	337	192	583	422	443	1092	409	362	1207	593	368	1237	453	614	1427	1151	1348	2722
736	485	1991	813	531	1790	466	337	445	242	261	666	503	319	874	406	972	517	290	1612	609	304	763	350	443	1405	562	496	1077	423	461	1019	338	360	893	490	1239	740	835	2229	840	832	2587	1251	775	2591	1008	1378	3292	2357	2628	5360
1310	922	3730	1495	971	3250	792	589	849	446	480	1127	939	618	1680	704	1711	942	529	2927	1078	651	1402	631	782	2534	1143	1025	2470	892	995	2368	726	790	1832	865	2310	1199	1315	4128	1589	1564	4956	2348	1530	4990	1986	2789	6236	3673	4362	8771
2341	1673	6568	2547	1913	5644	1386	1024	1536	759	941	1905	1623	1092	2726	1243	3241	1565	1044	5184	1529	1179	2535	1175	1404	4391	2207	1931	5287	1698	1969	4174	1288	1463	3240	1636	3727	1861	2042	7065	2754	2940	8930	4227	3000	9510	3799	5438	11718	4294	4969	10748
3191	2253	8956	3497	2702	7702	1889	1527	2607	1108	1382	2638	2343	1644	3858	1770	4690	2220	1504	6646	1857	1450	3318	1575	1876	6140	3616	3526	9543	3051	3352	8223	2468	2748	6035	2562	6553	2278	2586	8869	3908	4512	12800	5803	4164	13569	5578	8040	17624	3697	4259	9525
3409	2363	9678	3727	2804	8406	2092	1784	3365	1221	1623	3008	2671	1976	4449	1907	5157	2448	1684	6749	1759	1401	3382	1713	1921	6306	5844	5846	15526	4892	5276	12938	3933	4184	9622	3068	8571	2340	2500	8991	4417	5365	14412	6445	4499	14820	6419	9462	20938	2381	2641	6162
2859	1918	8191	2912	2214	6756	1759	1690	3441	1118	1426	2751	2366	1782	4079	1555	4408	2083	1427	4971	1295	999	2440	1388	1516	5161	7172	7303	19271	6113	6465	15679	4838	5123	11854	2866	8768	1812	1825	6747	3967	4959	12818	5301	3638	12252	5928	8647	19363	1495	1664	3666
1635	1052	4630	1424	1081	3470	1094	1161	2656	699	865	1838	1581	1142	2793	847	2742	1249	685	2389	660	533	1243	786	764	3119	6861	7012	18662	5805	6237	14612	4708	4863	11410	2036	6521	989	881	3394	2536	3313	7917	2879	2003	6653	3939	5976	13769	1316	1446	3571
889	467	1881	683	491	1405	630	542	1352	335	380	851	815	518	1433	388	1484	666	331	1137	328	307	611	461	380	1638	4558	4715	12485	4075	4264	9651	3223	3257	7722	979	3532	520	421	1776	1436	1552	3712	1330	986	3115	1939	2785	7167	1022	1145	2807
504	196	833	337	177	564	330	208	575	159	157	343	411	283	795	181	906	400	154	527	131	164	356	214	169	652	1999	1712	4816	1638	1732	3700	1383	1398	3438	495	1642	281	164	864	614	760	1808	620	549	1285	944	1117	3480	616	733	2114
231	80	304	144	62	176	157	53	147	70	69	123	180	116	344	81	505	219	0	252	50	88	218	109	73	223	686	710	2047	653	764	1415	490	519	1397	170	660	116	0	412	250	287	753	279	257	398	285	393	1325	264	367	1180
