C84L10_1	C84L10_2	C84L10_3	C84L11_1	C84L11_2	C84L11_3	C84L12_1	C84L12_2	C84L12_3	C84L14_1	C84L14_2	C84L14_3	C84L3_1	C84L3_2	C84L3_3	C84L4_1	C84L4_2	C84L4_3	C84L5_2	C84L6_1	C84L6_2	C84L6_3	C84L7_1	C84L7_2	C84L7_3	C84L9_1	C84L9_2	C84L9_3	C84N1_1	C84N1_2	C84N1_3	C84N2_1	C84N2_2	C84N2_3	C84P1a_1	C84P1a_2	C84P1a_3	C84P1b_1	C84P1b_2	C84P1b_3	C84P1c_1	C84P1c_2	C84P1c_3	C84P1d_1	C84P1d_2	C84P1d_3
371	288	292	712	563	562	578	627	670	166	189	175	404	415	392	448	291	345	312	316	121	185	76	289	76	1119	1470	1243	479	666	770	984	554	815	1326	1449	1583	850	1609	1627	1440	1648	1917	888	1323	938
694	670	671	1362	1155	1164	1308	1470	1568	288	336	345	747	692	682	903	747	705	770	509	275	435	237	504	215	2400	3264	2900	734	1565	1787	2015	1349	1838	3069	3409	3542	2042	3707	3816	3262	3968	4323	1972	2873	2130
1179	1344	1195	2713	2296	2016	2291	2884	2886	474	610	756	1402	1258	1139	1762	1386	1263	1390	762	588	859	560	900	553	4563	6873	5643	1171	3242	3527	3600	2844	3492	5958	6755	6749	4196	6822	7272	6998	8337	8684	3861	5819	4294
2163	2467	2121	3752	3166	2355	4383	4996	5173	682	963	1120	1850	1676	1590	2805	2192	2455	2615	1075	1200	1574	1201	1472	1274	7097	10175	8841	1773	5842	6717	6625	5346	6187	12091	12437	13250	7640	12016	13124	12609	15185	15709	6808	10188	8299
2813	3017	2858	3834	3159	2028	6006	6941	6896	816	1170	1374	2031	1845	1759	3255	2710	3463	3431	1361	1740	2309	1803	2062	1972	8125	11012	10843	2229	9690	11039	10215	8652	9638	16592	16656	18165	10480	16590	17301	16380	20812	20676	9025	13157	10764
2814	2947	2929	2518	2279	1257	6502	6864	7027	819	1038	1231	1736	1673	1563	2834	2508	3790	3277	1614	1901	2531	2098	2306	2198	6944	9354	9604	2492	11808	13565	12155	11012	11935	18016	17061	18326	10519	16771	17933	16144	21218	21281	8701	13085	10769
2133	2487	2471	885	1047	448	5240	5447	5122	587	640	767	1037	1213	1038	1884	1684	3049	2395	1468	1577	2060	1786	1961	1853	4299	5378	5919	2151	11349	13023	11629	10401	10968	14176	12985	13309	8362	12479	13577	11548	15905	15510	6103	9025	7758
1219	1654	1584	320	431	251	3100	2950	2978	232	231	317	609	663	584	906	666	1341	1073	946	872	1049	1006	1055	1119	1855	2154	2522	1369	7566	9072	8203	7549	7419	7935	7333	6077	4599	6059	7011	5362	7971	6897	2418	3755	3298
700	864	777	161	166	139	1608	1280	1671	96	123	129	309	347	285	436	255	515	577	441	302	459	368	342	433	982	1007	1263	792	3444	4020	3911	3494	3406	3454	3402	2794	1710	2383	3045	2130	3150	3080	869	1580	1389
194	0	309	74	55	71	671	538	627	0	0	60	103	148	105	183	61	183	200	201	113	146	143	82	164	368	336	549	315	1428	1617	1623	1468	1388	1302	1191	908	566	589	1025	618	1047	1085	355	465	464
