C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_1	C89L6_2	C89L6_3	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N1_3	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1	C89P1i_2	C89P1i_3
395	167	359	161	375	558	592	576	708	859	717	803	1024	557	175	345	401	345	1117	884	1221	1088	556	1033	726	345	673	333	890	1232	1108	845	1054	1132	867	1278	439	315	287	296	376	158	787	559	451	415	454	615	579	611	727	745	596	1184	717	836	1209	785	603	856	868	648	1425	959	705	1378	511	419	703	942	870	1424	219	270	370
1137	383	901	937	693	1277	1360	1299	1390	1921	1641	1631	2292	1312	452	606	860	805	2951	1962	3111	2894	1375	2526	1918	723	1546	840	2150	3023	2790	2042	2393	2491	2039	3115	1111	604	621	597	693	293	1900	1123	1013	931	914	1453	1303	1404	1641	1884	1447	2799	1761	2014	2707	1860	1487	1945	2294	1605	3018	2133	1458	2910	1191	1006	1447	2107	2045	3221	441	550	716
2317	790	1739	1767	0	2447	2934	2807	2693	3831	3296	4188	4535	2894	1122	1036	1460	1560	5961	4354	6369	5879	2915	5510	3544	1535	3061	1639	4356	6043	5970	4278	4958	4715	3227	6523	2096	1249	1271	1005	1149	601	3650	2123	2022	1854	1938	2990	2703	2915	3311	4110	3130	5741	3514	4048	5600	3746	3147	4318	4601	3352	6123	4218	2872	5660	2429	2175	2748	4103	4145	6053	935	1089	1458
5017	1818	3904	3717	3287	4945	6117	5872	5543	8177	7651	9030	9776	6580	2949	2171	3721	3242	12432	9638	13857	12913	6809	11655	7384	3443	6419	3927	9292	12666	12115	9677	10670	10836	8473	14413	4158	2545	2881	2050	2657	1480	7347	4305	4497	3688	3725	5856	5199	5830	5907	9073	7229	12832	7983	9082	12078	8049	7284	9359	10030	7319	12421	9102	6150	11279	5350	4969	6673	8945	8845	12605	1887	2566	3072
7547	2844	6000	5605	5089	7590	9481	9280	8756	12624	12085	13920	14724	10431	4760	3097	5732	4810	18484	14734	20656	19345	10515	17457	10643	5030	9365	5893	14320	18478	17758	14574	15801	16303	12840	21308	6349	3995	4467	2913	4031	2256	10916	6416	6769	6495	6892	10530	9475	10345	10254	13968	11500	19360	12178	13936	18321	12219	11126	14252	14923	10939	18616	13970	9238	16822	8471	7866	9837	13608	13507	18647	3040	3926	4641
8930	3584	7145	6640	6311	9205	11438	11172	10883	15559	14974	16618	17700	12349	5829	3610	6784	5445	21634	17095	24571	22300	12307	20276	12353	5782	10645	7161	16816	21566	20312	16590	18201	18697	15120	24593	7425	4822	5292	3377	4795	2719	12776	7588	8207	8873	9545	14277	12605	13760	13552	16813	14076	23464	14654	16646	22001	14493	13318	17291	17141	12594	21573	16755	11178	20981	10283	9584	11887	16188	15919	21600	3847	4622	5278
7636	3245	6228	5793	5767	8320	10225	9842	9915	13876	13510	14850	15659	10857	5134	3151	6099	4509	18492	14077	20469	18164	10304	16740	10142	4739	8726	6093	13937	17898	16335	13090	14993	15368	12193	19945	6765	4359	4781	2966	4111	2369	10971	6452	7088	8828	9555	14461	12484	13586	13488	15069	12393	20475	12821	14901	19776	12761	11660	15906	14293	10456	18045	14972	9772	18948	9266	8365	10506	13782	13890	17944	3621	4206	4507
4175	1900	3877	3289	3012	5042	6126	5711	6119	8281	8056	8898	9084	6008	2933	1777	3354	2519	9704	6894	10417	8890	5092	8659	5151	2553	4270	3214	6884	8948	8365	6078	7342	7509	5507	9853	4015	2609	2686	1741	2249	1348	6313	3646	3766	6000	6730	10062	8612	9275	9291	9228	7352	12063	7549	8673	11975	7405	6655	9475	7233	5269	9419	8947	5688	11690	5291	4802	6288	7622	7590	10078	2212	2321	2602
1205	330	792	833	953	1147	1540	1151	1466	2308	2034	2137	2057	1292	610	411	878	513	2356	1379	2276	2235	1157	1773	1299	478	1131	832	1444	1784	2077	1251	1412	2061	1279	2317	1012	575	621	431	487	244	1594	699	837	1672	2240	3404	2497	2986	3002	2258	1878	3271	1754	1877	3158	1675	1283	1954	1834	1174	2093	2662	1402	3592	1144	1084	1748	1565	1264	2746	483	395	516
279	65	211	150	148	321	290	213	243	427	387	448	440	221	152	0	175	129	466	327	395	377	210	378	276	66	201	116	236	434	1596	308	278	329	233	437	230	61	146	70	96	0	335	135	243	360	399	689	596	599	813	403	274	928	370	443	610	339	231	363	407	197	455	552	365	731	264	290	325	355	304	527	0	80	108
