C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_1	C89L6_2	C89L6_3	C89M1a_2	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1
692	930	860	756	359	432	316	342	301	767	528	416	754	848	781	290	181	294	240	1570	2124	2184	2351	1440	2728	652	890	777	1409	1299	1303	1651	1396	1321	1897	1654	1478	402	384	313	410	206	231	483	253	378	607	742	409	414	358	740	652	854	1023	827	737	736	700	423	1373	1123	801	1548	1331	1198	1660	1783	2107	760	750	952	135
1717	2043	2155	1589	898	934	906	891	714	1658	1295	1105	1966	2160	1914	505	448	565	545	3962	5193	5014	5646	3561	6456	1538	2104	1562	3362	3130	3082	4025	3436	3200	4641	4042	3511	839	888	663	833	583	657	937	639	781	1853	1995	1159	1134	1055	1885	1730	2100	2438	2060	1801	1828	1700	1067	3283	2704	1933	4053	3106	3089	4191	4166	5576	1860	1641	1967	312
3913	3994	4704	3018	2002	1767	1984	1885	1447	3251	2634	2311	3983	4463	4184	930	856	1054	934	9090	12484	11775	13942	9113	14678	3477	4735	3465	8038	7649	7429	9286	8620	7738	10619	9722	8740	1566	1690	1333	1459	1182	1578	1709	1510	1565	4593	4572	2847	2665	2558	4084	3757	4275	4986	4174	3676	4058	3738	2354	7099	6154	4148	8172	6741	6638	8617	9115	10508	3749	3431	4140	584
7043	7451	8729	5498	4202	3640	3942	4157	3029	6078	5359	4959	8173	8764	8166	1393	1578	1839	1551	16155	21668	20971	24732	16310	24909	5980	7854	5941	13882	13679	12799	15945	14776	13431	17599	17038	14975	2926	3389	2481	2263	2360	2860	3061	2890	2522	9130	9127	5654	5263	4982	8051	8157	8004	10161	8287	7560	7746	7219	4640	11488	10711	7174	15572	13741	12642	16807	18323	21245	7035	6577	7338	873
8943	10054	11322	7181	5859	5137	5454	6347	4621	8400	8019	7548	11241	12089	10632	1591	2193	2268	1917	19765	26013	25419	25204	20120	25918	7213	9147	6902	16962	16939	15199	19843	17161	15969	21209	20772	17519	4161	5170	3386	2747	3190	3579	3818	3923	3321	17624	18266	10900	10763	9250	11689	12096	11661	14262	12168	10731	10526	9831	6556	13501	13420	8976	21335	18808	17646	23639	24840	24048	9593	8430	9467	1146
8359	9718	10865	6906	5781	5313	5959	6949	4938	8744	8343	8563	11275	12340	10360	1336	2253	2107	1635	16990	23829	22427	25310	17152	25737	6327	7625	5944	14258	14291	12406	16844	14384	13365	18222	17103	14872	4292	5277	3619	2653	3144	3384	3639	3599	3114	24613	24871	15410	14763	13089	12977	13331	12364	14557	12413	10879	9973	9272	6542	11883	11757	7716	22422	18481	18450	23282	24425	24082	9472	8419	8909	1253
6037	6792	7914	5161	4048	4198	4690	5329	3960	6707	6505	7490	7958	8709	6932	820	1292	1404	869	9099	13242	11794	14698	9476	14575	3535	3986	3243	7952	7715	6406	8955	6835	7126	9523	9072	7491	3578	4248	2808	1892	2093	2180	2512	2229	1898	24586	25021	15766	15762	13885	10513	10656	10116	10871	9498	8080	6592	6192	4470	6725	6545	3963	16989	13922	14079	16720	17697	19377	6397	5868	5780	1021
3154	3142	3841	2971	1981	2405	2662	2823	2187	3722	3511	4700	4070	4340	2969	381	370	669	218	2844	4024	4021	5227	3160	5256	1337	1239	1184	2595	2388	1955	2775	2098	2185	3045	2733	2450	2193	2572	1502	966	1004	890	1207	842	727	19882	20143	12177	11615	10828	6402	6077	6002	5697	4802	4442	2690	2397	2090	2461	2182	1301	8899	7035	8151	7962	8647	9020	3034	2753	2717	676
1346	1417	1726	1256	975	1024	1071	976	845	1585	1335	1614	1860	1641	1259	167	124	302	79	952	1400	1348	1856	1056	1951	556	464	446	898	702	629	1037	572	762	907	889	746	831	908	554	395	412	403	476	381	318	8626	8803	5532	4913	4803	2443	2164	2471	2285	1951	1851	1086	864	848	892	768	392	3900	3044	3346	3445	3674	3882	1216	1200	1166	294
413	430	582	378	368	333	345	335	256	473	388	435	568	443	382	59	0	115	61	237	379	336	459	339	586	238	102	132	229	158	157	353	119	169	224	195	177	216	236	178	111	126	121	142	119	97	2759	3197	2006	1674	1867	728	617	813	588	581	599	255	199	280	216	227	124	1362	1002	1083	1099	1260	1296	340	354	360	82
106	103	186	80	94	55	102	94	72	103	124	101	143	58	67	0	0	0	0	63	85	76	113	60	152	112	0	50	68	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	888	555	410	548	202	185	220	96	128	112	0	0	63	58	0	0	380	257	285	232	315	361	92	102	79	99
