C90L1_1	C90L1_2	C90L1_3	C90L2_1	C90L2_3	C90L3_1	C90L3_2	C90L3_3	C90L4_1	C90L4_2	C90L4_3	C90L5_1	C90L5_2	C90L5_3	C90M1a_1	C90M1a_2	C90M1a_3	C90M1b_1	C90M1b_2	C90M1b_3	C90M1c_1	C90M1c_2	C90M1c_3	C90N1_1	C90N1_2	C90N1_3	C90N2_1	C90N2_2	C90N2_3	C90N3_1	C90N3_2	C90N3_3	C90N4_1	C90N4_2	C90N4_3	C90P1b_1	C90P1b_2	C90P1b_3	C90P1c_1	C90P1c_2	C90P1c_3	C90P1d_1	C90P1d_2	C90P1d_3	C90P1e_1	C90P1e_2	C90P1e_3	C90P1f_1	C90P1f_2	C90P1f_3	C90P1g_1	C90P1g_2	C90P1g_3	C90P1j_2	C90P1j_3	C90P1k_1	C90P1k_2	C90P1k_3
346	375	1093	166	322	521	426	1449	248	368	758	249	344	1208	984	713	2335	966	985	2724	913	823	1969	772	692	1911	721	425	1708	737	447	1438	572	476	1062	1082	660	2120	1421	973	3854	182	121	598	953	845	2032	1208	921	2046	918	867	1864	189	551	984	608	2510
846	893	2499	405	644	1184	978	3231	552	802	1637	549	714	2503	2113	1489	5421	2128	2097	5924	1964	1892	4413	1924	1579	4286	1644	1079	3975	1861	1127	3487	1308	1194	2709	2357	1462	4966	3108	2396	8718	364	240	1166	2298	1961	4850	2559	2217	4880	2198	2112	4124	427	1074	2216	1350	6026
1940	1874	4835	863	1139	2559	2098	6684	1214	1706	3668	1053	1582	5655	4011	3533	11791	4754	4566	12094	4308	4105	9482	3846	3138	8701	3241	2201	8284	3742	2285	7432	2719	2412	5707	4717	2997	10705	6344	4832	17656	664	410	2088	4872	3918	8995	6118	4889	10404	4720	4444	9032	757	2004	4505	2698	11380
3552	3289	8733	1563	1926	4056	3618	10627	1948	2621	6200	1705	2433	8771	6465	5889	18691	7707	7053	19001	6861	6592	15163	7837	6901	17562	6588	4444	15986	7276	5185	15357	5223	4891	11216	7899	5457	18361	11549	8924	21008	1096	802	3102	8316	7476	15397	10143	8501	17702	8104	8003	15228	1245	3250	7530	4876	19328
4715	4159	11370	1971	2583	4840	4333	12532	2353	2881	7871	2092	2750	9953	7754	7096	21674	9232	8136	22202	8098	7803	17741	11205	9924	24712	9512	6282	22244	10362	7671	22394	7256	6846	15572	9559	6917	22921	14630	11639	21042	1364	1099	3861	10230	9571	19847	12248	10423	20785	9779	10393	18723	1520	3956	9099	6172	24143
4618	3901	11007	1808	2418	4406	3786	11194	2085	2354	6928	1901	2279	8180	6534	6108	18460	8031	6385	18538	6930	6814	15521	11941	10659	25069	9918	6687	23073	11107	8410	23948	7842	7158	16554	9272	6536	21279	13291	10457	20589	1293	1129	3641	9274	8697	18562	10779	8958	19062	8713	8979	17190	1293	3466	8381	5424	22758
3136	2478	7548	1126	1501	2690	2068	6467	1182	1254	3923	1005	1127	4189	3435	3363	10045	4439	3105	10501	4214	3818	9494	8994	7779	19472	7213	5083	17783	8490	6264	17915	5839	5028	12318	6109	3976	13811	8081	6096	21155	870	807	2657	5423	5148	11443	6418	4792	11377	5284	5004	10697	647	2014	5184	3197	14332
1181	814	2878	373	375	923	642	1993	447	372	1091	382	394	1683	1262	995	3466	1451	1079	4031	1492	1293	3559	3774	3043	8093	3077	2062	8040	3787	2256	7787	2497	1993	5382	2315	1487	5090	2632	2094	8992	285	270	1257	1748	1762	4274	2103	1658	4082	1627	1719	3860	260	860	1812	1216	6075
416	276	978	120	0	315	213	574	149	109	311	113	130	501	410	249	1173	493	345	1435	437	404	1127	1311	1019	3267	1058	599	2408	1079	694	2749	923	722	1844	803	445	1569	852	631	2652	73	114	552	569	547	1531	709	455	1548	410	441	1285	81	337	538	365	1939
109	67	257	0	0	82	0	154	0	0	78	0	0	91	124	59	315	114	99	384	150	95	270	364	302	891	305	153	676	296	179	752	254	168	442	195	107	401	201	138	557	0	65	238	137	108	461	156	93	506	99	102	372	0	81	152	104	584
