C92L1_1	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1h_1	C92P1h_2	C92P1h_3
0	0	78	0	179	107	181	296	0	157	197	0	226	285	0	485	413	0	718	532	0	878	238	575	0
187	741	603	470	1036	1053	180	205	98	111	185	55	758	820	407	2928	3180	1828	4445	3782	1904	7492	1465	2728	1450
939	2527	2350	1579	2882	3026	210	215	112	163	229	0	3940	5036	2729	12809	14394	7245	20289	18807	10026	24986	7140	13768	7905
1235	3084	3093	1851	2453	2280	450	639	346	376	563	218	9441	10934	6295	18089	20224	9926	29679	29276	16672	30625	11381	22060	12882
498	1188	1267	734	1064	1019	759	1247	635	528	833	366	10422	11880	7107	6698	7870	3592	19393	18773	10328	4206	5822	10991	6461
313	291	377	188	790	830	2290	3514	1959	1562	2264	1259	5206	5866	3142	2295	2426	1206	4658	4567	2584	416	1400	2638	1395
291	355	347	230	852	939	6356	9767	5638	4489	6328	3464	2417	3099	1542	1770	1885	1044	2226	2281	1261	770	1334	3121	1422
222	450	438	291	545	572	9410	14491	8194	6930	9601	5056	1453	1968	973	2113	2340	1211	2509	2534	1519	1219	1804	4044	1944
217	508	406	275	176	166	9210	13498	7679	6640	9073	4874	1000	1250	664	1944	2296	1201	2258	2361	1436	1221	1746	3813	1797
125	337	223	198	0	0	6021	9237	5287	4507	6197	3357	594	840	544	1322	1450	797	1355	1483	928	770	1080	2477	1161
82	152	93	100	80	0	2250	3068	2135	1727	2391	1198	380	429	303	612	739	482	764	637	581	298	456	929	620
0	78	0	55	0	60	1247	1817	1297	918	1377	741	199	184	212	257	372	288	345	269	326	91	142	407	299
0	109	0	54	0	0	905	1205	943	782	994	632	283	437	297	376	484	272	376	380	425	0	208	426	354
