C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
64	342	317	187	442	532	241	591	0	58	96	148	241	247	439	4958	3968	9864	6833	6274	8047	11230	5120	10172	4465
606	2202	2212	1790	3369	3559	2933	4444	97	102	115	166	2423	2521	4369	12732	9637	23248	16595	15157	20026	31074	13465	24584	11352
1420	5413	4632	4261	6564	8000	7263	10878	127	107	88	144	5738	5591	10582	3490	2342	6317	1996	0	2432	3956	1769	3515	1438
1669	6955	5110	4073	6604	8042	8102	11670	123	130	118	152	4626	4551	9025	473	296	902	260	206	349	464	215	358	178
1198	4330	2464	1770	3300	2685	2591	4360	161	227	118	184	2908	2862	5640	93	57	184	136	78	111	144	73	175	58
295	715	580	550	805	309	416	838	377	522	296	400	310	352	806	102	69	203	140	108	94	96	93	260	81
75	338	294	211	390	195	175	403	1047	1139	684	1018	222	164	303	198	93	310	242	166	165	197	207	360	117
73	539	463	299	501	226	183	484	2210	2780	1926	2557	420	305	527	366	238	655	463	300	371	348	509	736	363
307	2032	1552	1214	2149	521	350	1083	5166	5583	4873	6100	2551	1907	3698	725	454	1193	917	626	945	868	1319	2044	1020
1244	6702	4944	4036	6823	2432	2362	3955	9890	10767	9053	10990	8111	6752	12704	1757	1302	3144	3117	2469	3594	4051	4789	8302	4118
2836	13883	8814	7236	11356	7097	7008	10851	13150	14348	12231	14654	7924	6814	12549	4363	3388	7797	7572	6474	9455	12362	8752	16147	8338
1037	5682	4067	3470	4935	10226	9979	16397	13055	13907	12139	14570	4897	4057	7872	6862	5663	12772	12161	10674	15939	21869	7697	14206	6897
364	2005	1546	1272	1818	5392	5382	8599	7939	8388	7489	8977	1894	1475	3084	6370	5215	12015	8123	7152	10699	11761	3615	6316	3250
57	398	292	169	392	1561	1476	2412	1664	2025	1815	2297	283	187	463	3086	2320	5997	1885	1665	2526	2435	889	1581	764
