C92L1_1	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
1163	2777	5044	3191	3730	4327	1143	144	228	60	104	133	50	6454	3832	0	2517	1665	889	9947	9534	4424	1024	906	519	2875	4279	1280
4608	7150	7407	4102	14448	14010	5430	422	609	170	373	424	200	18069	11747	6001	13477	9626	5522	24757	22100	11093	7667	8214	4248	13857	17743	5943
4622	4488	4034	2557	19760	18775	9382	1486	2088	590	1506	1358	711	21581	13880	6665	20393	14879	8611	14548	14732	6547	20346	20078	10473	19193	24568	7849
3207	1806	1391	930	11659	9600	5803	4626	5324	1735	4408	4170	2000	11702	8796	3711	12663	9766	5688	10452	11115	4660	25748	24809	12637	10101	13268	3769
1506	2470	1586	694	4624	3943	2693	13376	15016	5750	12270	11150	6057	6076	5149	2039	7487	6357	3498	5776	5629	2386	16536	16431	7920	5586	7429	2095
1089	2756	1827	755	1361	1919	1023	19797	19977	8472	17580	15464	8886	4118	3819	1298	5756	4687	2375	5545	4874	2213	6089	5744	2938	5379	7388	2206
858	2032	1461	833	1000	1553	714	17625	17715	7744	15390	13521	7708	3350	2878	1102	4420	3356	1720	5129	4128	2047	2739	2604	1119	4858	5952	2085
609	1043	654	340	655	765	397	10533	10168	4434	8917	7413	4190	1777	1679	544	2054	1585	799	2496	2133	1033	1291	1211	646	2772	3480	1046
785	834	615	368	669	602	417	9932	8932	4094	7889	7120	3569	1971	1776	577	2083	1688	770	2501	2223	1306	1254	1395	720	3109	3594	1160
909	896	791	376	723	580	431	10628	9789	4347	8898	7758	3735	2229	1785	684	2218	1718	872	2852	2761	1488	1384	1460	812	3272	4247	1196
781	846	687	354	603	425	316	8863	7915	3429	7904	6361	3370	1950	1466	644	2109	1519	806	2645	2356	1248	1282	1334	702	2978	3756	1004
399	575	275	331	310	201	157	5090	4804	1915	4207	3827	1899	1232	740	333	1193	721	438	1367	1458	651	655	666	436	1528	1994	581
91	76	52	0	50	0	0	1278	1300	457	1003	1057	434	164	137	74	213	122	103	230	129	136	101	0	79	298	455	99
