C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
1068	0	0	3109	3265	0	1588	4029	0	659	0	0	0	0	0	8316	9488	0	2149	2133	0	1929	1763	0	3523	3281	0	1563	2736	0
1314	2589	779	3822	3668	1686	2715	6564	4030	253	273	85	193	187	71	8081	8769	3290	4407	4932	2136	4479	4698	2181	7994	7442	3981	3355	5954	1777
1202	2175	716	2179	2264	1205	3051	6790	4176	222	153	106	244	165	98	2339	2608	885	7134	7961	3541	8068	8168	3903	12523	11760	6562	5095	9408	2836
647	1044	356	873	689	410	2047	4698	2616	386	566	201	498	556	187	1014	1134	379	8104	8551	3847	9544	9560	4674	12104	11678	6535	5451	10356	3191
317	349	167	361	423	204	998	2239	956	794	1255	454	894	1133	402	654	611	276	6632	6799	3064	7781	7811	3804	6934	6920	3687	4490	8831	2675
270	414	123	429	492	183	443	915	439	1532	2504	954	1535	2212	825	681	798	278	3782	3733	1726	4524	4472	2118	1936	2157	1101	2788	5595	1665
432	519	208	530	751	296	276	596	251	3604	5465	2285	3413	5130	1944	1134	1076	394	1786	1839	873	2064	1902	980	1231	1309	521	1919	3835	1079
571	745	321	815	1107	444	288	672	321	5930	8909	3755	5485	8273	3360	1656	1570	572	1918	2129	849	1972	2032	898	1115	1195	561	2035	4189	1187
716	998	393	1060	1439	604	359	783	362	7699	11109	4776	7063	10517	4232	2088	2007	773	2129	2480	986	2326	2315	1135	1304	1374	678	2236	4809	1372
673	925	399	969	1372	565	353	733	318	7045	10510	4432	6659	9898	4003	1937	1951	732	1928	2252	860	1978	2225	1035	1107	1285	585	1890	4000	1175
386	617	241	580	866	375	224	428	213	4304	6414	2561	3971	5998	2349	1120	1200	476	1296	1261	551	1179	1398	624	792	798	343	1192	2462	697
98	210	87	189	245	94	79	171	80	1202	1585	633	1093	1608	556	450	399	107	398	518	165	392	509	175	292	298	126	342	842	206
