C92L1_3	C92L2_3	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
87	52	94	0	0	0	0	0	0	330	487	1189	335	609	1276	1292	1729	146	146	410	2014	2543	5651
210	137	172	0	61	130	0	64	56	663	1114	2697	1012	2067	3915	2077	2835	394	386	1115	3090	3664	7898
412	269	309	70	92	210	75	96	79	1217	2031	4819	1866	3669	7087	1894	2616	1030	1063	3001	2866	3282	6969
562	393	343	220	297	669	261	249	360	1382	2317	5315	2022	3977	7790	1386	1697	1652	1678	4796	2217	2285	4749
564	413	314	592	839	1735	697	717	949	1172	1980	4353	1270	2466	4960	717	746	1658	1641	4644	1013	1033	2380
528	349	248	1220	1967	3549	1462	1634	1918	824	1463	3087	573	1007	2092	374	440	916	893	2684	574	551	1451
422	287	190	2890	3600	6762	3079	3330	4066	538	1009	2063	344	580	1210	430	542	284	243	842	986	866	2032
349	266	200	4873	6126	11207	5276	5492	6656	506	835	1710	485	799	1502	517	705	154	159	572	1408	1323	2955
332	287	141	5993	7781	13351	6488	6734	8137	505	791	1463	530	961	1743	567	806	162	154	578	1667	1571	3415
273	218	121	5493	7290	12706	6191	6281	7459	423	731	1353	495	892	1564	498	680	155	136	492	1455	1456	3108
142	154	74	3754	5201	8464	4265	4202	5453	313	437	868	306	553	1061	335	419	109	84	351	909	1005	2028
82	80	0	1651	2418	4201	1925	1954	2426	166	244	506	174	309	603	171	231	59	0	214	446	507	1090
0	0	0	632	975	1732	704	853	1050	74	88	165	77	137	229	75	75	0	0	99	173	225	420
