C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
71	268	146	206	547	133	2687	4507	6199	0	0	0	0	0	0	483	838	1229	252	144	521	414	235	1123	1785	978	6404	347	245	567
342	1659	752	1084	3813	1049	5704	8344	10712	63	70	97	52	54	112	1218	1853	3405	1490	1376	2882	2685	2204	6829	6632	3742	22845	2517	1301	3325
754	2963	1406	2040	7191	2674	2321	3703	4835	94	144	307	88	71	200	1843	2536	4801	3154	2798	6687	4720	3940	11939	9329	5816	31453	6595	4165	9867
775	3091	991	2674	8686	2682	400	686	725	321	363	859	256	220	608	1872	2410	4620	3118	2747	6550	2450	2288	6630	1808	1203	7354	7883	5759	12888
421	1824	617	1907	5913	1959	125	222	227	832	949	2096	687	546	1376	817	892	1637	1619	1421	3444	1334	1304	3817	406	246	1664	4248	3023	6849
230	1123	446	887	2760	1053	222	390	363	1945	2399	5615	1450	1393	3594	353	300	674	732	600	1628	808	828	2478	430	226	1067	1609	1333	3070
203	1072	543	669	2008	836	444	592	501	3954	4647	10690	3122	2962	6817	474	512	1006	680	521	1535	833	862	2498	715	371	1984	1719	1682	3401
218	994	532	719	2053	982	491	632	659	5381	6258	13990	4266	3905	9422	607	646	1370	844	686	1795	991	998	2863	903	477	2567	2191	2170	4463
180	856	446	584	1701	1000	467	501	635	5146	6081	12871	4151	3698	8879	597	604	1309	811	626	1665	905	936	2533	843	411	2294	2085	1997	4101
142	586	286	339	762	551	248	222	429	3069	3736	7873	2546	2290	5558	332	271	749	430	348	893	525	495	1229	481	180	1280	1200	1128	2375
74	303	162	282	277	316	90	91	265	1251	1684	3380	1079	1035	2446	157	162	429	243	190	534	319	326	638	234	82	542	677	618	1334
