C92L1_1	C92L1_2	C92L1_3	C92L2_1	C92L2_2	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_2
2030	1793	5655	12564	9646	30726	2491	2635	7479	51	0	0	0	0	0	1385	1109	2307	678	0	1508	1019	804	2434	6934	6099	13036	6988
10009	10138	28294	12804	10275	30331	12889	13271	30537	78	0	0	73	0	84	10549	10133	18287	9076	9617	22038	8847	9012	20565	31533	30207	30239	24881
4733	4443	11502	3343	3175	9774	20013	21492	30140	62	77	247	82	0	0	23128	22512	30116	17837	17656	28019	23018	23133	29865	24148	20154	30016	15539
4094	4285	8177	1496	1436	3439	8586	9900	23621	234	166	519	157	76	351	12216	12937	23141	5412	5913	13495	13299	13512	29275	3869	3094	6784	3241
762	956	1845	194	200	634	1512	1614	4081	482	439	1101	393	340	858	2844	3029	5814	4666	4452	9610	3586	3300	7556	200	112	318	543
216	283	430	256	180	1014	203	194	660	1139	1291	2991	811	807	2370	613	390	858	3458	3074	6601	697	581	1373	274	178	288	944
329	427	1032	478	312	1988	373	306	1184	3331	3536	9537	2306	2232	6977	993	526	1104	1397	979	1939	1093	700	1599	606	376	698	1647
879	1180	2777	1289	1080	4935	802	876	2610	10820	10462	22556	7686	7283	19884	2549	1756	3187	2439	1761	4027	2755	2117	4058	1794	1225	2289	4053
1454	1882	4587	2066	1816	7611	1212	1421	3781	17366	16851	21737	12883	12030	24719	4095	2976	5407	3960	3002	6625	4496	3628	6779	2940	2009	3916	6268
1772	2177	5356	2371	2190	8596	1294	1554	3937	18653	19036	22867	14091	13812	25316	4593	3500	6460	4524	3657	7901	5188	4451	8107	3452	2293	4736	6993
1312	1396	3439	1631	1409	5765	810	914	2519	11956	13028	22899	9201	9729	24243	3137	2440	4502	3042	2476	5408	3402	3082	5803	2291	1594	3259	4600
514	387	1233	598	445	1862	275	234	751	3574	4676	9952	3011	3622	9051	1033	856	1460	834	680	1870	1109	1016	2025	730	483	1147	1262
176	133	433	203	131	553	107	87	257	1074	1543	3202	895	924	2379	330	215	443	308	275	601	345	279	613	256	143	317	469
