C92L1_3	C92L2_1	C92L2_3	C92L3_1	C92L3_2	C92L3_3	C92N1_1	C92N1_2	C92N1_3	C92N2_1	C92N2_2	C92N2_3	C92P1d_1	C92P1d_2	C92P1d_3	C92P1e_1	C92P1e_2	C92P1e_3	C92P1f_1	C92P1f_2	C92P1f_3	C92P1g_1	C92P1g_2	C92P1g_3	C92P1h_1	C92P1h_2	C92P1h_3
4854	653	2988	3997	1688	21441	0	0	68	0	0	0	971	524	3385	1035	637	5261	1621	975	6940	1348	433	4780	3054	2656	16964
7826	2712	9015	4346	1799	20950	0	0	128	0	0	0	4601	3380	16348	6448	3533	23108	7817	4965	27334	8291	3969	25141	8113	6882	26457
1845	3728	15629	1026	530	3824	60	60	380	61	0	146	5136	4028	19224	8628	4623	26412	11446	6919	26930	13478	6204	24678	2570	2113	12171
819	3027	12567	1151	333	3092	240	197	1216	225	131	735	4867	3590	17297	4672	2391	14572	5731	3287	18077	7866	3504	23363	2423	2228	10649
2189	1049	5470	1639	605	5134	854	637	3302	754	432	2655	2614	1870	10043	2801	1285	8711	1986	1082	7724	5316	2361	16545	1995	1902	8709
3898	483	1837	1601	459	6475	2248	1904	9684	2056	1093	6954	1318	786	5959	1301	521	3638	800	332	3647	1837	649	5001	835	893	4528
4649	686	2287	1312	398	5631	5246	4058	19719	4740	2627	15367	1087	776	4691	1468	696	4414	1575	693	5460	660	309	3380	1308	1275	5134
4355	978	2871	1037	274	4240	8041	5937	23796	6855	3865	22296	1084	719	4657	1944	998	5699	2207	1093	7506	1026	435	3757	1899	1862	7300
3372	1051	2812	772	220	2984	8397	6206	23882	7311	3947	23300	951	655	4403	1927	1022	5887	2344	1220	7564	990	508	3716	1955	1977	7352
1536	903	1755	574	172	2215	6181	4523	21594	5166	2916	17291	787	527	2746	1535	727	4599	1699	896	5220	800	409	3022	1270	1399	5323
732	407	858	254	69	974	1776	1451	6914	1589	885	5674	247	196	1316	566	300	1879	632	300	2074	312	0	1224	463	0	2234
