C94L10_1	C94L10_2	C94L10_3	C94L11_1	C94L11_2	C94L2_1	C94L2_2	C94L2_3	C94L12_1	C94L12_2	C94L12_3	C94L3_2	C94L3_3	C94L4_1	C94L4_2	C94L4_3	C94L5_1	C94L5_2	C94L5_3	C94L6_1	C94L6_2	C94L6_3	C94L7_1	C94L7_2	C94L7_3	C94L8_1	C94L8_2	C94L8_3	C94L9_1	C94L9_2	C94L9_3	C94N1_1	C94N1_2	C94N1_3	C94N2_1	C94N2_2	C94N2_3	C94N3_1	C94N3_2	C94N3_3	C94P1b_1	C94P1b_2	C94P1b_3	C94P1d_1	C94P1d_2	C94P1d_3	C94P1e_1	C94P1e_2	C94P1e_3	C94P1f_1	C94P1f_2	C94P1f_3
576	1302	682	1385	2230	1505	2140	921	999	2443	556	2007	998	798	1725	467	2681	2032	843	1024	1856	982	1118	2038	996	1196	1529	474	386	372	220	2083	2818	1055	2059	1921	1027	2089	2159	1112	2454	4866	1645	2110	4484	1628	1886	3686	1731	2288	4040	1675
2107	3856	2139	5450	7259	5403	8422	3579	3429	9070	2180	7663	2897	2941	6155	1793	8062	8461	3127	3341	6391	3482	5232	8468	4151	3943	5354	1850	947	1020	685	6294	8388	3222	6237	6515	3202	6405	7638	3194	8566	16570	5666	6758	13738	5964	6131	11085	5838	8710	15789	6203
5308	9842	4949	13156	17347	12968	19715	9031	8105	19833	5207	18257	7856	6638	13849	4176	18089	18625	8168	6949	12219	6626	11279	17827	8908	9846	13960	4723	2294	2814	1889	18092	22187	9050	16838	18602	9609	18757	20596	9554	21867	22725	14023	20237	22321	16028	18260	22611	15488	22342	22741	16292
6992	13023	6594	17593	24191	16872	25936	11872	10711	25692	6833	24045	10844	8567	17439	5315	23440	24208	10855	8476	14796	7866	14181	22230	11234	12967	18410	5982	3177	4420	2471	25791	24783	13276	23686	25435	13498	25264	26305	14007	26749	22754	18772	25826	22689	22893	26002	21551	21412	27352	23427	22250
5739	11064	5290	13785	20192	13353	20896	9029	8345	20301	5276	20421	9289	7057	13789	4145	18526	19636	8518	6786	11332	6022	11027	17518	8506	10953	15139	4787	2892	3847	2087	21838	24625	11194	19928	22514	11407	22324	24011	11715	25365	22525	14578	23797	22067	18753	21400	22968	17469	24888	24106	17604
2757	5298	2355	6321	9656	6294	9475	4114	3692	9209	2241	10069	4489	2998	6277	1829	8366	8758	3541	3221	5147	2592	4263	6779	3303	5222	6954	2165	1698	2030	1108	12558	14682	5901	11204	12300	6265	12673	13264	6263	11927	20673	6415	11079	20624	8835	9920	17440	8226	10508	18656	7284
1823	4171	1582	4590	6390	4463	6425	2784	2491	5555	1511	8079	3783	1919	4274	1199	5247	5802	2116	1948	3475	1705	2155	3449	1584	3779	4957	1396	1493	1635	949	11324	12687	5316	9649	10544	5458	11337	11054	5687	8374	14552	4568	8357	15493	6519	7642	13245	6058	6714	12151	4407
2023	4552	1647	4926	6611	4667	6698	3042	2561	6048	1685	8494	4120	1922	4699	1289	6026	6095	2696	2138	3764	1752	2149	3181	1734	3711	5403	1645	1669	1673	1068	12179	13970	5960	10075	11284	5933	12714	11826	6325	9176	16441	4951	10193	17356	7183	9001	15677	6854	7307	12833	4932
1658	3613	1489	4076	5327	3538	5485	2337	2126	4795	1406	6666	3138	1689	3814	1079	4727	5027	2201	1744	2976	1433	1742	2568	1443	3065	4180	1453	1450	1581	849	9686	11091	4937	8160	9444	4689	10344	9230	4772	7154	13163	4134	7966	13805	5603	7557	12820	5519	6083	10634	4003
932	1752	721	2252	3020	2053	2848	1345	1197	2554	707	3833	1658	972	1994	505	2619	2613	1054	832	1508	743	870	1448	725	1720	2300	723	750	879	514	5435	5969	2308	4454	5284	2631	5166	5148	2541	3910	7251	2199	4177	7679	3090	3723	6188	3028	3050	5909	2273
