C94L10_1	C94L10_2	C94L10_3	C94L11_3	C94L2_1	C94L2_2	C94L2_3	C94L12_3	C94L3_3	C94L4_3	C94L5_3	C94L6_1	C94L6_2	C94L6_3	C94L7_3	C94L8_3	C94L9_1	C94L9_2	C94L9_3	C94N1_3	C94N2_3	C94N3_3	C94P1b_3	C94P1d_3	C94P1e_3	C94P1f_3
1527	1663	570	591	1531	1321	420	325	622	779	830	1149	2231	303	622	530	1227	1489	479	719	797	894	690	644	861	1040
3948	6037	1507	2006	4279	3851	1190	1009	1754	2611	2765	4307	7668	780	1608	1663	3771	4363	1230	2184	2369	2783	2262	1843	2521	3859
11358	17810	4314	5759	11221	9770	2894	3262	5346	5202	6933	11684	20063	2822	4855	5166	9888	12819	3498	6383	7503	8772	7225	6235	8367	10413
24375	26175	10263	13309	24382	22344	7440	7257	11889	11514	14318	24017	28078	6593	11606	11533	21927	27234	8077	15880	17364	20856	17107	15752	20455	23740
6132	7972	2692	2508	6261	7155	2145	1672	2959	2706	3345	5506	8372	1588	2347	2524	4961	6981	1770	3069	3737	4418	3578	3204	4060	4030
7219	8191	3453	2979	8923	10980	2943	2022	3400	2947	3738	6930	8121	1765	2481	2943	6393	9316	1966	4202	4714	5440	4597	4192	5155	3716
9832	11195	4909	4316	12635	14646	3774	2921	4525	4141	5122	9587	9645	2437	3535	4292	9351	13543	2796	6524	7292	8342	7045	6894	8277	5339
7936	8886	3975	3629	10085	12165	2755	2265	3729	3398	3945	7782	8266	1806	2688	3617	8549	12135	2269	5750	6453	7751	6471	6379	7740	4772
2119	2432	1043	862	2816	2597	755	558	703	938	1040	1720	2022	456	569	847	1503	2762	555	1283	1580	1834	1484	1305	1778	1005
636	474	244	241	729	878	205	152	237	262	329	609	635	107	159	216	246	705	154	376	374	529	366	365	448	268
