C95L1_1	C95L1_2	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_1	C95P1c_2	C95P1c_3
110	138	1174	690	433	998	1073	569	1123	1027	587	2150	1703	702	335	823	864	486	12415	10748	6109	2481	1805	1132	686	403	0	658	338	77	23745	17109	9134	3603	5734	2509
884	851	5837	4777	2617	7593	7087	3467	6119	5103	2490	15673	11374	4972	1852	6311	5299	3027	29872	29497	17509	14503	10977	6398	583	222	0	538	211	0	24313	27429	29682	24959	26891	18692
2096	2149	12910	11035	6481	18657	16943	8263	12563	10903	5006	29150	27258	12154	4350	11022	10115	5771	14993	11870	7352	30561	26010	14638	357	260	149	149	264	188	13219	8450	4543	27539	0	29565
763	849	5794	5243	2487	8797	7997	4107	1589	1530	612	17278	12655	5814	2616	3136	3091	1847	15216	12486	7520	15279	12265	6824	594	494	131	547	621	134	12884	8161	4381	27991	0	23700
659	560	652	543	200	687	766	397	0	112	50	1418	866	383	292	3327	3067	1975	1047	505	527	1368	865	475	1195	769	438	932	667	447	19003	12774	7124	3196	4988	2327
531	439	350	203	92	281	313	201	71	138	92	445	315	191	81	2175	1975	1328	622	479	365	537	306	244	4178	2705	1633	3750	2409	1558	14240	10153	5933	1007	1557	1015
372	264	694	326	240	758	519	364	379	303	197	1066	728	338	232	660	657	342	1294	1078	684	1222	818	478	11520	8029	4797	10792	7619	4626	5262	2849	1993	2039	2953	1775
551	540	1458	1103	449	1797	1432	623	870	821	288	1930	1598	618	495	535	491	280	3196	2688	1497	2873	1981	1018	20686	16524	9780	21034	16365	9503	3863	2272	1678	5060	6882	4002
667	724	1884	1532	718	2395	1949	959	1175	999	397	2462	2054	935	699	612	525	301	4364	3663	2285	3920	2611	1553	20872	20831	12706	21695	20569	11911	4015	2129	1722	7084	9298	5429
652	792	1787	1647	769	2416	2096	1068	1112	1072	385	2413	1983	957	656	511	505	360	4427	3769	2401	4150	2592	1679	20861	19851	12498	21733	19966	11816	3895	2012	1770	7296	9486	5686
436	600	1229	1214	598	1585	1564	895	755	756	394	1532	1175	720	440	307	329	343	2998	2536	1751	3072	1602	1357	17766	12323	8271	17117	11877	7633	2721	1404	1408	4717	6199	4058
156	175	318	245	492	353	442	638	242	211	603	392	270	472	152	0	129	606	902	654	804	799	561	809	5025	3358	2278	4485	3001	2058	516	302	628	1119	1279	1377
