C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_2	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L5_2	C95L5_3	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_1	C95P1c_2	C95P1c_3
0	0	0	617	335	256	186	242	106	0	941	408	323	188	86	0	1644	571	1041	1648	923	1206	908	1096	779	61	58	91	64	0	0	3037	2750	2596	1691	1810	2035
387	453	303	4996	3428	2205	4172	1691	1402	475	10514	8075	4210	868	935	158	11431	4253	4756	11062	7418	9086	7565	5900	5570	96	74	85	0	0	60	17741	16287	15593	12686	12763	13860
1737	2204	1298	10851	7546	4538	9801	4571	4437	1567	20483	17083	9009	2881	3338	741	16908	8867	8336	20210	14646	18874	16652	14759	13504	154	117	129	82	82	95	28689	26745	25246	26839	27444	28844
3612	3230	1816	1219	1013	589	1645	2248	1953	835	4707	4040	2345	3474	2859	1550	11660	4590	3933	2686	2280	2709	4146	3457	3487	261	235	201	154	101	83	4253	3731	3537	3836	3772	3999
4047	4635	3041	223	229	156	1331	4331	2801	1660	3934	2903	1956	5719	5632	3699	2240	1016	781	337	431	451	566	494	463	811	554	533	410	436	373	891	328	318	595	491	494
6431	7718	3823	345	178	142	1816	7171	5209	3008	5039	4587	2916	8285	9544	5608	388	335	176	324	224	389	346	253	258	2229	1685	1607	1614	1376	1224	385	128	142	505	424	421
6894	7406	3235	715	300	204	1837	7043	6342	3531	4660	4871	2781	7941	10889	5165	562	404	208	753	440	612	668	509	450	5787	3872	3668	3832	3197	2901	755	280	312	1008	977	940
5451	5162	2329	1262	617	412	2685	5103	6095	3402	4757	4268	2278	6551	9077	4110	946	707	461	1424	966	1085	1304	1078	825	12343	8989	8647	8015	6714	7026	1188	859	782	2164	2140	1936
3307	2857	1390	1915	1354	894	3664	3179	4919	2667	3822	3585	1769	4908	5922	2958	1655	1039	796	2869	2159	2039	2611	2090	1635	19896	15585	14463	14650	12562	12493	2347	1761	1602	4206	4287	3887
2115	2091	1007	2482	2137	1294	3837	1871	3224	1919	3088	2905	1620	3114	3123	1772	2161	1252	1035	4354	3223	3019	3882	2901	2395	25673	20129	18440	19039	17147	16532	3400	2627	2497	6136	6450	5744
1333	1516	627	2497	2445	1419	3210	1379	1809	1027	2871	2118	1305	2018	1816	1198	2206	1196	1060	4901	3674	3380	4210	3137	2566	24995	19486	17718	19373	17377	16670	3844	2875	2904	6836	7357	6356
819	849	354	1804	2006	1118	1980	950	1037	547	1885	1377	840	1209	915	626	1590	783	759	3866	2958	2676	3182	2311	2072	17110	13068	12236	14561	12324	11542	3017	2153	2264	5434	6049	4867
325	297	104	595	1004	610	475	412	336	180	1112	615	397	456	298	188	579	290	205	1775	1365	1169	1444	893	842	6736	4200	4110	5884	4420	4425	1307	852	1028	2319	2807	2092
72	0	0	122	149	66	58	141	61	0	161	150	60	100	92	0	88	70	0	338	277	126	251	189	138	1517	1045	839	1204	1153	884	301	128	76	439	425	373
