C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L5_2	C95L5_3	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_1	C95P1c_2	C95P1c_3
73	0	0	1891	783	553	2434	1842	1033	2346	907	605	4399	3370	2011	506	567	269	166	197	0	5660	4247	2453	2807	1906	720	0	0	0	0	0	0	714	927	496	6225	10393	1262
520	445	230	10837	7169	4989	17155	15206	9447	10131	8201	5021	24506	19127	14022	3796	6334	2834	2470	2544	804	28177	25957	13705	18813	13087	5916	685	455	246	479	477	225	6687	8678	4144	20926	23447	4640
2468	1794	1242	1577	1211	740	6248	4765	2524	1890	1536	752	5768	3692	3338	1273	1072	514	10419	11108	4032	4580	3827	2266	3998	2522	1126	3067	2249	1240	3912	2323	1598	22687	25486	16196	8093	11871	1814
3667	3466	1945	4436	3704	2387	9697	9126	5500	3590	4000	2190	9569	7608	5656	3830	3408	1429	15237	15377	6191	10812	8718	5461	9121	6350	3073	13130	8749	5221	12433	8485	5820	19885	24257	14310	10996	15199	2815
3477	4072	2183	9082	7726	4773	9431	9299	6391	6700	7587	4425	15415	11697	8980	6649	6317	2693	5938	6518	2462	20372	16743	10453	13699	9574	4688	23913	22527	14659	24912	22480	15282	17759	21201	12443	20498	23000	5546
3364	4326	2094	9173	8017	5128	9644	9702	6546	6704	7366	4395	13759	10324	8029	6893	6236	2776	4194	4081	1439	20584	16769	10141	10473	6838	3489	23978	24998	17480	24832	24545	17625	16754	19264	10806	20349	23307	5245
1810	1980	904	2867	2804	1832	3026	3087	1888	2483	2414	1337	4744	2978	1990	3598	1921	804	1685	1299	445	7698	5872	3195	3004	1876	786	18690	13346	7490	17714	12707	8190	6235	6850	2932	6471	9481	1536
786	1630	728	2006	1843	1219	3198	3456	1814	2314	1979	1480	3922	2740	1921	3083	1771	649	1800	1377	499	5350	4153	2343	3253	2432	1115	18745	13473	7606	18334	12432	8308	3699	3909	2166	5218	8145	1246
1294	1400	724	2267	1843	1168	3399	3608	1907	1792	1556	0	3381	2319	1281	2422	1671	679	1563	1184	402	5105	4152	2154	3405	2280	1138	19568	13391	7954	19158	12662	8469	3367	3674	1570	4914	8549	1181
1175	826	328	1531	1351	817	2041	2289	1253	1328	1090	610	2450	1544	1055	1691	1227	457	1031	745	216	3277	2729	1449	2385	1725	695	11982	8830	4894	11771	8370	5286	2086	2318	1275	3511	4978	734
204	160	95	296	222	153	637	485	261	558	299	175	626	366	246	842	250	100	320	227	59	926	592	360	585	360	162	3460	1957	1278	3361	2004	1186	575	513	278	645	1333	156
