C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L5_2	C95L5_3	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_2	C95P1c_3
1196	1201	2363	1216	1629	1567	1142	615	1957	1047	340	781	3047	1833	2519	2252	1201	1424	1620	1003	251	4267	1245	910	3258	2376	4533	91	0	54	72	0	0	6079	3544	1914	4290	822
850	340	708	3398	4666	4395	4741	2581	6103	3902	1813	4227	9692	5933	8317	6201	2792	4526	5102	2703	580	8314	2291	1587	5277	4618	9004	487	247	165	400	259	86	16226	9948	5887	15175	3714
1513	915	1067	2578	2539	2926	4402	3000	5787	4306	3082	6585	10507	6646	9428	1923	1629	2056	6756	4025	974	5251	1399	1069	6118	4854	8634	1612	1056	563	1344	1153	420	17123	11259	6847	18774	4906
2672	1733	2023	1198	1023	1118	1855	1493	2149	1842	1039	2310	3096	1799	2610	1130	796	972	3449	2424	645	2017	403	373	2395	1414	3287	4885	3381	1692	3910	3552	1392	8677	5401	4022	5735	1478
2648	1717	2375	1163	1230	1304	2254	1649	2017	1693	776	2339	2377	1219	1726	1443	857	990	1246	961	229	2002	400	442	2227	1048	3093	8560	5953	3203	6740	6120	2481	4932	2718	2320	4782	1190
1867	1308	2153	874	1038	1135	1872	1348	1900	1341	641	2249	1771	933	1114	1515	696	1438	639	511	99	1801	338	390	1910	865	2590	8323	5524	2940	6286	5833	2322	2677	1341	1101	4141	971
746	709	966	343	500	475	910	460	545	779	214	1317	868	363	596	895	271	325	375	217	51	921	163	171	709	489	1062	4205	2671	1363	3043	2994	1048	1239	619	495	1550	504
623	538	837	479	559	510	857	618	709	821	289	966	921	359	646	947	292	315	237	222	0	1094	196	127	731	602	964	3729	2120	1194	2654	2662	897	1096	587	503	1844	465
632	546	900	599	647	557	900	771	849	840	367	658	1027	420	763	1030	318	376	263	250	0	1291	231	165	867	731	1116	4493	2552	1492	3157	3195	1119	1385	652	522	2128	592
453	534	802	567	541	529	783	677	792	817	352	475	983	366	710	708	294	343	216	205	0	1055	223	191	740	659	1013	4171	2425	1427	3088	2974	1106	1237	680	472	1998	568
289	444	442	427	322	299	439	423	446	558	238	230	536	220	412	397	179	225	156	104	0	689	132	127	419	378	489	2416	1445	1017	1779	1766	710	782	419	355	1167	364
