C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L7_1	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_2	C95N3_2	C95P1a_2	C95P1c_1	C95P1c_2	C95P1c_3
138	0	0	4935	6450	4158	3802	2888	4142	1439	1010	1080	3849	3320	4751	1117	741	4500	1795	6819	5123	2567	7249	0	0	5122	5084	3304	6681
665	405	1074	30166	31031	27107	22252	17200	20381	8165	8548	7912	25941	21039	26484	4200	11654	30100	13349	29139	29754	15015	29548	68	0	29525	29178	21651	29224
3134	2639	4917	27372	23562	21525	7246	6318	7837	3899	3564	3693	15199	13471	14697	3366	29138	12055	5419	16142	23686	9909	29425	109	116	13676	12611	8861	19122
1862	1450	2330	2703	2435	1941	12529	9099	12526	6100	5884	6668	12141	10657	13248	1333	13055	19728	9912	28435	9319	3905	11250	337	267	18073	18329	13494	25399
3115	2314	2909	801	678	535	2137	1584	1844	1171	908	1349	1868	1696	2305	206	12824	3307	1588	4428	1382	673	2013	1103	946	2729	2685	2040	4053
1210	1029	809	2540	2317	1848	1471	1299	1209	717	590	634	891	902	1378	305	2413	2106	899	2567	1734	776	2638	5015	4292	837	1880	1204	3027
2120	1805	1428	6054	5497	4646	3388	2795	3104	1153	1272	1278	2277	2129	2729	923	2080	4715	2217	6048	4245	1847	6287	12447	10786	2224	5081	3339	7534
3265	2663	2298	9123	7910	6640	4777	3732	4122	1652	1806	1753	3471	3118	4090	1382	3048	6910	3430	9644	6123	2407	9111	17099	15726	3796	8758	5662	12482
3227	2834	2562	9874	9118	8194	5258	4512	4544	1792	1951	1977	3924	3479	4769	1774	3836	7978	4168	10263	7062	2643	10340	19237	17486	4468	10065	6452	13946
895	730	564	3766	3325	2548	1461	1315	1159	446	606	542	1112	1053	1296	342	895	2870	1345	3635	2499	796	3600	7685	7020	1324	3469	2152	5065
265	229	133	895	574	513	0	289	407	0	151	223	369	253	364	0	391	622	238	689	531	192	765	1562	1306	324	658	411	1113
