C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_3	C95P1c_2	C95P1c_3
695	226	683	4648	6879	4524	3459	2699	3287	3708	10416	9186	9172	2518	3447	2922	532	10928	4397	3022	8311	7349	10182	753	709	436	826	754	378	10220	14437	6915
2848	1979	3932	13334	20091	14687	10636	9710	9989	11873	29640	27479	30647	9377	11758	8951	1955	29332	20817	14132	28588	23193	29682	5123	5446	2964	4492	5903	2262	30344	28579	19751
5971	6177	8846	15274	22363	17642	6817	7572	9668	13098	25753	19493	21576	11037	24367	19319	4663	13307	5554	3547	27093	20587	27324	21697	22537	12476	16562	22817	9938	27496	28719	18953
4383	5330	6337	8516	12685	9751	4856	4907	5708	6886	10240	7937	7738	7640	7164	4924	1126	13884	6421	3947	17245	10801	14812	28182	28675	21083	26533	28574	16683	9233	19358	10327
1293	1367	2353	1676	2611	1838	1127	1088	1766	2065	2105	1091	1230	1706	2141	957	323	2184	1086	563	3011	1558	2603	7526	7473	4284	5796	7403	3379	1476	3310	1906
1505	1351	1797	1421	2336	1226	1184	1262	1391	1847	1855	1169	1495	1583	1141	808	248	2635	1079	697	1932	1426	2342	7327	6689	4108	5380	7147	2944	1422	2669	1703
2085	1902	2029	2592	3778	2038	1446	2235	2645	2087	3034	1972	2534	1355	1685	1386	370	4950	1876	1415	3577	2397	4341	13545	12296	7220	9862	13010	5443	2265	5538	3222
1804	2311	1970	3541	4377	2659	1648	3072	2659	2015	3929	2566	3220	1275	1958	1563	407	6602	2351	1819	5072	3390	5464	17692	17112	9631	12624	17954	7285	3118	7620	4350
1279	1538	1814	2604	3947	2044	1342	2714	1796	1356	2865	2012	3178	820	1214	978	333	5610	1706	1514	3997	2668	4640	14395	14356	7751	9931	14284	5627	2537	6169	3658
396	353	416	694	783	603	344	806	454	306	958	398	608	302	401	206	97	1527	474	318	1058	648	936	3783	3665	2019	2706	3492	1407	628	1458	952
135	64	221	213	239	180	134	253	115	84	301	108	178	111	102	0	0	460	201	77	204	207	290	978	879	469	691	929	386	251	301	250
