C98M1b_1	C98M1b_2	C98M1b_3	C98M2b_2	C98M2b_3	C98M2a_1	C98M2a_2	C98M2a_3	C98N1_1	C98N1_2	C98N1_3	C98N2_1	C98N2_2	C98N2_3	C98P1a_1	C98P1a_2	C98P1b_1	C98P1b_2	C98P1b_3	C98P1c_1	C98P1c_2	C98P1c_3	C98P1d_1	C98P1d_2	C98P1d_3	C98P1e_1	C98P1e_2	C98P1e_3	C98P1f_1	C98P1f_2	C98P1f_3
1086	1170	1256	67	0	122	94	178	924	744	1654	1037	167	1206	2096	2244	1999	1682	1775	2440	3109	3158	1330	1275	0	2469	1832	0	1977	1535	1085
8657	9570	11008	449	516	1632	1456	2183	8831	7780	15687	9162	1941	11926	14198	15340	14016	12774	12691	15327	19622	20306	9897	10856	9244	16638	13618	13105	14707	12179	9247
20706	22241	26379	1167	1689	4775	3979	6171	19812	18157	30960	21332	4854	27643	32098	32027	31791	29806	29247	32251	32136	31264	23294	25669	22883	31891	30406	30181	31699	27392	21453
2937	2946	3787	545	693	1251	1154	1563	2382	2264	4505	2653	593	3204	4071	4399	3962	3563	3542	4237	0	5363	3402	3592	3062	4681	3654	3761	4131	3447	2435
847	982	1265	605	932	1299	1137	1562	954	766	1683	1001	222	1014	764	829	798	512	579	364	368	311	837	1114	862	1103	515	570	1089	880	468
888	1002	1348	540	890	1469	1076	1540	1996	1592	3250	2165	408	2157	774	597	906	603	637	520	445	457	861	1231	851	1355	894	932	2004	1605	1028
1070	1271	1665	532	591	1409	1127	1537	4373	3490	7043	4727	1062	5298	786	855	1363	1003	1187	629	945	1118	1118	1840	1228	2675	2101	1876	3932	3396	2321
1273	1421	1955	385	296	688	664	1183	6419	5135	10299	6879	1609	8151	1037	1234	1841	1366	1375	910	1555	1448	1256	1828	1530	3706	2936	2826	5683	4500	3492
1300	1418	2018	297	326	728	528	802	6849	5467	10670	7229	1685	8913	1114	1195	1864	1440	1502	970	1502	1528	1246	1610	1576	3888	3057	3016	5798	4597	3868
908	947	1252	286	357	666	522	742	4395	3442	6908	4657	1120	5731	636	750	989	864	990	604	1030	1044	724	1088	1043	2462	1986	2151	3816	2863	2620
