Sample_ID	Real_Sample_ID
C154B1	Per1
C154B10	TD5
C154B2	TD6
C154B3	TD1
C154B4	Per2
C154B5	TD2
C154B6	Per4
C154B7	Per3
C154B8	Per5
C154B9	Per6
C154L10	LN6
C154L11	TD3
C154L12	LN7
C154L13	TD4
C154L14	LN1
C154L15	TD7
C154L2a	LN2a
C154L2b	LN2b
C154L4	LN3
C154L5	LN8
C154L6	LN4
C154L8	LN9
C154N1	Normal1
C154N2	Normal2
C154P1	PT1
C154P10	PT6
C154P11	PT11
C154P12	PT12
C154P2	PT2
C154P3	PT3
C154P4	PT4
C154P5	PT5
C154P6	PT10
C154P7	PT7
C154P8	PT8
C154P9	PT9
C154TD1	LN5
C154TD2	TD8
