sample	tissue_type	vertical	lateral
C154B1	gold2	blue	blue
C154B10	darkorange1	black	black
C154B2	darkorange1	black	black
C154B3	darkorange1	black	black
C154B4	gold2	blue	blue
C154B5	darkorange1	black	black
C154B6	gold2	blue	blue
C154B7	gold2	blue	blue
C154B8	gold2	blue	blue
C154B9	gold2	blue	blue
C154L10	darkorange1	black	black
C154L11	darkorange1	black	black
C154L12	darkorange1	black	black
C154L13	darkorange1	black	black
C154L14	darkorange1	black	black
C154L15	darkorange1	black	black
C154L2a	darkorange1	black	black
C154L2b	darkorange1	black	black
C154L4	darkorange1	black	black
C154L5	darkorange1	black	black
C154L6	darkorange1	black	black
C154L8	darkorange1	black	black
C154N1	black	black	black
C154N2	black	black	black
C154P1	springgreen4	red	purple
C154P10	springgreen4	red	red
C154P11	springgreen4	red	purple
C154P12	springgreen4	red	red
C154P2	springgreen4	red	purple
C154P3	springgreen4	purple	red
C154P4	springgreen4	purple	purple
C154P5	springgreen4	red	purple
C154P6	springgreen4	red	purple
C154P7	springgreen4	red	purple
C154P8	springgreen4	red	purple
C154P9	springgreen4	red	red
C154TD1	darkorange1	black	black
C154TD2	darkorange1	black	black
