sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E11P1	springgreen4	navy	purple4	red	red	purple	red	black
E11P2	springgreen4	navy	purple4	red	red	purple	purple	black
E11P3	springgreen4	navy	purple4	red	red	red	purple	black
E11P7	springgreen4	purple	dodgerblue3	purple	purple	purple	purple	dodgerblue
E11P8	springgreen4	purple	dodgerblue3	purple	purple	red	purple	dodgerblue
E11P9	springgreen4	purple	dodgerblue3	purple	purple	red	red	dodgerblue
E11P10	springgreen4	purple	dodgerblue3	purple	purple	red	red	dodgerblue
E11P11	springgreen4	purple	dodgerblue3	purple	purple	red	purple	dodgerblue
E11P13	springgreen4	purple	dodgerblue3	red	red	red	purple	dodgerblue
E11L2s	darkorange1	navy	purple4	black	black	black	black	springgreen4
E11L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E11L5	darkorange1	purple	dodgerblue3	black	black	black	black	springgreen4
E11L7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E11L2p	darkorange1	navy	purple4	black	black	black	black	springgreen4
E11L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E11L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E11B1	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E11B2a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E11B2b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E11B2c	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E11B3	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E11B4	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E11H1	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E11X2	darkorange1	purple	dodgerblue3	black	black	black	black	dodgerblue
E11X3	darkorange1	purple	dodgerblue3	black	black	black	black	dodgerblue
E11X4	darkorange1	navy	purple4	black	black	black	black	dodgerblue
E11N4	black	grey50	grey50	black	black	black	black	black
E11N2	black	grey50	grey50	black	black	black	black	black
E11N6	black	grey50	grey50	black	black	black	black	black
