sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E16P1	springgreen4	navy	purple4	red	red	purple	purple	black
E16P2	springgreen4	navy	purple4	red	red	red	purple	black
E16P3	springgreen4	navy	purple4	red	red	red	red	black
E16P4	springgreen4	navy	purple4	red	red	red	purple	black
E16P5	springgreen4	navy	purple4	purple	purple	red	purple	black
E16P6	springgreen4	navy	purple4	purple	purple	red	purple	black
E16P9	springgreen4	navy	purple4	purple	purple	red	purple	black
E16P10	springgreen4	navy	purple4	purple	purple	red	red	black
E16P11	springgreen4	navy	purple4	purple	purple	red	red	black
E16P12	springgreen4	navy	purple4	purple	purple	purple	red	black
E16L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L9	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L10	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16L11	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B5	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B6	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B10	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B11	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B12	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B13	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B14	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B15	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B17	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B18	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B19	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B20	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B21	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16B22	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E16X1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16X3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E16N1	black	grey50	grey50	black	black	black	black	black
E16N2	black	grey50	grey50	black	black	black	black	black
