sample	tissue_type	grade	grading	vertical	lateral	timing_mets
E20P1	springgreen4	red	red	red	red	black
E20P2	springgreen4	red	red	purple	red	black
E20P3	springgreen4	red	red	purple	purple	black
E20P4	springgreen4	red	red	purple	purple	black
E20P5	springgreen4	red	red	purple	purple	black
E20P6	darkorange1	black	black	black	black	springgreen4
E20P7	springgreen4	red	red	red	purple	black
E20P8	springgreen4	red	red	red	red	black
E20P9	springgreen4	red	red	red	red	black
E20P10	springgreen4	red	red	purple	purple	black
E20P11	springgreen4	red	red	red	purple	black
E20B1	gold2	blue	blue	blue	blue	springgreen4
E20B2	gold2	blue	blue	blue	blue	springgreen4
E20B3	gold2	blue	blue	blue	blue	springgreen4
E20B4	gold2	blue	blue	blue	blue	springgreen4
E20B5	gold2	blue	blue	blue	blue	springgreen4
E20B6	gold2	blue	blue	blue	blue	springgreen4
E20B7	gold2	blue	blue	blue	blue	springgreen4
E20B8	gold2	blue	blue	blue	blue	springgreen4
E20N1	black	black	black	black	black	black
E20N2	black	black	black	black	black	black
E20N3	black	black	black	black	black	black
E20X1	gold2	blue	blue	blue	blue	springgreen4
E20X2	gold2	blue	blue	blue	blue	springgreen4
E20X3	gold2	blue	blue	blue	blue	springgreen4
E20X4	gold2	blue	blue	blue	blue	springgreen4
E20X5	darkorange1	blue	blue	blue	blue	springgreen4
E20X6	darkorange1	blue	blue	blue	blue	springgreen4
E20X7	darkorange1	blue	blue	blue	blue	springgreen4
E20X8	darkorange1	black	black	black	black	springgreen4
E20X9	darkorange1	black	black	black	black	springgreen4
E20X10	darkorange1	black	black	black	black	springgreen4
E20X11	darkorange1	black	black	black	black	springgreen4
E20X12	gold2	blue	blue	blue	blue	springgreen4
E20X13	darkorange1	black	black	black	black	springgreen4
E20X14	darkorange1	black	black	black	black	springgreen4
E20X15	gold2	blue	blue	blue	blue	springgreen4
E20X16	darkorange1	blue	blue	blue	blue	springgreen4
E20X17	gold2	blue	blue	blue	blue	springgreen4
E20X18	darkorange1	blue	blue	blue	blue	springgreen4
E20X20	gold2	blue	blue	blue	blue	springgreen4
E20X21	gold2	blue	blue	blue	blue	springgreen4
E20X22	darkorange1	blue	blue	blue	blue	springgreen4
E20X23	darkorange1	blue	blue	blue	blue	springgreen4
E20X24	darkorange1	blue	blue	blue	blue	springgreen4
