sample	tissue_type	treatment	resection_procedure	timing_mets
E7A1a	dodgerblue	navy	lightseagreen	dodgerblue
E7A1b	dodgerblue	navy	lightseagreen	dodgerblue
E7B1a	dodgerblue	navy	purple4	springgreen4
E7B1b	dodgerblue	navy	purple4	springgreen4
E7B1c	dodgerblue	navy	purple4	springgreen4
E7B1d	dodgerblue	navy	purple4	springgreen4
E7B2a	dodgerblue	navy	purple4	springgreen4
E7B2b	dodgerblue	navy	purple4	springgreen4
E7B2c	dodgerblue	navy	purple4	springgreen4
E7B2d	dodgerblue	navy	purple4	springgreen4
E7B3a	gold2	navy	dodgerblue3	dodgerblue
E7B3b	gold2	navy	dodgerblue3	dodgerblue
E7B3c	gold2	navy	dodgerblue3	dodgerblue
E7B3d	gold2	navy	dodgerblue3	dodgerblue
E7B3e	gold2	navy	dodgerblue3	dodgerblue
E7B3f	gold2	navy	dodgerblue3	dodgerblue
E7B3g	gold2	navy	dodgerblue3	dodgerblue
E7B3h	gold2	navy	dodgerblue3	dodgerblue
E7B3i	gold2	navy	dodgerblue3	dodgerblue
E7B3j	gold2	navy	dodgerblue3	dodgerblue
E7N1	black	grey50	grey50	black
E7N2	black	grey50	grey50	black
E7P1a	springgreen4	navy	darkorchid4	black
E7P1b	springgreen4	navy	darkorchid4	black
E7P1c	springgreen4	navy	darkorchid4	black
E7P1d	springgreen4	navy	darkorchid4	black
E7P1e	springgreen4	navy	darkorchid4	black
E7P1f	springgreen4	navy	darkorchid4	black
E7P2a	gold2	navy	springgreen1	dodgerblue
E7P2b	gold2	navy	springgreen1	dodgerblue
E7P2c	gold2	navy	springgreen1	dodgerblue
E7P2d	gold2	navy	springgreen1	dodgerblue
E7P2e	gold2	navy	springgreen1	dodgerblue
E7P2f	gold2	navy	springgreen1	dodgerblue
E7P2g	gold2	navy	springgreen1	dodgerblue
E7P2h	gold2	navy	springgreen1	dodgerblue
E7X1	gold2	navy	dodgerblue3	dodgerblue
