sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E3P1a	springgreen4	navy	purple4	purple	purple	purple	red	black
E3P3a	springgreen4	navy	purple4	purple	purple	purple	red	black
E3P4a	springgreen4	navy	purple4	purple	purple	purple	red	black
E3P5a	springgreen4	navy	purple4	purple	purple	red	red	black
E3P6a	springgreen4	navy	purple4	purple	purple	purple	purple	black
E3P8b	springgreen4	navy	purple4	red	red	red	purple	black
E3P9b	springgreen4	navy	purple4	red	red	red	purple	black
E3P10b	springgreen4	navy	purple4	red	red	red	purple	black
E3P11b	springgreen4	navy	purple4	purple	purple	purple	purple	black
E3P12b	springgreen4	navy	purple4	purple	purple	darkorange1	darkorange1	black
E3P13b	springgreen4	navy	purple4	red	red	red	red	black
E3P14b	springgreen4	navy	purple4	purple	purple	purple	red	black
E3P15c	springgreen4	navy	purple4	red	red	purple	purple	black
E3P16c	springgreen4	navy	purple4	red	red	purple	red	black
E3P17c	springgreen4	navy	purple4	red	red	purple	purple	black
E3P18c	springgreen4	navy	purple4	red	red	purple	red	black
E3P19c	springgreen4	navy	purple4	purple	purple	red	red	black
E3P20c	springgreen4	navy	purple4	purple	purple	darkorange1	darkorange1	black
E3L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E3L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E3L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E3L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E3A1	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E3A2a	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E3A2b	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E3A2c	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E3X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E3N1	black	grey50	grey50	black	black	black	black	black
E3N4	black	grey50	grey50	black	black	black	black	black
E3B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
