C146B1b_1	C146B1b_2	C146B1b_3	C146B1c_1	C146B1c_2	C146B1c_3	C146LN1_1	C146LN1_2	C146LN1_3	C146LN2_1	C146LN2_2	C146LN2_3	C146LN3_1	C146LN3_2	C146LN3_3	C146LN4_1	C146LN4_2	C146LN4_3	C146LN5_1	C146LN5_2	C146LN5_3	C146LN6_2	C146LN6_3	C146N1_1	C146N1_2	C146N1_3	C146P1_1	C146P1_2	C146P1_3	C146P2_1	C146P2_2	C146P2_3	C146P4_2	C146P4_3	C146P5_1	C146P5_2	C146P5_3	C146P6_1	C146P6_2	C146P6_3	C146P7_1	C146P7_2	C146P7_3	C146P8_1	C146P8_2	C146P8_3	C146P9_1	C146TD2_1	C146TD2_2	C146TD2_3
597	674	620	516	461	402	943	966	1062	876	656	792	634	474	592	761	748	778	863	1016	995	497	486	1099	1035	1339	658	662	777	671	753	791	176	127	217	184	186	188	175	212	658	549	677	558	552	1000	50	669	679	675
1151	1313	1233	1022	1044	792	1918	1921	2186	1820	1404	1524	1276	934	1143	1491	1491	1592	1816	2093	1901	1078	1038	2364	2108	2850	1324	1423	1663	1379	1584	1587	351	270	459	382	412	434	366	501	1336	1115	1378	1279	1140	1772	108	1364	1373	1370
1891	2211	2122	1718	1873	1303	3520	3271	3924	3062	2491	2756	2268	1661	2153	2687	2749	2854	3151	3538	3311	1822	1852	4179	3888	5174	2482	2352	3050	2568	2656	2870	641	488	871	655	820	847	661	885	2330	2133	2427	2128	2014	3270	253	2437	2511	2407
2944	3645	3273	2517	2583	2019	4846	4820	5509	4239	3390	4323	3220	2640	3350	4056	4276	3996	4250	4800	4985	2603	2689	6502	6568	8336	4067	3646	4892	3958	3698	3971	1074	762	1479	989	1218	1258	1077	1377	3433	3101	3926	3069	3323	4997	325	3998	3869	3920
4481	5235	4708	4068	3917	3107	7253	7605	8134	6510	5330	6302	4699	3993	4744	5581	6146	5766	6695	7459	7216	4272	4184	10340	10092	11946	6326	6168	7580	5758	6176	5667	1533	1083	2195	1570	1907	1868	1797	2032	4870	4728	5915	4381	5099	6993	570	5505	5624	5467
5318	6322	5414	4783	4645	3566	8765	8989	9707	7593	6306	7484	5751	4726	5745	6542	7215	6805	8029	8717	8371	5303	5080	12787	12717	14988	7765	7628	9351	7208	7533	7113	2071	1402	2709	2048	2473	2297	2277	2618	6099	6020	7350	5244	6187	8396	726	6690	6864	6533
5575	6548	5579	4950	4703	3603	9546	9426	10513	8088	6647	7860	6030	4817	5848	6647	7504	6983	8628	9472	8842	5980	5497	14376	13863	16025	8303	8349	10404	7736	8059	7761	2352	1465	2807	2322	2605	2373	2461	2739	6309	6584	7827	5534	6627	8824	752	7029	7069	6760
5556	6331	5578	4846	4486	3470	9767	9457	10512	8139	6585	7690	6151	4749	5785	6650	7132	6687	8973	9759	8792	6317	5535	14988	14363	16316	8513	8689	11178	7642	8249	7802	2441	1351	2842	2377	2564	2286	2450	2680	6386	6817	8029	5619	6667	8851	719	6925	6800	6543
4858	5502	4770	4200	3750	2932	8417	8581	9256	6913	5717	6697	5429	3985	5047	5683	6260	5564	7635	8781	8166	5726	5082	13278	13630	15117	7743	7920	10260	7080	7350	6978	2152	1171	2520	2155	2300	2079	2184	2365	5655	5967	7257	4817	5840	7553	564	5941	5565	5840
3051	3441	3340	2972	2596	2115	5863	5587	6114	4938	3916	4431	3802	2745	3417	3730	4146	3799	5123	6240	5574	4127	3666	9681	9148	10940	5318	5522	7221	4632	5195	4755	1288	617	1867	1385	1614	1554	1415	1589	4032	4104	5157	3308	4039	5084	374	3770	3639	3780
1379	1502	1394	1350	1206	1024	2743	2581	2868	2311	1743	1902	1808	1214	1592	1565	1919	1620	2162	2847	2686	2151	1827	5326	4843	6124	2632	2677	3697	2137	2522	2419	662	244	909	712	852	740	654	737	2090	2011	2642	1609	1945	2413	177	1843	1595	1799
464	463	436	498	446	326	858	835	1055	811	558	557	592	391	470	522	609	552	720	898	799	744	701	1921	1956	2093	821	955	1277	729	881	794	229	0	322	277	314	234	217	257	746	686	883	565	635	883	75	575	472	537
