C154B1_1	C154B1_2	C154B1_3	C154B3_1	C154B4_1	C154B4_2	C154B4_3	C154B5_1	C154B5_2	C154B5_3	C154B6_1	C154B6_2	C154B6_3	C154B7_1	C154B7_2	C154B7_3	C154B8_2	C154B9_1	C154B9_2	C154L11_1	C154L11_2	C154L11_3	C154L13_1	C154L13_2	C154L13_3	C154L14_1	C154L14_2	C154L14_3	C154L2a_1	C154L2a_2	C154L2a_3	C154L2b_1	C154L2b_2	C154L2b_3	C154L4_1	C154L5_1	C154L5_2	C154L5_3	C154L6_1	C154L6_2	C154L6_3	C154N1_1	C154N1_2	C154N1_3	C154N2_1	C154N2_2	C154N2_3	C154P1_1	C154P1_2	C154P1_3	C154P10_1	C154P10_2	C154P10_3	C154P11_1	C154P11_2	C154P11_3	C154P12_1	C154P12_2	C154P12_3	C154P2_1	C154P2_2	C154P2_3	C154P3_1	C154P3_2	C154P3_3	C154P4_1	C154P4_2	C154P4_3	C154P5_1	C154P5_2	C154P5_3	C154P6_1	C154P6_2	C154P6_3	C154P7_1	C154P7_2	C154P7_3	C154P8_1	C154P8_2	C154P8_3	C154P9_1	C154P9_2	C154P9_3	C154TD1_1	C154TD1_2	C154TD1_3
2943	5643	5620	4707	211	188	426	1154	1647	3287	314	626	1157	1105	1044	2667	81	333	361	14890	16289	30531	276	405	829	3390	4752	11211	1056	1172	4664	1378	1363	3363	15358	487	440	1799	918	1648	5193	123	84	400	230	106	269	622	1044	1990	2900	2288	5521	942	939	1564	287	250	493	916	803	2868	3092	1715	5913	2915	1406	6106	1943	919	4859	7513	8951	23974	1650	2334	9908	2961	1383	7314	1382	2089	6105	672	1334	2205
9479	18938	17851	9584	1250	1397	2793	4090	4874	11221	1495	1915	3967	3989	4027	9854	397	1475	2451	32035	31677	30149	1542	1989	4889	8830	12771	30000	5890	6654	24547	7010	7094	13556	30814	3809	4203	11754	4163	8987	20627	110	113	331	208	144	274	3150	4543	8958	11996	9031	20714	6072	5306	8480	2051	1662	2708	4377	3713	12314	10104	6261	20273	9541	6095	22948	9312	4411	22523	21607	24661	27069	6133	9094	23547	8258	4785	21411	6195	7208	24466	3783	8891	13685
11441	23396	21631	1145	2512	2909	6206	5375	6238	14225	2149	2360	4412	5086	5224	13739	838	2027	3375	3945	4440	8439	5607	7210	16712	7048	10793	25339	10835	13130	24222	10102	9875	20774	14879	8189	9002	24654	5535	12969	28121	215	194	511	431	266	834	5473	7835	16207	15351	11657	26580	9848	9228	15825	3549	2847	5704	6602	6078	19200	9818	6177	18432	10193	7639	26299	12538	6397	26479	19530	21682	27554	7481	11106	22872	7596	4416	19058	7224	9258	25023	7344	17572	27509
2001	4057	4118	172	2243	2225	5672	1243	1357	3991	481	536	990	998	925	2490	642	1189	1462	268	245	667	9741	11938	26667	1100	1621	4017	9395	11751	23331	4934	5104	9714	1481	9007	8567	24388	1775	4505	9304	743	665	2035	1520	967	3203	4526	6585	13080	3644	2786	6112	8138	7028	13924	2177	1755	5121	4240	3829	12977	4312	2606	7611	3454	2689	10209	6579	3249	14712	3680	4311	12119	3322	5200	22631	3901	2821	9529	4147	5053	16047	6706	15577	25702
650	1225	1283	298	857	759	2018	384	398	1200	217	129	517	739	625	1603	388	954	990	474	488	1088	9267	10488	24812	425	629	1963	4594	5879	24122	2433	2445	5646	1075	2195	2001	5288	1148	2858	6115	2020	1697	5608	3700	2686	8684	1975	3324	6829	2610	2184	4865	2283	2003	4353	650	529	1530	3278	2975	9772	2446	1580	4970	1970	1472	5320	4542	2020	10086	2104	2513	6186	1807	3028	12938	1239	755	3308	2631	3923	11983	1950	4370	7001
1155	2574	2427	733	927	1031	2273	672	820	1791	391	278	902	1460	1280	3152	660	1569	1541	1135	1169	2623	4543	5121	11853	768	1035	3380	1649	2185	11058	3791	3505	8718	2017	989	991	2488	961	2387	4978	5239	4707	15100	10121	6735	21901	2785	4558	9413	5432	4460	10264	2098	1851	3469	464	522	1011	4877	4935	14258	3943	3088	8780	3601	2667	9475	7972	3604	18095	4440	5140	13233	2673	4717	19745	1895	1206	4991	3849	5275	16600	1175	2677	3917
1589	3442	3243	980	1092	1274	2512	816	1082	2290	460	365	1124	1852	1620	4143	889	1804	1759	1581	1632	3681	3674	3977	8708	1101	1372	4546	1269	1791	7984	5214	4566	11412	2809	1180	1104	2985	1083	2583	5609	7172	6509	20827	13855	8951	26122	3683	5837	12394	7558	6154	14221	2496	2269	3975	574	596	1389	6318	6449	19167	5399	4214	11975	4658	3687	12100	10290	4830	23573	5972	7146	18472	3535	5919	23661	2400	1541	6476	4950	6659	20873	1326	3129	4368
1472	3052	3015	909	852	929	1975	710	878	1709	346	288	965	1480	1283	3193	686	1360	1251	1432	1423	3498	3099	3327	7578	952	1176	3868	1047	1455	6032	4802	4119	10153	2625	874	877	2321	884	2179	5106	6478	5893	18469	11872	7883	25604	3380	5264	10947	6877	5589	12750	2095	1864	3402	420	430	1222	5625	5839	17537	4979	3742	11072	4263	3330	11187	8970	4257	20871	5250	6309	16687	3220	5343	22345	2242	1486	5797	4523	5923	18592	1137	2549	3769
827	1681	1863	556	497	439	992	421	470	891	187	125	546	833	669	1745	311	656	634	771	765	2099	2052	2068	4637	553	660	2141	660	769	3343	2701	2209	5770	1518	606	519	1372	488	1445	3231	3996	3780	10930	6566	4537	15091	2054	3087	6236	4052	3578	7833	1253	1014	2415	209	225	790	3462	3538	10846	2870	2259	6264	2560	2029	6859	5272	2437	12321	2974	3806	9579	1999	3204	13314	1421	925	3425	2515	3369	10455	642	1518	2202
147	300	443	122	126	117	227	87	90	214	56	0	130	145	134	373	97	145	131	169	189	447	477	482	1168	157	160	551	162	136	780	563	517	1438	302	124	110	320	109	346	822	870	642	2666	1618	894	3538	399	698	1544	750	627	1791	283	245	730	61	0	320	719	748	2535	652	460	1515	549	411	1515	1145	489	2989	505	702	2204	371	626	3108	277	227	836	536	821	2533	140	334	531
