C154B1_1	C154B1_2	C154B1_3	C154B2_1	C154B2_2	C154B3_1	C154B3_2	C154B3_3	C154B4_1	C154B4_2	C154B5_1	C154B5_2	C154B6_1	C154B6_2	C154B7_1	C154B9_2	C154L11_1	C154L13_2	C154L14_1	C154L14_2	C154L14_3	C154L2a_1	C154L2a_2	C154L2a_3	C154L2b_1	C154L2b_2	C154L2b_3	C154L4_1	C154L4_2	C154L4_3	C154L5_1	C154L5_2	C154L6_1	C154L6_2	C154N1_1	C154N1_2	C154N1_3	C154N2_1	C154N2_2	C154N2_3	C154P1_1	C154P1_2	C154P1_3	C154P10_1	C154P10_2	C154P10_3	C154P11_2	C154P12_1	C154P12_2	C154P12_3	C154P2_1	C154P2_2	C154P2_3	C154P3_1	C154P3_2	C154P4_1	C154P5_1	C154P5_2	C154P5_3	C154P6_1	C154P6_2	C154P6_3	C154P7_1	C154P7_2	C154P7_3	C154P8_1	C154P9_1	C154P9_2	C154P9_3	C154TD1_1	C154TD1_2	C154TD1_3
423	479	314	64	0	563	315	3365	0	0	97	86	53	50	232	86	3063	111	114	400	540	644	3749	972	432	1149	758	1299	199	520	92	0	1328	966	101	65	0	155	51	0	110	368	86	279	420	1227	70	0	67	203	289	78	292	0	0	66	392	110	0	165	110	221	259	118	437	97	222	176	66	95	122	230
2048	2354	495	368	229	3676	1911	7042	162	130	1062	643	217	236	983	552	10166	835	553	2321	988	2089	14146	543	1896	4780	603	7503	877	941	331	159	4821	3494	0	59	0	96	50	106	729	2171	267	1445	2056	1356	623	270	405	402	580	312	891	77	166	221	2626	605	1029	1689	643	773	1529	423	946	630	558	854	264	638	644	420
3572	4205	81	628	416	7798	4012	876	350	328	2411	1445	366	393	1629	978	1931	5270	891	4258	0	1310	8750	90	1471	4036	102	14761	1641	140	636	361	7908	5956	82	64	111	155	0	204	1988	5851	238	1584	2313	290	1197	537	709	86	1347	752	655	300	671	455	5276	1308	338	6127	2407	880	3397	787	523	1087	2389	3119	237	1227	1105	190
499	611	0	123	62	1003	514	264	108	103	1179	693	0	0	251	294	213	9142	287	1230	62	250	1620	0	211	682	80	2266	235	0	343	201	1157	971	158	128	340	468	86	693	1954	5922	53	330	630	178	248	131	192	67	965	541	278	272	638	390	1053	237	395	7179	2682	187	1865	498	207	810	2186	2896	97	580	542	67
160	212	54	102	0	337	163	624	105	139	279	207	0	0	146	253	149	5358	92	269	84	63	245	64	183	546	229	497	54	58	97	76	369	282	554	444	1201	1268	361	2352	525	1765	80	265	450	515	257	0	134	118	424	223	493	198	341	225	1086	249	1007	1727	640	158	720	185	302	297	1084	1434	107	248	229	0
306	429	97	87	0	769	316	1205	189	226	369	193	81	0	430	442	391	2106	68	344	151	113	693	112	558	1520	438	910	101	130	52	60	809	567	1738	1483	2172	4066	1177	4485	775	2684	185	613	1001	1025	433	162	210	121	659	396	953	179	371	217	2928	627	1675	1656	610	350	1003	235	584	281	1076	1499	202	108	150	74
543	706	131	93	0	1454	667	1594	264	265	520	292	86	63	675	717	775	2273	90	567	0	204	1279	135	1042	2850	569	1673	142	160	57	0	1397	958	3184	2749	2686	7337	2177	5668	1342	4904	260	1076	1819	1289	527	160	226	130	1216	716	1230	236	481	332	4600	1037	2025	2972	1147	480	1761	450	805	449	1942	2719	263	190	179	94
705	924	132	182	97	1833	913	1430	257	289	679	345	133	103	874	844	963	2915	132	737	178	273	1725	117	1340	3693	518	2166	226	126	100	63	1744	1302	4064	3533	2414	9472	2839	4835	1770	6181	199	1436	2346	1112	465	185	158	94	1638	962	1159	324	611	379	5379	1246	1752	3915	1519	415	2344	627	680	547	2662	3531	262	263	271	71
646	821	58	147	106	1680	774	650	199	210	589	334	117	85	732	734	863	2532	120	639	0	276	1526	0	1233	3369	248	1880	223	56	89	64	1503	1184	3501	3113	1148	8065	2397	2337	1634	5323	90	1235	2123	509	362	137	133	0	1462	902	518	290	526	364	4699	1077	797	3431	1404	174	2077	566	295	459	2379	3090	105	220	212	0
287	424	0	68	0	859	427	0	84	108	211	157	65	0	353	254	392	1070	68	247	62	158	750	0	622	1713	0	868	85	0	64	83	712	609	1750	1544	0	3958	1164	0	757	2523	0	601	995	0	117	80	84	0	674	450	0	159	262	158	2158	489	0	1598	630	0	1004	247	0	219	1034	1351	0	100	131	0
