C154B1_1	C154B1_2	C154B1_3	C154B10_1	C154B2_1	C154B2_2	C154B2_3	C154B3_1	C154B3_2	C154B3_3	C154B4_2	C154B5_1	C154B5_2	C154B5_3	C154B7_1	C154B7_2	C154B7_3	C154B8_1	C154B9_1	C154L10_1	C154L10_2	C154L10_3	C154L11_1	C154L11_2	C154L11_3	C154L12_1	C154L12_2	C154L12_3	C154L13_1	C154L13_2	C154L13_3	C154L14_1	C154L14_2	C154L14_3	C154L2a_1	C154L2a_2	C154L2a_3	C154L2b_1	C154L2b_2	C154L2b_3	C154L4_1	C154L4_2	C154L4_3	C154L5_1	C154L5_2	C154L6_1	C154L6_2	C154L6_3	C154N1_1	C154N1_2	C154N1_3	C154N2_1	C154N2_2	C154N2_3	C154P1_1	C154P1_2	C154P10_1	C154P10_2	C154P10_3	C154P11_1	C154P11_2	C154P11_3	C154P12_1	C154P2_1	C154P2_2	C154P2_3	C154P3_1	C154P3_2	C154P3_3	C154P4_1	C154P4_2	C154P4_3	C154P5_1	C154P5_2	C154P5_3	C154P6_1	C154P6_2	C154P6_3	C154P7_1	C154P7_2	C154P7_3	C154P8_1	C154P8_2	C154P8_3	C154P9_1	C154P9_2	C154P9_3	C154TD1_1	C154TD1_2	C154TD1_3	C154TD2_3
2073	2181	3655	0	239	310	119	2942	2715	3307	158	817	497	403	186	823	723	105	0	247	240	375	3262	4259	3851	0	0	161	3230	3622	4239	635	1473	1814	29478	29588	29898	18597	15790	16587	5057	4409	3503	449	0	2403	2318	2571	82	0	0	0	0	0	1827	2263	2380	2354	1577	989	635	464	779	2254	2347	2084	2412	2410	2088	1586	1799	2266	3192	3073	2539	4171	5014	3637	3760	2512	2152	528	345	552	2719	2671	3173	3458	2601	2850	218
21672	19621	25853	87	3142	2946	2467	28821	29394	28522	1809	7786	6167	3588	6131	10019	5231	477	3435	3494	5256	3458	28150	28798	28841	3253	1036	1783	29990	29337	29119	6543	14054	13280	3253	2353	2965	5559	6037	6547	27869	29032	29634	3736	3354	29513	29741	23785	0	106	193	111	0	332	23418	18493	20287	18828	10215	8548	5532	6051	4408	25713	21511	19180	23143	27993	22025	21863	19720	17932	20340	17917	17817	28925	27712	29075	27739	27465	26921	8792	4865	6214	28259	28680	29146	30651	22077	24866	1957
1437	1156	2205	368	227	176	193	1961	1862	2203	282	628	326	448	0	1014	408	0	212	178	579	276	2897	3479	2848	466	0	140	1979	2616	2284	420	1072	1059	829	623	768	601	595	812	4334	3253	2693	314	553	2397	2191	1641	0	231	93	124	153	319	1773	1477	1352	1535	1169	539	927	655	423	2107	1839	2016	1872	1974	1538	1684	1144	1206	1243	1293	1291	3096	3633	3292	2087	2984	2882	586	292	429	1983	1995	2272	2050	1788	2173	120
664	678	842	2881	216	163	242	2393	2690	2841	211	314	104	189	2836	834	352	0	116	274	360	131	3680	4262	3584	146	266	453	1540	1841	1902	436	1401	769	2720	2147	3150	1343	1412	1691	2483	2021	1699	359	1361	2237	2322	1677	389	381	511	732	480	617	1910	1654	601	896	568	871	492	309	602	2366	1815	1774	1205	1346	871	1127	1214	890	1382	1250	1381	2248	3096	2410	2648	2626	3316	474	437	923	977	982	1183	731	384	831	61
2895	2542	2234	6728	340	651	728	6552	9621	9693	600	1004	422	461	3129	2607	951	130	542	1038	1519	570	10943	12683	10038	370	1410	1024	4639	6496	6296	1867	3570	2534	11830	8963	10244	3341	4203	4915	9172	7271	6252	642	896	6540	4562	3377	1796	1377	1365	2046	1519	2140	4301	4932	2026	2510	1777	2457	2380	1293	1667	4777	5116	4162	4196	3746	3043	3595	2577	2625	3997	3934	3774	6361	8066	6716	4692	4507	6750	2152	1367	1738	3598	2839	3622	2568	1627	2742	239
6412	6329	5936	7915	860	890	895	6752	11898	12067	1387	2304	1462	1046	2837	3816	1056	486	1543	1901	2432	747	14491	15388	11369	648	1357	1655	10438	13193	13279	2996	5002	3702	20151	14423	16577	8226	8023	9007	17177	13743	11485	880	401	5420	4230	4092	5442	3831	4201	5388	3954	6202	6416	7134	5697	5272	4574	2927	4023	1850	1837	7563	8636	6321	8342	7571	6229	7635	4388	5002	8161	6869	6946	11553	14675	11610	7817	6886	10298	3433	1791	1830	8772	6919	8987	5898	4407	5843	734
8498	7853	8569	3631	853	482	660	3366	5160	6029	818	2675	2037	1453	1935	2627	971	994	2775	1932	1885	536	5392	5245	3596	930	612	1070	11530	13898	13351	2050	2365	2367	15612	10947	14976	10300	9530	11619	16371	13595	11037	424	190	6454	5640	5353	16702	12486	13633	17068	13304	18491	7314	6407	10053	8071	6596	977	2226	691	1311	11728	9029	8054	9190	7717	6469	9058	4645	6267	10697	7666	9068	13184	15683	12756	11885	9542	13287	3821	1464	1453	14435	9888	12240	7440	6607	6468	1174
6270	4784	7426	307	1087	371	680	3255	4630	5200	774	1564	939	1162	2409	2527	1372	1433	2683	835	918	268	2929	2758	2803	358	289	156	7162	8422	8948	1517	1148	1530	9642	7732	9778	11788	10696	13458	10183	8703	7451	335	441	4904	4988	4100	26040	21325	24286	25658	24420	25572	10590	8996	11233	9520	7598	862	1419	496	1315	16519	10272	9515	11560	8106	6616	9682	3782	5000	14223	8342	12033	16404	16751	14603	14585	11779	15620	2349	984	957	17571	10944	11570	5694	3948	3650	1200
5925	4113	7306	57	1241	510	725	4104	6009	5703	1062	1340	895	1503	2879	3369	1721	1355	2802	788	668	180	3236	3850	3070	297	276	133	7393	8530	8470	1153	1298	1608	8106	6711	7866	14440	12519	15807	8589	7356	6126	329	137	4657	4542	3809	25904	26974	26474	25551	27219	24802	12424	11011	13639	11226	8676	994	1314	506	1087	21087	13034	12186	13045	9378	7700	10960	4230	5641	17462	9929	15035	19098	20432	16380	17483	14691	18124	2345	1249	921	21016	12903	13895	4419	2877	2572	1333
2737	2352	3714	0	712	215	491	2230	2994	3380	505	756	508	914	1864	2324	1170	668	1726	550	465	164	1911	2308	1345	190	138	144	3994	4683	4395	617	787	635	4175	3207	3845	9112	7702	9074	4443	3929	3006	220	58	2044	2243	1721	24599	18080	19882	25458	20783	25481	7303	6336	8557	6742	5080	418	737	357	567	12500	7835	7965	7097	4567	4462	6071	2761	2916	10519	6452	9039	11096	11913	9118	11507	8744	11079	1291	461	438	12998	8129	7698	1960	1629	1051	620
