C157B1_1	C157B1_2	C157B1_3	C157B2_1	C157B2_2	C157B2_3	C157Di2_1	C157Di2_2	C157Di2_3	C157Di1_1	C157Di1_2	C157LN3_1	C157LN3_2	C157LN3_3	C157LN4_1	C157LN4_2	C157LN4_3	C157N1_1	C157N1_2	C157N1_3	C157P10_1	C157P10_2	C157P10_3	C157P1_1	C157P1_2	C157P1_3	C157P2_1	C157P2_2	C157P2_3	C157P3_1	C157P3_2	C157P3_3	C157P4_1	C157P4_2	C157P4_3	C157P6_1	C157P6_2	C157P6_3	C157P9_1	C157P9_2	C157P9_3	C157TD1_1	C157TD1_2	C157TD1_3	C157TD2a_1	C157TD2a_3	C157TD2b_1	C157TD2b_2	C157TD2b_3	C157TD7_1	C157TD7_2	C157TD7_3
260	294	327	279	193	212	124	96	108	166	79	68	46	37	0	49	61	492	494	385	134	128	156	88	74	73	93	53	74	174	137	141	84	68	118	86	95	108	436	371	414	58	79	88	145	116	156	151	208	96	91	92
639	587	745	610	441	481	292	249	265	385	225	123	134	88	78	112	152	1183	1073	885	364	304	441	275	248	247	217	215	144	442	367	352	218	187	280	262	207	250	1155	937	926	179	212	223	339	261	367	382	553	263	252	275
1209	1246	1355	1056	855	873	626	517	477	779	445	239	270	180	187	240	330	2358	2353	1928	647	708	856	661	513	628	439	457	362	849	814	724	438	355	513	530	484	516	2281	1821	1918	424	429	459	766	580	835	838	1151	565	489	535
2221	2181	2514	1920	1658	1796	989	941	924	1410	817	431	451	335	347	402	552	3803	4180	3376	1212	1302	1653	1173	1070	1085	744	733	548	1402	1309	1295	721	709	992	994	779	1051	4204	3794	3983	779	767	880	1490	1073	1475	1440	1796	882	977	998
3254	2968	3584	2626	2343	2485	1336	1252	1228	1905	1106	637	736	579	632	742	985	4906	5446	4178	1788	1994	2411	1976	2036	2288	1236	1255	1016	2217	2283	2121	1274	1257	1795	1797	1499	1771	5957	5391	5350	1293	1437	1632	2338	1859	2511	2520	2984	1530	1663	1648
3510	3111	3807	2807	2610	2724	1384	1223	1247	1943	1164	762	926	733	931	1096	1390	4566	5138	3952	2078	2272	2794	2874	2994	3312	1597	1643	1273	2641	2820	2659	1670	1707	2550	2524	2083	2467	6600	5896	5858	1850	2029	2349	3146	2504	3258	3453	4047	2012	2202	2216
3010	2484	3318	2373	2316	2346	1123	908	1044	1629	997	774	931	761	1093	1283	1692	3391	3486	2624	1916	2129	2476	3394	3544	3878	1659	1635	1395	2602	2768	2675	1869	1846	2748	2711	2330	2598	5613	4916	4987	2067	2348	2780	3251	2641	3466	3782	4500	2060	2452	2460
2047	1673	2227	1639	1652	1609	716	481	628	1030	694	628	707	656	1037	1144	1600	1758	1613	1172	1438	1551	1766	3347	3377	3687	1340	1383	1121	2125	2275	2134	1594	1586	2389	2334	1991	2178	3783	3314	3238	1945	2206	2525	2861	2195	2973	3259	3814	1876	2181	2116
1078	790	1101	837	719	783	344	271	279	533	347	356	346	350	721	769	1186	736	730	476	738	726	886	2381	2363	2562	798	749	589	1142	1131	1106	948	964	1458	1375	1118	1272	1809	1588	1567	1270	1489	1674	1723	1208	1799	1984	2291	1179	1418	1373
426	343	444	338	312	308	125	88	111	203	178	168	143	131	267	342	550	231	195	115	321	255	334	1048	972	1024	321	328	215	494	516	458	403	438	565	565	411	492	787	592	627	581	595	622	690	487	736	847	1010	533	556	625
