C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2b_3	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_2	C158B3_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_2	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1b_1	C158TD1b_2	C158TD1b_3
470	483	712	271	372	372	484	497	439	370	537	250	481	434	147	320	240	799	633	647	577	604	426	253	321	247	314	420	387	433	565	408	101	61	0	239	89	91	768	748	807	589	761	840	416	500	358	529	528	366	604	688	532	639	365	245	145	125
1041	1189	1481	731	896	817	1022	1081	1013	827	1208	560	1128	869	366	704	540	1800	1393	1475	1364	1379	1043	551	725	532	719	910	865	917	1276	987	229	141	74	477	215	219	1597	1644	1672	1402	1609	1861	875	989	767	1192	1136	821	1347	1642	1247	1316	830	496	276	312
1921	2288	2693	1446	1518	1472	1875	2184	2058	1467	2072	1181	1956	1779	665	1403	907	3441	2808	3122	2349	2651	2026	1103	1454	1031	1481	1740	1502	1814	2717	1949	401	300	204	930	349	540	3340	3159	3400	2911	3072	3979	1496	1857	1569	2074	2245	1582	2699	2979	2342	2365	1546	950	557	620
3156	3776	4692	2662	2766	2522	2880	3542	3620	2570	3734	1747	3484	2946	1123	2276	1491	5516	4653	4924	4140	4402	3284	1897	2354	1775	2426	2935	2642	3149	4095	3432	607	481	318	1416	599	954	5434	5232	5357	4357	4968	6116	2661	2913	2233	3514	3554	2263	4597	5112	4333	3983	2764	1668	1035	1149
5181	5946	6813	4330	4353	3895	5014	5734	5834	4347	5933	2763	5608	4521	1773	3609	2581	8840	7238	7863	5815	6547	4935	2972	3747	2718	3814	4549	4160	4770	6583	5229	904	887	620	2108	1044	1574	8806	8820	8114	7606	8140	9043	4237	4555	3871	5644	5977	4150	6942	8327	6032	6640	4288	2764	1799	1837
6796	8133	9682	5436	5833	5192	6522	7606	7709	5600	7778	3830	7248	5868	2217	4550	3241	12697	10532	11203	8001	9209	6649	3908	4944	3702	5176	6237	5639	6317	8553	7032	1058	1127	867	2642	1286	1949	11414	11308	11105	9675	10650	12187	5181	5795	4953	6968	7392	5198	9399	11152	8479	8538	5966	3534	2350	2323
7412	8862	10676	5550	6277	5522	7035	8246	7999	5758	8223	4130	7549	6396	2320	4667	3190	14451	12110	12661	8714	10133	7613	4055	5098	3923	5623	6929	6122	6665	9218	7629	1064	1111	944	2500	1267	1927	12591	12247	11842	10562	10989	13345	5306	6503	5196	7252	7662	5338	10091	12049	9328	8948	6647	3745	2422	2250
7301	8914	10922	5153	5954	5139	6695	8006	7732	5486	7793	4045	7250	6333	2072	4013	2872	14425	12215	12543	8828	10554	7531	3752	4765	3695	5518	7094	6083	6433	8918	7401	954	1024	855	2250	1102	1625	12718	12424	11830	10795	10936	13021	5019	7166	4883	6861	7346	5227	10087	12012	9578	8859	6386	3426	2173	2087
6837	8373	10395	4464	5184	4490	6130	7152	6887	4815	6695	3689	6282	5654	1725	3221	2343	13994	11489	11798	8316	9812	7105	3286	4119	3122	5071	6588	5495	5841	8064	6803	730	802	690	1759	860	1334	12071	11669	11221	9778	10047	12110	4265	6568	4201	5975	6362	4565	9581	11200	9234	7981	5854	2874	1747	1670
5216	6347	8014	3342	3735	2941	4610	5394	5097	3688	4909	2600	4583	3903	1270	2147	1736	11621	9658	9917	5871	7409	5327	2257	2909	2183	3870	4841	3893	4295	5741	5078	541	434	461	1245	661	967	8764	8255	8308	7331	7202	8305	2755	4166	2605	4000	4220	3297	7318	8699	6759	5583	4277	1910	1117	1054
3556	4287	5197	2103	2114	2152	2883	3256	2958	2144	2922	1742	2702	2529	756	1425	1086	7135	5959	6115	4004	4239	3281	1319	1848	1292	2189	2808	2544	2901	3684	3236	301	239	296	773	310	515	4980	4633	5118	4054	4238	5092	1462	2193	1414	2308	2580	1835	4482	5078	4367	3365	2475	1240	745	610
1389	1597	2029	856	862	840	1071	1175	1122	882	1128	670	1000	962	325	603	396	2931	2421	2309	1517	1655	1167	423	690	489	818	1021	903	1075	1336	1226	108	73	149	302	107	217	1830	1753	1886	1477	1588	1887	508	844	495	873	841	709	1698	1873	1682	1223	945	499	258	232
