C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2b_3	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_2	C158O2b_3	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
496	451	695	178	208	450	571	407	352	288	459	329	309	322	506	191	216	248	406	371	453	397	94	431	166	188	222	483	512	418	639	570	569	0	58	219	183	473	650	510	1055	349	523	773	490	403	469	545	498	638	371	427	684	568	408	733	113	195	220
801	670	1014	234	287	609	787	492	556	344	688	559	516	458	703	241	301	303	769	797	893	518	227	710	201	216	318	727	618	521	834	743	701	61	0	239	250	478	924	736	1240	518	776	1021	644	528	535	642	572	837	550	644	839	677	643	1030	152	246	254
1433	1372	1882	373	353	960	1407	877	825	615	1066	863	995	788	1320	411	433	429	1100	1134	1341	947	571	1351	299	332	497	1392	1160	923	1671	1490	1364	78	130	312	404	729	1872	1809	2951	836	1561	1931	1134	817	844	1154	982	1340	1025	1194	1484	1191	1115	1811	222	276	343
4338	4246	5735	964	1037	2659	4344	2539	2522	1843	2828	2272	2935	2333	3992	1194	1392	1403	2819	2533	3110	3009	1712	3948	807	895	1364	4183	3570	2642	5477	5135	3965	238	271	1012	1164	2659	6587	5673	8005	2619	4718	5695	3610	2901	2449	3606	3369	4299	3142	3663	4419	4026	3675	5401	679	915	863
5790	5916	7867	2160	2142	5147	6160	4475	4554	3162	5394	4122	4073	3604	5820	2257	2776	2667	6095	6471	7361	3976	1891	4748	1622	1842	2262	5290	5019	4017	6593	5968	5284	516	688	2427	2425	4753	7226	6083	9268	3782	5796	7018	5323	4832	4383	5546	5478	6473	4508	4819	6230	5459	4539	7034	1333	2192	2121
3965	3869	4984	1638	1485	3772	3517	2672	2949	2098	4159	3056	2517	2105	3393	1275	1507	1370	5732	6189	7375	2263	1945	3070	899	1159	1519	2517	2727	2333	3328	3073	2937	410	513	1201	1396	1991	4061	3686	5429	2344	3367	4499	2190	2298	2095	3024	2921	3836	2836	2898	4014	2847	2412	4036	680	993	1246
10380	7271	11346	1759	2012	3805	6002	4367	5265	3205	4823	5180	5659	4745	8100	1738	2431	2373	4596	5266	5327	6232	5614	8171	1889	1809	2934	6901	7617	6511	9495	9458	9534	608	607	1645	1975	3702	11853	11450	14884	6167	9130	12348	5292	4586	5698	5124	5850	7271	6009	6692	10709	7117	6469	10540	1396	1739	1657
17879	14068	20955	4149	4582	8938	12909	9497	10756	6558	11110	10690	10134	9184	14934	3850	5288	4870	12410	14252	14759	10953	6439	13433	3860	3823	5394	12900	13424	11390	16369	16324	15949	1219	1272	4073	4572	8393	19841	18455	25545	11009	16388	21432	10664	9700	10876	11155	12054	14666	11410	12104	18060	13162	11840	19633	2877	3850	3770
11040	8414	11253	2874	2779	6504	6377	4967	5109	4167	8423	7226	4863	4284	6588	1584	2186	1591	15192	17781	19288	4565	2282	6092	1536	2008	2659	3982	4880	3486	4723	4587	4259	697	551	1583	2104	2424	7599	7161	10183	4537	7516	10076	3030	3384	2811	5212	4930	7357	6364	6081	8715	5272	4444	7430	932	1124	1579
4697	3215	3612	733	965	1170	1374	1185	1005	732	1572	1377	1005	814	923	246	339	346	3754	4800	4200	1946	625	2430	529	655	686	1353	1508	1007	1427	1693	1471	184	138	540	268	563	2556	2563	3122	1164	1903	2342	525	533	375	656	871	803	1211	1267	1368	1462	1127	1712	282	222	321
4230	3634	3713	731	986	1157	1576	1161	1158	789	1265	931	1078	874	840	351	603	347	2486	2965	2590	2315	606	2369	573	611	612	1474	1800	868	1429	1938	1471	160	204	474	475	542	3257	3598	4055	1396	2020	2682	523	658	490	715	834	583	1154	1542	1179	1474	1263	1705	358	238	331
3084	3000	2882	697	729	797	1041	952	743	540	894	578	777	787	663	312	457	282	2010	2670	1942	1167	198	1071	285	443	300	795	996	376	717	923	534	159	149	437	388	483	2934	3565	3969	1292	2086	2249	556	593	388	611	865	430	948	1179	759	917	855	760	206	170	109
1906	1728	1686	391	443	493	534	500	367	391	691	342	484	538	442	230	275	156	1600	2127	1503	409	0	442	102	205	132	216	303	115	258	437	179	96	112	489	330	366	2253	2562	2906	906	1396	1543	446	449	148	420	602	247	596	805	511	331	372	296	51	90	62
635	528	547	106	139	110	153	139	178	103	210	114	212	97	133	108	111	110	468	731	466	163	0	126	71	0	0	130	158	0	84	107	0	0	0	94	132	113	754	650	901	294	459	588	96	110	89	139	165	104	162	248	74	154	133	64	0	0	0
