C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L2_1	C158L2_2	C158L2_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
1846	1553	1543	1170	885	426	1272	1180	825	1013	826	1111	1338	587	94	138	134	419	442	554	1072	1130	776	1899	1586	1278	393	489	636	1313	1183	1149	1350	274	279	166	281	507	255	1330	1664	1610	1349	1273	564	687	358	693	1295	880	1540	1994	2047	1536	1494	1574	648	462	480
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4926	4356	4430	2915	2302	1239	3444	3303	2055	2656	2360	3063	3679	1718	259	345	374	1077	1129	1462	3033	3186	2392	5362	4816	3840	1069	1484	1800	3514	3514	3164	3941	776	818	495	773	1217	743	3688	4705	4421	3986	3772	1586	2109	1032	2022	3671	2459	4251	5485	5905	4236	4630	4620	1762	1274	1327
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8645	7623	7791	4709	4022	2174	5768	5715	3387	4494	4085	5244	6407	3076	478	547	580	1693	1893	2321	5249	5678	4241	9539	8864	6921	1843	2487	3036	6137	6157	5438	6638	1346	1493	845	1324	1937	1269	6476	8252	7840	7187	6895	2761	3839	1847	3498	6314	4117	7477	9637	10678	7337	7917	7919	3025	2129	2162
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8296	7344	7327	4039	3609	1967	5396	5307	3056	4072	3772	4824	6103	2848	479	501	492	1516	1681	2000	4866	5434	3939	8772	8459	6463	1722	2202	2691	5713	5720	5219	5890	1237	1431	672	1227	1699	1169	6172	7667	7565	6997	6546	2543	3716	1639	3130	5675	3882	7439	9220	9781	6821	7596	7122	2894	1893	1868
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1131	973	1000	577	544	223	717	683	432	537	479	650	964	377	90	56	88	194	251	228	668	804	492	1148	1222	783	328	392	294	819	643	824	731	186	260	119	153	201	117	861	1086	1199	842	764	428	502	166	471	823	524	1108	1323	1331	928	1054	788	441	226	222
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
