E1A1_1	E1A1_2	E1A1_3	E1B1_1	E1B1_2	E1B1_3	E1B2_1	E1B2_2	E1B2_3	E1B4_1	E1B4_2	E1B4_3	E1B5_1	E1B5_2	E1B5_3	E1B6_1	E1B6_2	E1B6_3	E1B7_1	E1B7_2	E1B7_3	E1B8_1	E1B8_2	E1B8_3	E1L1_1	E1L1_2	E1L1_3	E1L2_1	E1L3_1	E1L3_2	E1L3_3	E1L5_1	E1L5_2	E1L5_3	E1L6_1	E1L6_2	E1L6_3	E1L7_1	E1L7_2	E1L7_3	E1L8_1	E1L8_2	E1L8_3	E1N1_1	E1N1_2	E1N1_3	E1N2_1	E1N2_2	E1N2_3	E1P10_1	E1P10_2	E1P10_3	E1P11_1	E1P11_2	E1P11_3	E1P12_1	E1P12_2	E1P12_3	E1P1_1	E1P1_2	E1P1_3	E1P3_1	E1P3_2	E1P3_3	E1P4_1	E1P4_2	E1P4_3	E1P5_1	E1P5_2	E1P5_3	E1P6_1	E1P6_2	E1P6_3	E1P7_1	E1P7_2	E1P7_3	E1P8_1	E1P8_2	E1P8_3	E1P9_1	E1P9_2	E1P9_3	E1X1_1	E1X1_2	E1X1_3
1764	1394	473	74	68	55	61	70	0	179	709	95	1507	1234	196	444	971	609	383	766	537	858	557	468	199	0	0	520	3638	782	333	1122	1642	667	157	60	81	234	135	63	140	82	44	508	532	350	1337	406	729	101	107	85	157	264	73	198	113	61	224	115	88	165	67	0	72	47	0	111	47	0	293	161	51	359	233	0	899	796	190	2613	1193	527	2547	2360	2062
3474	2747	1061	183	133	88	164	145	65	422	793	223	3550	2925	468	1150	1080	808	699	1616	1267	1529	1051	976	460	82	0	964	8535	2008	690	2242	3834	1089	380	230	120	579	279	104	503	208	107	1213	1085	760	2116	709	1617	285	237	185	460	529	209	502	304	135	523	269	182	377	163	36	153	92	84	221	82	64	565	406	113	533	507	64	1721	1467	435	5603	2595	1233	5408	5149	4676
6474	5019	2074	738	377	227	456	465	150	1206	1139	482	6344	6138	577	2125	1557	1749	1353	2027	2532	2340	1872	1902	951	305	99	1591	15128	3261	1084	4005	6451	2155	954	654	171	1040	840	256	1231	626	274	2133	2014	1376	3478	1231	2811	840	669	438	1129	1207	538	1294	950	385	1451	765	541	1085	425	127	414	329	148	715	180	172	1537	1132	303	1151	1357	228	2566	2612	713	9904	4604	2625	9592	9625	8087
7214	5792	2772	1573	977	451	888	942	338	2264	1870	603	7779	7460	553	3380	2589	2663	2238	2194	3063	2957	2859	2552	1674	706	253	2005	16789	4368	1746	4782	6921	2415	1507	1349	329	1641	1463	464	2462	1091	537	2160	2368	1660	4153	1373	3403	1783	1516	917	2198	1883	954	3093	1977	835	3727	1663	1093	2358	882	363	857	739	308	1382	373	326	3524	2417	658	2029	2052	465	4703	3811	976	13002	6288	3433	11330	10747	8986
7581	5888	3011	3718	2297	915	2034	2086	688	4508	4089	984	7532	6811	606	5433	4377	4294	3546	3661	3943	4484	4011	3332	3073	1683	510	2494	16133	5250	2065	5073	6280	2492	2756	2667	746	3346	2990	902	4492	2243	1255	2381	3022	2214	5037	1978	3603	4206	3569	1918	4623	3670	1814	5951	4485	1717	7898	3942	2262	4928	2111	775	1948	1477	567	2972	730	741	7573	5393	1466	4348	3888	1174	7903	5611	1705	13938	7967	4477	11255	10843	8631
6606	5687	2816	5907	3789	1449	3358	3707	1323	6710	6435	1566	6147	4561	526	7376	6485	6251	4894	5014	4406	5823	5197	3725	4852	2790	995	2985	12274	4872	2087	3861	4766	2118	3723	3952	1218	4804	4340	1409	6029	3293	1943	2599	3806	2490	4802	2792	3120	7032	5705	3074	6873	5506	2547	10113	7541	2987	13099	6418	3739	8037	3506	1425	3158	2696	948	4628	1385	1118	12028	8459	2343	6732	5409	1832	11386	7607	2404	14136	8582	4788	9288	8658	6941
6006	5388	2444	7109	4699	1864	4438	4848	1725	8439	7756	2078	3962	2258	363	8874	7762	7375	5562	5513	4677	6037	5550	3722	6373	3677	1329	3087	7725	4293	1780	2654	3236	1488	4309	4556	1637	5384	5030	1777	6684	3680	2225	2734	3837	2560	4897	3486	2671	8906	7324	3823	8593	6407	3123	12818	9486	3863	15703	8083	4512	9798	4548	1819	3880	3438	1265	5595	1847	1370	14867	10323	2937	8162	6241	2292	12924	8717	2790	12278	8788	4871	6578	6071	4889
4864	4105	1879	6387	4364	1731	4473	4985	1715	8158	7307	2078	2011	1417	230	7992	6869	6815	4784	4687	4204	5147	4801	3104	6547	3713	1390	2198	4940	3301	1231	1770	1834	904	3814	3886	1519	4636	4464	1722	5424	3170	1992	2545	3241	2242	3801	3397	1966	8236	6790	3675	7702	5786	2795	12118	9160	3828	15311	7557	4364	9274	4339	1776	3795	3161	1272	5064	1773	1230	13739	9594	2730	7222	5547	2056	11832	7694	2580	9777	7255	4014	4508	4397	3405
3106	2828	1316	4172	2587	1049	3083	3580	1170	5343	4770	1417	805	905	171	4783	4522	4030	2911	2623	2515	2989	2810	1722	4283	2519	989	1418	2571	1967	763	989	1131	553	2442	2558	994	2675	2841	1067	2650	1639	1086	1566	2102	1507	2439	2415	1353	5311	4403	2498	4761	3636	1607	8293	6370	2649	9493	4698	2815	6111	2796	1163	2582	2079	866	3122	1163	763	9174	5856	1588	4461	3187	1227	7351	4689	1627	5790	3807	2300	1878	2095	1742
1454	1205	622	1381	761	352	1167	1325	423	1885	1646	579	312	254	89	1458	1391	1586	957	1006	1106	989	789	691	1546	921	331	643	1196	690	264	409	414	206	947	782	359	773	966	365	1029	483	313	678	891	695	1066	987	583	1739	1468	908	1605	1215	597	2996	2280	961	3219	1598	1028	1989	1152	361	976	661	284	1188	357	212	3400	1915	469	1723	1173	344	3066	1515	609	2358	1503	861	743	803	535
