E10B10_2	E10B10_3	E10B11_1	E10B12_1	E10B12_2	E10B12_3	E10B13_1	E10B13_2	E10B13_3	E10B14_1	E10B2_1	E10B2_2	E10B2_3	E10B3_1	E10B3_2	E10B3_3	E10B4_1	E10B4_2	E10B4_3	E10B5_1	E10B5_2	E10B5_3	E10B6_1	E10B6_2	E10B6_3	E10B7_1	E10B7_2	E10B7_3	E10B8_1	E10B8_2	E10B8_3	E10B9_1	E10B9_2	E10B9_3	E10H1a_1	E10H1a_2	E10H1a_3	E10H1b_1	E10H1b_2	E10H1b_3	E10H1c_1	E10H1c_2	E10H1c_3	E10L10_1	E10L10_2	E10L10_3	E10L1_1	E10L1_2	E10L1_3	E10L2_1	E10L2_2	E10L2_3	E10L3_1	E10L3_2	E10L3_3	E10L5_1	E10L5_2	E10L5_3	E10L6_1	E10L6_2	E10L6_3	E10L8_1	E10L8_2	E10L8_3	E10N1_1	E10N1_2	E10N1_3	E10OL1_1	E10OL1_2	E10OL1_3	E10P10b_1	E10P10b_2	E10P10b_3	E10P11b_1	E10P11b_2	E10P11b_3	E10P13b_1	E10P13b_2	E10P13b_3	E10P14b_1	E10P14b_2	E10P14b_3	E10P1a_1	E10P1a_2	E10P1a_3	E10P3a_2	E10P3a_3	E10P4a_1	E10P4a_2	E10P4a_3	E10P5a_1	E10P5a_2	E10P5a_3	E10P6a_1	E10P6a_2	E10P6a_3	E10P7a_1	E10P7a_2	E10P7a_3	E10P8b_1	E10P8b_2	E10P8b_3	E10P9b_1	E10P9b_2	E10P9b_3	E10X1_1	E10X2_1	E10X2_2	E10X2_3	E10X4_1	E10X4_2	E10X5_1	E10X5_3	E10X7_1	E10X7_2	E10X7_3	E10X8_1	E10X8_2	E10X8_3	E10X9_1	E10X9_2	E10X9_3
611	638	801	672	1064	1142	765	1113	1321	664	1077	476	1031	732	1057	1069	764	994	1175	965	163	1101	559	782	900	201	529	935	920	772	954	938	882	764	573	965	995	696	914	1409	512	1017	865	395	494	454	1227	796	942	702	386	474	1063	710	744	473	678	687	770	895	838	532	336	542	159	331	347	525	651	721	1144	886	1016	1193	752	773	1121	700	720	611	208	342	1101	815	919	597	664	448	379	416	999	950	988	1102	603	796	955	475	670	1264	605	858	804	307	430	866	836	1109	1201	587	1384	845	1529	543	1140	1142	558	896	845	909	856	987
1533	1809	2391	1751	2951	3123	1946	2830	3497	2055	2958	1339	2894	2220	2898	3152	2402	2801	3374	2865	402	3046	1572	2447	2671	539	1691	2535	2523	2345	2605	2781	2400	2429	1669	2476	3135	2102	3167	3824	1251	2553	2055	1073	1198	1408	3550	2172	2542	1842	950	1195	2863	1942	2188	1326	1691	1952	2175	2323	2451	1355	1006	1273	233	379	423	1813	1961	2190	3114	2423	2704	3350	2191	2520	3313	1999	2152	1442	512	848	3012	2216	2526	1860	2018	1149	814	1038	3357	2755	2898	2900	1796	2072	3013	1382	2068	3586	1742	2287	2188	1071	1486	2502	2434	3486	3056	2022	4238	2552	4607	1709	3495	3398	1475	2353	2291	2589	2646	2932
3367	4079	6356	4025	7534	6749	4603	5807	6989	5435	7869	3084	7181	6122	7633	8062	6795	6353	8785	7683	888	7522	3911	5909	6229	1147	3837	6435	5851	5708	7089	7010	6361	5690	4213	6582	6823	5488	11309	9792	2880	5857	4468	2360	2470	2968	7688	4924	6197	4353	2335	2799	7243	4468	5082	3487	3745	4345	4743	5262	6017	3059	2082	2894	517	830	894	4765	4767	5625	7219	5711	6581	7522	5027	6114	7408	4846	6011	3229	1108	2198	7653	5053	5828	4777	5897	2669	1799	2471	9307	7661	8732	7156	4108	5693	7639	3786	5217	9242	4387	6603	5427	2879	3930	7161	7492	9119	8672	5404	9428	6038	10995	4143	8230	7683	3997	5820	5540	6015	6243	7426
6138	7289	12891	9175	14134	14677	8559	10960	13339	11637	15188	6460	14604	12599	16128	16768	13904	13389	17896	16064	2029	16091	8876	12655	13800	2614	8481	13088	12374	12009	14590	15044	13490	12607	8542	12808	14074	10983	20663	19225	5300	9684	8318	4484	4958	6161	16866	11220	13431	8670	4816	5298	14970	9980	10934	6771	6675	8263	10081	11016	12135	5472	3401	5387	1195	1827	2013	11180	11267	13202	15649	12858	14896	16161	10899	13438	16208	10874	13212	5658	2265	4633	15968	11046	13002	11240	13712	4920	3550	4689	17230	14413	16792	14703	9350	11813	16323	9010	12277	18788	9858	14133	12317	7196	9232	14876	14873	18622	16721	10896	20005	13126	22565	8971	17257	16815	8555	11711	11299	13093	13417	15554
9684	11014	17916	13535	20557	22039	11122	14184	18052	16958	20775	9342	20178	17885	23276	23977	19405	19108	25097	22911	3339	23387	13196	18546	20732	4038	12631	18465	17785	17528	21392	21845	19481	18494	11793	17749	20471	15065	26375	26147	7702	13527	12000	6360	6941	8773	23963	16353	19097	16060	9153	10804	21159	14495	15868	10164	10700	12947	14634	15870	17203	7775	5634	8045	2607	4141	4174	17854	18391	21009	22847	19021	21826	23515	15710	19709	23795	16160	19272	8335	3739	7012	22764	15837	19093	17325	21486	8280	6193	8393	22321	18786	21676	20288	13852	17071	24648	14139	18861	26499	14543	20361	19983	12028	14880	21153	20743	26510	24030	15489	26131	19077	26439	12770	25092	24293	12146	16112	15589	19182	19454	21839
10661	12363	16735	13823	21909	22955	9853	12463	16595	16281	19432	9124	19398	17959	23133	24655	18400	18568	23926	22486	3490	22964	13400	18510	20755	4053	12320	17762	18005	17529	20875	21499	19103	18468	10720	16739	19374	13851	23563	23815	7703	13713	11893	6670	6885	8802	22999	16095	18201	21314	12252	14626	20705	14298	15812	11010	12053	14155	14150	15720	16685	9259	6582	9338	5081	7405	7943	20373	20625	23378	23103	19656	22112	23183	15532	19530	23432	15960	19413	11375	4856	9544	22071	15834	19259	18795	23205	12129	8757	11637	18322	15745	17720	19424	13856	16796	26441	15098	19957	25756	14284	19603	23172	14317	16942	19911	19869	25371	23315	14660	25846	18408	26344	12517	24512	23784	11382	15253	14471	19396	19538	21090
9728	11571	9900	10391	17604	19014	7286	8870	12762	10118	13510	6320	13357	12943	16626	17964	11789	11929	15698	15419	2367	15562	9315	12814	14567	2779	8293	11874	12893	12643	14952	14132	12672	12539	6373	10518	12203	7879	13312	13574	6810	11545	10144	5627	4893	7237	15024	10500	11886	22199	12806	15405	15277	9713	10886	9281	10448	12058	10144	11332	11699	9535	6658	9537	10574	14488	16106	16484	16030	18619	16579	14419	15857	15714	10439	13472	16521	10942	13718	13939	5778	11210	15606	11497	14242	14356	17232	14374	10247	13412	9211	8009	8829	13679	9946	12177	19507	11402	14636	17033	9242	12667	19966	12419	14458	12518	12434	15886	15168	9726	17555	12338	19618	8219	16372	15704	7306	10019	9501	13295	13346	14242
9089	10508	3937	6992	12412	12867	6912	8457	12269	4187	7565	3347	7418	7928	9959	11710	5157	5664	7331	7950	1252	7989	5050	7294	8082	1421	3926	6067	7436	7660	8601	6683	6020	6253	2344	4443	5021	3204	5666	5932	7345	12504	10795	3992	3059	5382	7238	4955	5578	18574	10475	12997	8722	4782	5563	7259	8546	9739	5830	6988	6976	9946	6858	9612	15666	21253	23503	7187	6758	7966	8072	7303	7738	8387	5303	6877	9378	5947	7973	16487	6586	12947	9626	7217	9218	6496	7382	14321	10108	13204	5604	4868	4999	9498	6954	8434	9119	5299	6461	6922	3361	4529	11332	6880	7817	5250	5119	6807	6347	4428	8532	6024	10225	3908	7650	8107	3098	4517	4888	7017	7292	7190
8497	9674	2717	5348	9703	9939	6538	8178	11611	2532	6107	2746	6104	5980	7772	8761	3747	4148	5146	5096	704	5552	3648	5357	5548	921	2966	4553	5749	5679	6230	4541	4421	4242	1461	2752	3200	2273	4175	4164	7699	13306	11408	3214	2575	4212	5155	3685	3856	15500	8793	10890	6465	3456	4000	5937	7333	8187	4474	5080	5417	9464	6769	8950	17494	24024	25328	2565	2765	3213	5334	4521	4885	5850	3950	4916	6587	4341	4948	17615	6922	13071	7882	6003	7329	2904	3329	13447	9483	12351	5390	4563	4713	8513	5603	6321	5032	2887	3417	3889	1802	2504	6871	3793	4135	3220	3377	4437	4278	3209	6140	4559	7447	2921	5541	6218	2024	3148	3176	5180	5602	5532
6088	6450	1666	3687	6735	7213	4361	6162	8633	1618	3979	2135	3949	4162	5343	5622	2514	2718	3525	3460	559	3774	2490	3836	3843	622	2082	3038	4123	3957	4238	3467	2984	2805	969	1751	1955	1536	2723	3009	5306	9583	8784	2421	1708	2665	3314	2361	2467	10125	5403	6903	4206	2251	2553	4357	5262	5558	2801	3350	3389	6177	4839	5954	12800	17725	18642	1376	1393	1696	3528	3001	3218	3914	2745	3169	4246	2847	3363	13088	5186	9078	5799	4074	4776	1649	1864	8990	6289	8060	4280	3444	3347	5741	3933	4536	3765	2165	2381	2319	1082	1381	4424	2493	2768	1954	2116	2673	2707	2099	4476	2962	4910	1942	3691	4186	1309	1965	2058	3522	3867	3447
