E10B10_1	E10B10_2	E10B10_3	E10B11_1	E10B11_2	E10B11_3	E10B12_1	E10B12_2	E10B12_3	E10B13_1	E10B13_2	E10B13_3	E10B14_1	E10B14_2	E10B14_3	E10B2_1	E10B2_2	E10B2_3	E10B3_1	E10B3_2	E10B3_3	E10B4_1	E10B4_2	E10B4_3	E10B5_1	E10B5_2	E10B5_3	E10B6_1	E10B6_2	E10B6_3	E10B7_1	E10B7_2	E10B7_3	E10B8_1	E10B8_2	E10B8_3	E10B9_1	E10B9_2	E10B9_3	E10H1a_1	E10H1a_2	E10H1a_3	E10H1b_1	E10H1b_2	E10H1b_3	E10H1c_1	E10H1c_2	E10H1c_3	E10L10_1	E10L10_2	E10L10_3	E10L1_1	E10L1_2	E10L1_3	E10L2_1	E10L2_2	E10L2_3	E10L3_1	E10L3_2	E10L3_3	E10L5_1	E10L5_2	E10L5_3	E10L6_1	E10L6_2	E10L6_3	E10L7_2	E10L8_1	E10L8_2	E10L8_3	E10L9_1	E10L9_2	E10L9_3	E10N1_1	E10N1_2	E10N1_3	E10OL1_1	E10OL1_2	E10OL1_3	E10P10b_1	E10P10b_2	E10P10b_3	E10P11b_1	E10P11b_2	E10P11b_3	E10P13b_1	E10P13b_2	E10P13b_3	E10P14b_1	E10P14b_2	E10P14b_3	E10P1a_1	E10P1a_2	E10P1a_3	E10P3a_1	E10P3a_2	E10P3a_3	E10P4a_1	E10P4a_2	E10P4a_3	E10P5a_1	E10P5a_2	E10P5a_3	E10P6a_1	E10P6a_2	E10P6a_3	E10P7a_1	E10P7a_2	E10P7a_3	E10P8b_1	E10P8b_2	E10P8b_3	E10P9b_1	E10P9b_2	E10P9b_3	E10X1_1	E10X1_2	E10X1_3	E10X2_1	E10X2_2	E10X2_3	E10X4_1	E10X4_2	E10X4_3	E10X5_1	E10X5_2	E10X5_3	E10X7_1	E10X7_2	E10X7_3	E10X8_1	E10X8_2	E10X8_3	E10X9_1	E10X9_2	E10X9_3
720	966	375	494	831	314	473	702	262	503	426	156	702	847	180	1229	510	207	646	791	189	574	749	241	489	684	180	425	524	104	516	358	173	545	377	240	549	433	164	392	648	331	768	904	357	636	895	230	614	518	208	442	612	186	835	635	252	527	408	165	348	339	71	503	606	154	1778	1947	580	249	546	719	334	301	651	170	762	1777	210	1124	705	316	730	542	233	649	661	236	672	452	203	843	658	328	316	266	156	806	690	317	562	445	223	586	568	208	685	391	314	527	325	220	945	352	191	620	1012	327	558	849	243	489	812	387	445	974	263	445	573	184	585	530	162	349	428	93
1778	1673	855	1136	2340	803	1290	1711	687	926	939	401	1362	1894	457	2442	1402	540	1465	1839	526	1552	1649	616	1330	1693	448	1086	1485	326	1138	829	309	1204	943	610	1485	1131	474	818	1694	700	1374	1805	630	1511	2139	557	1172	907	406	1082	1401	421	1916	1539	584	1379	939	424	770	544	162	1152	1496	350	2730	2950	653	475	1194	1858	709	893	1894	373	1443	2798	498	2626	1762	746	1689	1619	595	1692	1443	629	1729	1065	515	2030	1660	933	753	634	393	1992	1678	735	1371	1094	491	1381	1244	457	1520	908	658	1592	798	563	1959	995	442	1594	2323	721	1429	2025	683	1358	2041	775	1344	2721	714	1018	1429	381	960	1069	308	688	963	241
3483	3011	1675	2705	4676	1557	2695	4151	1472	1655	1939	815	2543	4345	904	4008	2857	1105	2999	4207	1133	3137	3732	1421	3047	3364	1018	2377	2948	674	2288	1731	572	2628	2183	1174	2932	2278	1050	1814	2963	1268	2101	3256	1042	2716	4165	1214	1538	1537	566	2357	2682	798	4072	2937	1318	2684	1768	742	1464	1219	288	2146	3300	618	3464	4113	1139	646	1467	2345	1003	1885	3639	807	2554	4621	974	4930	4312	1805	3733	3262	1257	3588	3067	1377	3925	2340	1058	4228	3561	1816	1856	1523	841	4692	3360	1720	2955	2274	1021	3274	2599	977	3219	2156	1136	3102	1940	1290	3006	2089	1072	3469	4698	1715	3355	4588	1328	2650	3772	1331	2618	5264	1436	1659	2987	748	1387	1945	476	1071	1935	438
7297	5055	3187	5162	9383	3177	5888	7645	3026	2828	3664	1406	5018	8129	1859	5279	6051	2188	6410	7904	2200	6765	6794	2583	5627	6411	2022	4422	6086	1350	4277	3275	981	5099	3974	2260	6058	4824	1881	3466	5556	2339	2870	5964	1789	5155	7871	2260	1816	2274	886	4641	4681	1562	7421	6187	2434	5246	3427	1408	2626	2016	493	4287	5736	1257	3619	5265	1715	835	1437	2240	1087	4103	7655	1581	3650	6374	1778	9698	8819	3271	7152	7219	2685	7392	6228	2544	7923	4718	2196	8327	7645	3674	3241	2874	1661	8154	6556	2960	6002	4994	1924	6263	4996	1859	5903	4195	1959	6165	3775	2179	4201	4669	2059	6626	9104	3191	6618	9546	2749	5260	7695	2175	5525	9916	2894	3382	5793	1449	1905	3118	625	1736	3689	822
9934	6060	4299	7831	13458	4466	8222	10943	4216	3585	4924	1790	7067	11365	2668	5663	8384	3116	8982	11091	3045	9357	9349	3428	8123	8989	2889	6341	8630	1957	5714	4613	1343	6820	5941	3215	8536	6796	2782	4733	7569	3183	3145	7350	2304	6763	10565	3102	1930	2776	1090	6516	6190	2224	9994	8660	3300	7158	4529	1949	3494	3059	695	5584	7360	1679	2900	5525	2075	923	1162	1646	1043	5625	9996	2111	4186	7021	2398	13530	12628	4905	10278	10252	3770	10454	9107	3678	10846	6238	3076	11467	10613	5039	6075	5424	2756	10352	8125	3622	8278	6928	2550	8353	6676	2415	8598	6528	2743	8589	5871	3235	4739	6696	2866	9830	13171	4460	9593	13599	4039	7199	10308	2731	7880	14245	4166	4558	7890	1987	2063	3946	711	2228	4823	1079
9866	5688	4182	8444	14160	4463	8106	11083	4154	3385	4812	1679	7316	12875	2852	4954	8930	3241	9035	11418	3115	9352	9751	3649	8731	9231	3117	6661	8553	1963	5898	4722	1348	7126	6178	3274	8932	6754	2963	5056	7959	3003	2913	7464	2335	6438	10734	3029	1734	2598	981	6886	6215	2220	9788	8531	3385	7490	4868	2147	3371	3285	711	5116	6710	1636	1562	4564	1960	853	910	760	624	5401	9877	2085	4091	6601	2669	14600	13829	5242	11256	10744	4045	11497	9905	3841	11414	6280	3063	11508	11181	5133	8289	7530	3794	9200	7291	3356	7748	6796	2535	7935	6389	2414	9671	7431	2924	9626	6511	3304	4436	7258	3131	10644	14465	4795	10003	14827	4456	7118	10299	2764	8392	14948	4119	4494	8290	2000	1837	3682	704	2219	4482	1014
7664	4087	3319	6970	12117	3703	6320	9022	3234	2473	3492	1148	6144	10271	2371	3212	6857	2720	6898	8963	2496	7535	8199	2999	6841	7245	2513	5299	6840	1566	4709	3809	1125	5590	4871	2519	7546	5489	2293	4335	6500	2345	2124	5839	1926	4665	8196	2301	1229	1623	689	5711	4756	1829	7303	6449	2522	5787	3771	1685	2313	2247	530	3783	4593	1146	717	2215	1490	555	298	485	336	3872	7145	1484	3113	4591	2376	11742	11581	4348	8790	9104	3457	9265	8135	3049	8641	4325	2394	9130	8930	4063	9429	8488	4227	6449	5375	2404	5684	4794	1812	5705	4321	1683	8469	6395	2436	8422	5557	2870	2985	6120	2614	8903	12231	4032	8363	12281	3768	5104	8434	2091	7108	12655	3305	3609	6454	1633	1249	3058	522	1510	3241	749
5682	3048	2393	5848	9920	2984	4930	7144	2536	1738	2442	762	4846	8483	1922	2363	5470	2189	5203	7096	1981	5983	6910	2390	5505	6182	1989	4329	5468	1254	3748	3137	939	4489	3949	2043	6184	4543	1924	3609	5444	1788	1415	4624	1590	3243	6122	1796	850	1147	440	4772	3535	1463	5529	4691	1944	4653	2833	1396	1672	1719	338	2350	3223	837	351	1298	1067	370	170	184	170	2568	4808	1100	2522	3330	2029	9067	9130	3530	7120	7089	2670	7341	6151	2292	6188	2951	1752	6895	6852	3110	8603	7568	3729	3952	3440	1740	3904	3258	1275	3973	2917	1200	6360	4845	1851	6697	4506	2287	2250	4722	2137	7040	9739	3234	6539	9616	2964	3691	6716	1688	5755	10497	2731	2802	5221	1300	952	2525	394	1101	2078	518
3493	1839	1588	3535	6878	1850	2999	4658	1419	954	1387	464	2375	4635	1024	1489	3323	1468	3408	4436	1211	3519	4268	1542	3539	3717	1361	2723	3392	799	2415	1930	554	2760	2399	1193	3915	2933	1194	2279	3396	1074	891	2834	952	2138	3917	1008	466	604	292	3173	2253	968	3087	2394	1031	3000	1984	865	969	977	226	1530	1757	481	166	637	643	212	81	0	103	1696	3004	605	1623	2175	1413	5322	5158	1982	4065	3814	1515	4183	3536	1424	3803	1873	1061	4083	3988	1887	5034	4444	2370	2484	1942	931	2497	1812	777	2555	1764	672	3238	2336	959	4156	2367	1327	1177	2738	1311	3593	5301	1665	3517	5764	1669	2644	4194	1011	3440	6219	1559	1638	3289	816	551	1588	287	598	1497	303
1217	759	555	1452	2753	714	941	1873	549	318	425	164	613	1606	291	626	1220	581	1219	1660	429	1467	1858	678	1342	1541	443	1039	1463	310	878	832	262	1027	875	473	1536	1145	513	870	1527	485	329	1180	430	685	1524	380	168	167	97	1348	833	356	1023	645	295	1215	737	348	311	353	86	499	544	140	66	267	256	80	0	0	0	566	957	212	702	908	566	1682	1648	625	1289	1185	468	1463	1085	441	1236	598	342	1538	1250	660	1375	1075	665	800	548	301	836	440	302	840	576	239	1048	783	348	1282	609	365	376	818	417	1221	1871	551	1018	1626	549	989	1654	422	1217	2682	619	588	1330	330	221	716	120	144	408	109
