E10B10_3	E10B11_3	E10B12_3	E10B13_3	E10B14_3	E10B2_3	E10B3_3	E10B4_3	E10B5_3	E10B6_3	E10B7_3	E10B8_3	E10B9_3	E10H1a_3	E10H1b_3	E10H1c_3	E10L10_1	E10L10_2	E10L10_3	E10L1_3	E10L2_3	E10L3_3	E10L5_3	E10L6_3	E10N1_3	E10OL1_2	E10OL1_3	E10P10b_3	E10P11b_3	E10P13b_3	E10P14b_3	E10P1a_3	E10P3a_3	E10P4a_3	E10P5a_3	E10P6a_3	E10P7a_3	E10P8b_3	E10P9b_3	E10X1_3	E10X2_3	E10X4_3	E10X5_3	E10X7_3	E10X8_1	E10X8_2	E10X8_3	E10X9_3
2063	1092	1312	1045	837	1281	1296	935	1018	904	921	1072	1119	627	678	1208	1749	1043	758	1106	986	1250	361	504	1725	1281	699	1036	1104	1176	1629	1566	1052	1407	1031	882	910	1003	1409	1038	441	1166	1083	832	497	1583	542	502
3139	1733	2405	1912	1691	2220	2105	1649	2007	1801	1803	1898	1843	1300	1359	2244	3362	2004	1403	1698	1813	2369	657	1111	3191	2222	1293	1548	1946	2246	3042	2489	2032	2571	2060	1752	1694	1930	2073	1662	792	1838	1997	1559	975	2842	1111	1031
5581	2850	4226	3199	2706	3600	3315	2631	3502	3299	3320	3468	3156	1922	2397	3583	5384	3328	2170	2791	3259	3770	1037	1843	6602	3632	2284	2545	3100	3807	6032	4461	3026	4378	3689	3039	2775	3203	3572	2386	1412	3187	3299	2499	1628	4723	1761	1679
11746	5462	7802	5894	5279	7226	6405	5020	6404	6239	6036	6578	5666	3751	4391	7852	9539	6116	4228	5268	7952	6823	2193	3563	12082	6848	4302	4683	6461	7671	11892	7514	6262	8878	6380	5739	4696	5773	6638	4850	2449	5447	6092	5271	3020	8548	3229	3380
16492	10256	12420	8774	10048	12274	10453	9063	10660	10983	10624	11023	10320	6372	7425	10925	12492	8054	5406	8084	10873	10552	3096	6424	14686	13033	8880	8659	9850	11890	15004	13016	11302	13426	11465	9925	7232	10221	11631	8122	4215	9010	10688	9301	4531	12359	4937	6195
19953	17404	18045	11602	16786	18958	15137	13846	15644	16875	16128	16970	16578	9921	10807	12846	13850	8684	6294	11491	13313	15523	4213	10929	14459	21992	15583	12667	14076	16334	17247	18822	18359	17073	18851	15718	11150	16596	18733	12155	6447	13600	16590	15123	5882	16771	7448	9748
10446	16752	12639	7323	17047	16662	11145	12771	11888	13715	14540	14054	15535	8460	8652	6252	7159	4150	3381	8544	5929	11191	2405	10201	1909	25147	17853	11677	9664	10786	4937	15261	18720	11419	18221	14564	7405	16014	19635	10259	5177	10719	15049	13697	4763	12188	5281	9088
8207	17518	11834	5919	17568	16611	10272	12644	11520	13653	14268	14278	15635	8275	8334	4696	5602	2918	2586	7514	4547	10846	2220	10830	1083	25663	19065	9976	8805	9949	3339	14344	19152	6867	19527	15178	7127	16477	20384	10128	5165	10076	14722	14152	4270	11295	4460	9295
1819	2530	2272	1238	2290	2792	1943	1990	1781	2015	2044	2286	2362	974	1144	871	1225	463	530	1311	751	2150	433	1546	233	5263	2788	2009	1408	1682	681	2747	3294	1896	3548	2745	1553	3018	4045	1875	910	1796	2614	1933	885	2452	667	1172
910	1583	1245	624	1311	1465	1187	1185	1086	970	1139	1324	1568	690	723	536	496	228	242	805	420	1271	237	854	134	2616	1632	1030	884	927	417	1654	1679	871	1653	1441	978	1819	2249	997	507	1161	1357	1061	431	1364	507	750
307	404	396	193	314	378	342	374	290	265	264	307	377	145	150	142	93	0	79	178	125	353	70	215	0	815	378	367	212	245	118	476	554	350	479	384	515	514	654	315	126	268	411	262	116	371	126	183
