E11B1_1	E11B1_2	E11B1_3	E11B2a_1	E11B2a_2	E11B2a_3	E11B2b_1	E11B2b_2	E11B2b_3	E11B2c_1	E11B2c_2	E11B2c_3	E11B3_2	E11B4_1	E11B4_2	E11B4_3	E11H1_1	E11H1_2	E11H1_3	E11L1_1	E11L1_2	E11L1_3	E11L2p_1	E11L2p_2	E11L2p_3	E11L3_1	E11L5_1	E11L5_2	E11L5_3	E11L6_1	E11L6_2	E11L6_3	E11L7_1	E11L7_2	E11L7_3	E11N4_1	E11N4_2	E11N4_3	E11N6_1	E11N6_2	E11N6_3	E11P10_1	E11P10_2	E11P10_3	E11P11_1	E11P11_2	E11P11_3	E11P13_1	E11P13_2	E11P13_3	E11P1_1	E11P1_2	E11P1_3	E11P2_1	E11P2_2	E11P3_1	E11P3_2	E11P3_3	E11P7_1	E11P7_2	E11P7_3	E11P8_1	E11P8_2	E11P8_3	E11P9_1	E11P9_2	E11P9_3	E11X2_1	E11X2_2	E11X2_3	E11X4_1	E11X4_2	E11X4_3
324	316	354	384	421	434	1802	1196	2347	806	349	670	197	953	941	822	418	290	436	146	98	157	201	147	213	121	628	265	0	322	234	267	123	0	52	201	108	69	0	0	87	964	532	858	1264	698	858	573	246	435	0	0	0	73	0	0	77	73	2179	1107	966	1732	968	832	1853	856	1389	789	630	814	0	0	77
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1224	1327	1362	1826	1649	1488	7284	5143	8330	2778	1519	1951	881	3401	3517	2793	1701	1302	1773	822	276	567	1014	729	1113	452	2784	1304	317	1356	1050	1116	463	230	210	897	637	503	99	79	142	3429	2466	3105	4697	3140	3117	2642	1171	1686	229	112	244	313	171	187	295	193	10515	5359	4684	6902	4959	4243	6481	3535	5402	3100	2424	3247	250	164	217
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3553	4825	4709	5285	5162	5235	20587	15847	23204	6096	3565	4670	2998	7379	8285	6443	4226	3170	4706	1662	721	1360	3161	2048	3262	1567	7320	3669	907	4193	3192	3915	1602	1031	811	2684	2139	1890	392	267	294	11319	8474	9972	15332	10667	11051	10503	4975	6709	1182	446	1071	1301	571	1260	1036	723	22233	12007	11359	15485	11786	10603	15605	8599	13360	10878	8914	10987	740	551	623
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5307	6636	6556	9866	9860	9407	26015	21921	23290	9704	6993	8170	4310	6655	6573	6270	9185	7523	10018	1911	859	1212	7472	5776	7688	3117	13824	8427	1956	7446	5681	7754	3548	2195	1654	8935	7305	6966	1406	1033	925	18247	13519	15890	24130	17446	17821	19755	9987	13036	2304	1336	2345	2576	1249	3101	2740	2014	26439	13834	13686	16551	13746	11795	14491	7696	12483	16881	14495	18012	1929	1473	1269
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3882	5270	5048	8604	7981	8558	22269	16457	23585	11797	8374	9612	3305	6250	5982	6405	10494	8732	10988	1190	582	1077	8858	7161	9305	3625	17098	10906	2471	7161	5221	6433	4659	2577	1865	16262	13339	12447	2564	1649	1554	13385	9412	10942	16251	11054	12191	20417	10912	13903	2812	1641	2490	2808	1359	4096	3457	2678	11295	5542	5681	10149	7925	7525	12222	6139	10629	11545	9651	11645	2646	1928	1275
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2212	2789	2532	6195	5789	5312	11763	8085	14233	11520	8097	9106	1946	3635	3281	3857	9831	7657	10209	1497	615	1263	6525	4788	6468	1849	20270	13459	3297	5360	3433	4350	2658	1367	993	19371	15452	14733	2994	2145	1816	5744	4298	4994	5730	3562	4108	7908	4348	5020	1263	724	960	1139	595	2251	1781	1517	6299	2948	2968	4872	3528	3701	8810	4362	7682	4762	3634	4275	2630	1840	1116
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1386	1739	1529	3989	3643	3349	7240	4941	9378	8119	5590	5944	1315	2601	2283	2537	7226	5227	7262	1494	537	1337	4303	3358	4394	926	15905	9916	2713	3333	2143	2985	1578	760	559	14022	10703	10307	1873	1564	1028	3489	2335	2965	3213	2148	2412	2688	1742	1874	662	269	344	556	297	1277	802	904	4064	2056	2077	3232	2584	2369	3500	2089	3407	2875	2143	2670	2104	1475	903
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
329	430	378	950	915	786	1900	1211	2323	1903	1216	1440	284	661	537	661	1542	1199	1657	274	0	218	822	666	954	239	3233	1969	553	800	536	787	318	175	116	2493	1856	1819	412	253	178	848	632	800	804	525	679	777	389	499	167	58	81	87	92	344	209	216	1157	667	512	899	604	615	880	520	914	607	583	676	301	255	152
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
