E11B1_1	E11B1_2	E11B1_3	E11B2a_1	E11B2a_2	E11B2a_3	E11B2b_1	E11B2b_2	E11B2b_3	E11B2c_1	E11B2c_2	E11B2c_3	E11B3_1	E11B3_2	E11B3_3	E11B4_1	E11B4_2	E11B4_3	E11H1_1	E11H1_2	E11H1_3	E11L1_1	E11L1_2	E11L1_3	E11L2p_1	E11L2p_2	E11L2p_3	E11L3_1	E11L3_2	E11L3_3	E11L5_1	E11L5_2	E11L5_3	E11L6_1	E11L6_2	E11L6_3	E11L7_1	E11L7_2	E11L7_3	E11N4_1	E11N4_2	E11N4_3	E11N6_1	E11N6_2	E11N6_3	E11P10_1	E11P10_2	E11P10_3	E11P11_1	E11P11_2	E11P11_3	E11P13_1	E11P13_2	E11P13_3	E11P1_1	E11P1_2	E11P1_3	E11P2_1	E11P2_2	E11P2_3	E11P3_1	E11P3_2	E11P3_3	E11P7_1	E11P7_2	E11P7_3	E11P8_1	E11P8_2	E11P8_3	E11P9_1	E11P9_2	E11P9_3	E11X2_1	E11X2_2	E11X2_3	E11X4_1	E11X4_2	E11X4_3
674	646	692	541	587	734	2234	1723	3104	1274	931	1076	938	592	866	638	656	918	692	658	1131	272	181	387	646	481	837	358	145	146	1897	1117	520	628	512	678	347	170	149	972	807	1338	152	166	167	1315	801	1234	2612	1743	1923	2570	1180	1618	330	119	224	471	283	178	391	192	263	4187	1613	1702	2791	1662	1460	2606	1511	2474	1678	1383	1919	360	159	227
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1545	1595	1611	1403	1565	1548	5517	4103	7621	3098	2304	2410	1987	1116	1665	1599	1391	1746	1797	1644	2330	742	504	832	1736	1173	1590	814	278	208	4631	2603	1197	1686	1245	1502	690	317	255	2688	2224	3095	330	282	368	2987	1991	2667	6063	4105	4499	5865	2765	3584	647	291	453	1215	717	529	897	470	573	9446	3632	3608	5931	3793	3310	6167	3565	5354	4158	3596	4577	442	343	487
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2040	2001	2160	2126	2201	2129	7393	5412	9520	4222	2928	3046	2446	1374	1898	2018	1761	2140	2446	2115	2791	1125	816	1215	2521	1686	2173	1190	463	319	6399	3567	1654	2543	1817	2140	1023	444	315	3924	3274	4443	512	403	502	3893	2531	3264	7710	5212	5466	7159	3477	4482	928	481	689	1823	1084	785	1333	720	839	12060	4618	4531	7515	4695	3886	7828	4680	6688	5550	4663	5819	804	551	737
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1930	1887	2044	2412	2457	2667	6804	4932	8792	3769	2778	3173	2124	1283	1828	1967	1833	2352	2461	2200	3046	1249	978	1510	2749	1991	2561	1289	521	380	6243	3528	1776	2608	1977	2427	1246	518	379	4106	3376	4761	544	518	494	3465	2265	2979	6063	4202	4749	5510	2814	3607	1051	556	837	2032	1182	977	1440	806	997	10075	4150	3920	6381	3986	3664	6829	4170	6076	4798	4216	5226	927	638	842
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
849	842	935	1474	1436	1793	2811	2109	3864	1820	1241	1630	908	601	862	812	933	1350	1163	1013	1674	929	817	1204	1737	1261	1595	836	323	255	3685	2159	1035	1653	1321	1558	872	364	224	2617	2068	3071	319	311	272	1305	822	1262	1924	1355	1567	2180	971	1353	704	405	651	1453	795	804	1088	533	666	4086	1640	1606	2924	1609	1524	2489	1539	2564	1865	1792	2320	673	447	522
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
