E11B1_1	E11B1_2	E11B1_3	E11B2a_1	E11B2a_2	E11B2a_3	E11B2b_1	E11B2b_2	E11B2b_3	E11B2c_1	E11B2c_2	E11B2c_3	E11B3_1	E11B3_2	E11B3_3	E11B4_1	E11B4_2	E11B4_3	E11H1_2	E11H1_3	E11L2p_1	E11L2p_3	E11L2s_1	E11L2s_2	E11L3_1	E11L3_2	E11L5_1	E11L5_2	E11L5_3	E11L6_2	E11L7_1	E11L7_2	E11L7_3	E11N2_1	E11N2_2	E11N2_3	E11N4_1	E11N4_2	E11N4_3	E11N6_1	E11N6_2	E11N6_3	E11P10_1	E11P10_2	E11P10_3	E11P11_1	E11P11_2	E11P11_3	E11P13_1	E11P13_2	E11P13_3	E11P1_1	E11P3_1	E11P3_2	E11P7_1	E11P7_2	E11P7_3	E11P8_1	E11P8_2	E11P8_3	E11P9_1	E11P9_2	E11P9_3	E11X2_1	E11X2_2	E11X2_3	E11X4_1	E11X4_2
0	41	0	76	78	37	81	56	56	103	120	0	2393	1752	1464	150	99	182	93	91	0	0	234	94	55	105	193	318	214	0	1392	1068	540	148	267	192	133	88	75	102	196	0	68	94	66	90	63	59	93	138	0	49	0	0	313	264	116	889	373	529	137	73	106	148	191	86	0	0
0	61	0	236	178	66	233	140	145	242	223	71	5743	3080	3274	302	158	608	191	234	0	77	138	376	125	149	528	666	326	0	2731	2530	1259	296	574	554	278	194	170	176	55	43	183	162	129	212	157	113	238	323	57	113	0	0	676	604	318	1755	990	1407	412	171	347	385	450	177	33	0
120	211	83	579	475	155	727	419	360	715	603	214	11938	6975	6376	397	310	1209	413	602	72	179	268	686	273	260	1098	1294	552	46	4459	4830	2600	318	1230	1432	640	501	397	300	44	111	485	340	320	580	423	299	575	592	161	235	33	46	1432	1200	701	2606	2339	2680	1290	421	1022	790	958	496	92	97
240	423	114	980	784	233	1491	770	681	1252	1238	432	13950	8889	7981	344	526	1835	577	1200	144	338	289	597	334	266	1635	1664	644	83	5174	5571	3348	298	1369	1940	863	790	700	500	101	175	902	674	634	1059	857	565	899	959	283	382	48	92	2348	1632	1052	3496	3454	3496	2442	782	2079	1275	1426	694	155	170
390	599	216	1434	1232	322	2311	1217	1033	1896	1742	742	13195	8899	8076	501	733	2445	892	2054	243	406	246	327	373	259	2016	2275	913	139	5400	5373	3348	244	1195	1901	1318	1180	1030	627	146	208	1637	991	1031	1592	1365	876	1203	1336	395	424	85	172	3284	2188	1293	4628	4565	3884	3854	1305	3211	1833	1821	1010	228	243
579	883	265	1941	1799	475	3237	1792	1510	2491	2625	1045	9359	7168	6416	597	794	3242	1215	3024	321	564	178	179	305	184	2512	2687	1307	225	4702	4239	2700	148	910	1388	1834	1841	1729	493	206	230	2135	1371	1384	2055	1834	1136	1493	1528	440	353	176	303	4240	2355	1496	5443	4771	3857	4799	1481	4472	2066	2098	1383	238	495
869	1283	284	2530	2753	692	4347	2464	1942	2651	3938	1274	6350	5131	4359	542	603	4532	1519	3988	337	718	197	162	256	135	2876	3384	1742	369	3685	2922	1958	97	714	954	2555	2941	2748	387	276	280	2323	1538	1681	2610	2623	1461	1694	1850	508	286	316	409	5299	2181	1714	6245	4480	4205	5504	1325	6410	1926	2436	1844	349	1070
1089	1834	302	3066	3719	843	5079	3160	2376	2731	4923	1540	4875	4117	3589	335	362	4790	1681	4869	288	911	65	149	122	98	3072	3594	1890	406	2513	2145	1430	44	511	675	3451	3934	3681	333	323	277	2201	1479	1698	2934	3589	2011	1854	2188	556	171	446	491	6202	1457	1710	7259	3791	4708	5209	431	8072	1494	2972	2101	437	1156
946	1864	263	2624	3263	767	4260	3206	2022	2348	4432	1378	3594	2917	2567	146	198	4254	1338	4220	225	786	47	111	77	66	2568	2695	1447	329	1507	1341	643	0	245	364	3242	3391	3178	231	227	201	1677	1013	1607	2688	3431	2119	1669	1947	521	241	271	448	5403	1005	1341	6120	2745	3800	4527	260	6658	1168	2967	2033	488	1072
176	236	0	303	446	44	501	276	187	240	354	162	739	470	557	0	0	756	176	538	0	43	0	0	0	0	267	361	138	32	530	319	158	0	0	76	372	430	384	47	0	33	166	65	185	392	378	265	186	253	62	0	0	72	766	92	197	846	324	649	391	0	845	65	208	232	37	133
