E11B1_1	E11B1_2	E11B1_3	E11B2a_1	E11B2a_2	E11B2a_3	E11B2b_1	E11B2b_2	E11B2b_3	E11B2c_1	E11B2c_2	E11B2c_3	E11B3_1	E11B3_2	E11B3_3	E11B4_1	E11B4_2	E11H1_1	E11H1_2	E11H1_3	E11L1_1	E11L1_2	E11L2p_1	E11L2p_2	E11L2p_3	E11L2s_1	E11L2s_3	E11L3_1	E11L3_2	E11L3_3	E11L5_1	E11L5_2	E11L5_3	E11L6_1	E11L6_2	E11L6_3	E11L7_1	E11L7_2	E11N2_1	E11N2_2	E11N2_3	E11N4_1	E11N4_2	E11N4_3	E11N6_1	E11N6_3	E11P10_1	E11P10_2	E11P10_3	E11P11_1	E11P11_2	E11P11_3	E11P13_1	E11P13_2	E11P13_3	E11P1_1	E11P1_2	E11P1_3	E11P2_1	E11P2_2	E11P2_3	E11P3_1	E11P3_2	E11P3_3	E11P7_1	E11P7_2	E11P7_3	E11P8_1	E11P8_2	E11P8_3	E11P9_1	E11P9_2	E11P9_3	E11X2_1	E11X2_2	E11X2_3	E11X4_2
328	1108	1084	535	1287	1243	3088	2550	3704	2143	1163	2023	316	735	1756	1186	2277	1586	1763	2244	1559	256	1415	1631	1972	1488	427	1205	327	240	1889	1250	1626	1077	661	549	1418	341	1092	318	554	1157	1264	1535	546	345	1894	1421	1888	2098	1733	1737	1173	884	1249	892	564	691	261	776	662	683	380	422	3010	1030	1226	2368	1240	2048	726	1959	2082	1314	1191	2566	274
553	2727	2199	993	2045	2166	5338	4114	6293	3716	1736	3344	591	1442	2919	2029	3758	2814	2879	3840	2100	290	2379	3017	3396	1002	879	2048	585	300	2900	2091	2937	1826	1229	1195	2650	554	2636	447	974	2125	2077	2778	1042	1731	3234	2575	3183	3496	3180	2963	2220	1560	2239	1699	1115	1300	1143	1092	776	1145	610	662	5208	1860	2118	4255	2134	3434	1214	3447	3789	2363	2241	4088	476
1001	3403	3600	1910	3719	3829	9672	7696	11535	6723	3447	6039	1075	2476	5235	3526	6199	5223	5819	6670	3554	549	4584	5109	6080	2810	859	3521	1083	482	5886	4002	4988	3251	2277	1710	4734	1024	1798	549	1422	3877	3835	5411	828	1388	6197	4265	5379	6318	5127	5425	4327	2736	3682	3207	1538	2184	716	864	1663	2247	1202	1118	9005	3200	3535	8125	3771	6026	2215	6233	6985	4416	3946	6540	861
1557	5634	5656	2897	5625	5360	13950	11118	15871	9808	4707	8456	1652	3867	7467	5862	11314	7685	7592	10443	2972	554	7307	8167	9177	351	1361	4933	1386	851	8020	5932	7159	4271	3529	2424	8012	1992	2636	709	2511	7026	5126	7896	1162	4987	9402	6168	7186	10513	7106	8282	6538	4126	5530	5378	3046	3213	3020	1057	1075	3284	1743	1715	14189	5073	5715	12434	6267	9031	3578	9255	11105	6577	5772	8718	1330
2657	8140	8101	5553	10495	10479	21995	18235	24621	16575	8783	14656	2741	5478	12771	8404	15136	13770	14147	18591	3088	1026	12437	13513	18142	293	1179	8475	2531	1220	14757	11101	11608	6943	7110	4470	13048	3652	3671	1234	3002	11718	9951	13854	1641	2994	17752	11375	13181	17201	12311	13398	11753	7505	9201	7580	4113	4756	1837	1367	1426	5945	3516	2990	22808	7663	9188	20690	10082	14874	6476	15689	19037	11285	10379	15538	2381
3007	9985	8862	6490	12018	11169	22347	19112	22317	18840	9894	14947	3386	6139	13991	8836	16501	15978	16200	21682	2698	1049	15103	15604	19959	222	2058	8789	2926	1258	16854	12516	12289	8161	8453	5014	15705	4674	3938	1088	3298	14372	11682	15473	2316	2948	20421	13431	14655	19359	13498	14493	14992	9629	10576	7411	5928	4870	2293	1238	1621	7093	3982	3378	24192	8743	9901	23178	11436	16158	7537	18231	21430	12888	11812	16960	3141
2626	8219	6700	7128	13712	12941	21913	18458	21958	18105	10555	16065	3535	5896	13478	6640	9840	17349	17750	22847	1879	1335	15672	15141	23873	392	544	9940	3059	1269	18703	13900	13414	7883	9370	5295	14969	4206	3947	1040	3370	14661	13260	17192	2232	2986	23159	14337	16519	18536	13600	14332	16653	10450	10981	7448	4249	4751	2071	801	616	7319	5498	3350	23379	8105	9249	22996	10533	15164	7754	17486	22009	13313	12188	18467	3432
1591	3481	2597	3884	7128	5682	9451	7833	7794	9190	5206	7278	1725	2580	6370	3015	4881	8989	8906	11393	1424	939	9384	8152	11441	235	769	6079	1697	502	9062	6829	5371	4591	4951	3047	8502	1716	2336	692	1585	8404	7377	9267	1679	1511	12703	7825	8724	8839	7249	6691	12235	7776	6385	2867	2924	2429	924	386	574	3503	2420	1707	10744	4220	4157	10936	5173	7225	4333	8825	10986	7565	6277	9189	1998
575	1558	1290	1590	3068	2624	4624	3811	4325	4372	2327	3958	891	1265	3130	1365	2313	4248	4564	5331	685	478	3862	3663	5417	631	164	2894	703	232	4884	3233	2897	2009	2167	1202	3887	913	931	245	762	3651	2946	4238	586	923	5291	3271	4534	3930	3302	2651	5319	2810	2986	1738	1003	1152	468	264	322	1671	1212	682	5456	1896	2180	6036	2432	3797	1866	3933	5237	3094	2822	3985	602
314	679	741	734	1300	1026	1973	1610	1811	1891	992	1509	377	578	1362	664	1116	1831	2030	2639	280	195	1912	1600	2268	143	112	1453	397	117	1977	1348	1331	890	782	575	1871	386	336	131	316	1635	1432	2022	267	408	2270	1447	1925	1776	1400	1194	2243	1393	1339	1158	583	652	210	184	199	674	517	293	2372	922	914	2728	1182	1693	879	1818	2263	1271	1285	1990	201
