E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2
373	416	93	440	257	159	300	265	81	485	480	61	244	623	65	587	387	53	944	418	155	402	191	59	1810	912	312	263	569	84	296	657	90	653	325	233	314	531	156	393	251	168	161	184	75	438	51	76	3580	91	216	306	61	326	523	86	479	193	40	283	337	129	374	97	95	402	890	54	379	472	68	1070	556	210	548	560	164	156	107	48	353	482	38	549	67	74	195	87	0	226	103	0	0	0	0	0	0	0	0	0	680	458	126	512	415	137	406	454	137	337	333	93	317	264	44	697	335	174	559	266	124	1245	612	236	774	442	316	433	835
2066	2184	514	2395	1239	762	1640	1340	353	2140	2022	258	1413	2774	292	2636	1673	321	4590	2163	811	2203	879	141	5577	3313	1265	1491	2945	492	1388	2824	463	3076	1477	1055	1862	2562	817	2206	1108	775	885	826	468	2929	359	433	15187	388	1357	1607	359	1276	2275	423	2155	978	233	1626	1555	694	2100	738	463	2059	4721	412	1892	2101	282	3425	2134	737	2754	3073	831	850	765	217	1859	2435	196	2327	538	408	853	220	104	927	411	163	208	49	207	145	40	90	102	49	3366	2179	615	2367	2219	618	2053	2434	707	1603	1640	551	1649	1456	162	3482	1543	994	2419	1499	602	5757	3074	1324	3976	2354	1785	2403	3632
3552	4067	930	3781	1832	1334	2909	2379	785	3551	3450	511	2504	4790	523	5462	3171	748	7798	3743	1461	4143	1480	256	7843	4898	1712	2455	4751	860	2503	4495	785	5482	2824	1772	3230	4041	1363	3503	1874	1305	1514	1302	889	4726	650	701	20985	682	2672	3094	798	2428	4277	1014	3831	1773	516	2952	2679	1313	3716	1336	847	4019	8731	766	3288	3537	514	5012	3250	1248	4646	5272	1481	1344	1167	351	2964	3829	346	3926	1044	774	1444	526	315	1669	765	720	865	155	757	521	154	511	423	175	5785	3664	1092	3705	3558	1067	3301	3807	1178	2337	2423	851	2509	2250	283	5644	2690	1690	3744	2517	954	8689	4775	2011	6327	3903	2824	3618	5231
1328	2015	458	1606	802	501	1542	1363	430	1884	1876	240	944	2103	203	4248	2702	593	3245	1660	561	1778	798	106	6280	4215	1367	911	2008	290	791	2073	371	2728	1312	706	909	1402	446	1088	725	488	674	596	391	1494	236	236	8400	263	2585	3284	877	1644	2601	664	1517	921	227	1557	1515	784	2123	804	454	2643	5129	494	1464	1651	222	3306	2137	811	1516	2145	543	545	421	137	1068	1271	103	2334	467	409	911	292	163	2196	996	1773	2279	437	1832	1206	360	1478	842	436	2919	1783	536	1081	1181	314	1247	1326	448	616	614	222	668	666	134	2312	1207	697	1221	837	339	2369	1410	491	2526	1476	1033	1404	1732
2101	3227	728	2480	1391	839	2653	2482	779	3071	3217	467	1504	3309	361	7371	5121	1203	5260	2999	935	3004	1392	187	5362	3662	993	1651	3305	458	1218	3345	688	4534	2347	1241	1383	2163	693	1804	1311	838	1123	1215	671	2214	355	396	13574	412	4877	6175	1690	2975	4406	1248	2597	1553	421	2527	2639	1232	3250	1426	740	4714	9116	860	2254	2752	371	3679	2285	785	2440	3251	889	893	726	222	1574	1886	179	4071	795	718	1615	583	269	3057	1360	3394	4549	879	3536	2424	689	2831	1687	877	5098	3189	936	1588	1857	427	2077	2180	749	888	912	370	918	951	184	3641	2089	1176	1947	1321	613	3255	2074	703	3319	1992	1397	2318	2459
2726	3803	887	3309	1686	1090	3308	3373	1003	3855	4246	605	1947	4004	495	8637	6308	1477	6785	4094	1304	3678	1752	280	3869	2696	746	2160	4299	620	1712	4284	948	5752	3050	1618	1987	3101	1058	2540	1883	1102	1408	1894	908	2891	510	553	17655	568	5757	7189	1886	3578	5210	1555	3504	2074	570	3120	3365	1571	3658	1656	899	5666	10880	1021	2814	3499	467	3667	2234	824	3172	4087	1091	1116	1027	295	2189	2595	276	4993	1064	960	2022	761	370	3072	1347	3648	4977	1027	3898	2691	818	3027	1819	995	6235	4111	1194	2122	2476	615	2549	2876	1032	1272	1257	553	1290	1288	295	4536	2650	1477	2597	1797	847	4498	2849	1050	3837	2451	1683	3004	3399
2394	3325	710	2972	1397	877	2667	2804	785	3269	3834	466	1825	3540	437	6333	4808	1084	5901	3540	1150	3225	1591	233	2799	2080	578	1886	3807	593	1634	3759	845	4941	2559	1424	1900	3189	1026	2522	1866	991	1206	1891	770	2650	482	523	16703	497	4232	4984	1256	3012	4192	1222	3199	1828	495	2410	2965	1369	2963	1360	746	4621	8711	809	2342	2988	425	2788	1681	630	2762	3523	969	991	1005	283	2045	2689	255	4084	950	753	1534	736	318	1897	856	2545	3425	666	2659	1853	567	2077	1289	680	5056	3106	952	1788	2008	509	2017	2314	860	1248	1327	553	1035	1315	301	3505	2088	1137	2370	1665	775	4268	2740	1047	3186	2011	1383	2768	2978
2068	2856	641	2586	1313	792	2264	2532	681	2908	3552	399	1509	2942	384	5829	4337	1006	5182	3053	1091	2732	1454	205	2459	1776	498	1677	3307	549	1458	3279	759	4307	2308	1309	1668	2778	889	2194	1673	860	1045	1683	635	2255	455	448	14373	444	4026	4787	1203	2581	3850	1079	2748	1513	423	2052	2616	1294	2494	1178	653	4249	7604	759	2032	2460	381	2509	1564	578	2436	3136	784	766	905	241	1782	2356	246	3638	920	746	1383	683	322	1817	824	2294	3026	636	2473	1800	543	1901	1246	647	4283	2623	769	1126	1193	314	1510	1629	621	1028	1081	484	911	1113	261	2443	1536	817	1889	1232	604	3416	2202	855	2438	1504	1025	2343	2794
985	1562	230	1299	654	341	1155	1318	300	1344	1909	170	702	1478	200	3407	2410	584	2383	1224	503	1298	729	86	1808	1173	361	744	1511	245	575	1648	291	2018	1214	574	631	1202	345	988	720	359	484	812	304	978	224	178	6393	212	2483	2907	658	1311	2075	513	1206	708	202	1004	1175	649	1184	689	344	2248	4167	381	1035	1138	180	1415	872	341	1085	1396	353	294	397	106	850	881	91	1829	469	379	773	363	167	1198	567	1423	1880	421	1504	1128	330	1287	845	402	2274	1287	393	544	469	136	725	775	265	439	338	157	362	383	95	1311	767	396	715	591	269	1316	840	278	1300	714	505	1137	1447
269	378	80	381	143	95	313	371	107	416	584	39	168	404	57	841	669	160	601	394	136	379	158	0	999	643	192	216	369	67	142	449	89	620	260	162	169	295	75	257	188	102	155	199	92	289	54	54	1692	50	730	810	181	386	601	162	316	185	56	289	346	202	483	249	101	656	1361	110	272	243	60	468	253	112	324	394	100	82	101	36	260	229	0	530	140	91	215	75	53	372	170	449	654	120	436	359	93	335	279	133	638	343	111	108	144	34	196	171	72	114	106	50	108	107	0	392	233	108	202	151	56	360	200	83	375	208	151	316	392
