E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
1419	1853	2158	885	1666	672	1335	2387	2692	1001	1620	1663	2109	2924	2073	1608	1355	1237	2036	1378	1658	2208	1958	1011	2962	1618	2570	1822	2632	3261	1211	2329	1577	1313	594	2818	1161	3348	1383	1462	1704	1384	1086	1846	2044	1922	2646	3840	1752	4171	6119	1769	2765	1797	1732	1938	1151	1149	1343	857	1517	1501	671	1828	891	1389	2396	1756	1089	1832	1924	839	2697	2347	2333	2898	7982	3332	1722	758	1079	965	376	1296	517	2996	1998	1617	1062	1281	646	1207	1094	786	1011	1326	903	1080	2223	2235	685	1322	2473	4826	834	729	3578	1141	1780	2430	1617	1094	2271	1488	2157	789	709	3020	1953	1570	2280	1572	1375	4224	3048	2853	3044	2900	2387	346	3271	1380
2853	2988	1046	1661	2966	1055	2682	4083	5383	1973	2666	2925	3501	5237	3995	3125	2497	2439	3745	2583	3203	4187	3606	1984	5844	3119	5126	3282	5370	6265	2237	4499	2761	2748	1174	5652	2117	5318	2717	2649	3605	2476	2121	3790	3318	3471	4431	7623	3478	8574	12474	3574	4759	3285	3016	3793	2019	1967	2689	1663	2574	2772	1101	3569	1645	2702	4232	3114	2252	3332	3107	1415	5406	4000	4548	5930	13292	6775	3003	1430	2011	1550	776	2248	899	4779	3390	2724	2085	2255	1268	2065	1880	1502	1767	2769	1890	2098	4356	3841	1262	2699	4417	8556	1317	1545	6165	2104	3051	4492	2813	2105	3869	2386	3455	1409	1247	5743	3560	2933	3927	3191	2456	8986	5996	4852	5248	5017	4523	608	5636	2915
5246	5917	1769	2929	4871	1959	4329	8127	8940	3592	4681	4763	6168	8741	6263	6428	5001	4316	6993	5179	5343	7642	6443	3109	9240	5499	8261	5450	8542	9851	3577	6865	4723	4458	2091	8839	4099	10094	4134	4375	5589	4246	3838	6189	5984	6897	8975	11627	5531	13274	19111	6740	8397	5428	5074	6859	3871	3429	4276	2878	4631	4734	2069	5875	3198	4784	7621	5957	3875	5865	5286	2519	9017	6689	7154	9634	22540	10755	5474	2540	3880	2718	1420	3669	1776	8502	5483	4604	3429	3995	2430	4080	3295	2597	3258	4682	3149	3963	8041	7554	2313	4602	8241	16484	2410	2479	11609	3830	5667	8288	5223	3964	6769	3711	6383	2475	1995	9011	6314	4931	7420	5293	4682	12211	9586	8805	9633	8956	7505	1061	10775	4814
7884	8575	2828	4008	7023	2672	6920	12690	14080	5306	7483	7336	9756	14032	9442	10491	8315	7178	11575	8302	8642	10755	9399	4979	13684	7927	12061	9140	13838	15596	5690	11480	7241	7522	3939	14825	6459	14902	6412	7297	9097	6323	5881	9928	8889	10676	13416	18798	9577	21218	22971	10972	13791	8907	8480	10755	5902	5830	7167	4327	7708	7461	3000	9357	4962	7142	12750	9496	6490	8348	7978	3523	13379	10078	10617	15215	22367	17134	7993	3719	6088	4700	2611	5767	2684	11985	8350	6592	5983	7022	3838	6856	5831	4290	5564	8480	5780	6880	13275	12423	4275	8326	13642	23203	3721	3973	17109	5726	8584	12452	8438	5553	9392	5392	8998	3889	3070	14520	10281	8009	11638	8523	7012	17507	13634	12120	14015	14325	11621	1902	16439	7460
10289	10371	3655	5190	8724	3131	9237	15989	16382	6842	9430	8919	12036	16317	11709	13739	11077	9354	14647	10828	10994	13407	11835	6308	15847	9297	13310	11419	17034	18174	7641	14506	8493	9836	5318	17965	7802	16816	7250	9059	11280	7477	7715	12851	10636	13059	16708	21988	11735	23984	23236	15389	17834	11441	11027	14938	7897	7795	9648	5846	9792	9912	3865	12019	6294	8973	16054	12299	8586	9981	8996	3842	16220	11414	11731	18990	21372	20013	9566	5101	9119	7090	3596	7793	3457	12798	9376	6972	7831	9016	5084	8930	7776	5917	7857	11291	7478	9146	18374	16251	6047	11623	18055	24043	4757	4756	20033	7116	9986	15642	10522	6866	9709	6016	10517	5016	3724	17168	12695	9418	14528	11027	8457	18941	15310	13209	17268	16561	13016	2534	20120	8933
10619	10505	3558	5743	8672	3182	9276	16392	15902	7211	10149	9360	12249	15898	11153	14805	12142	9632	14708	11191	10579	13980	12511	6492	13896	8444	11568	10948	16851	17112	7999	14496	8183	10885	5530	16711	7764	15826	6561	8506	10288	6868	7957	12725	10319	12903	15987	21795	11296	24235	23028	15992	19160	12698	11394	15704	8221	8156	10072	6316	10359	10399	4149	12178	6631	8875	16459	13489	8600	9894	8901	3618	15428	11671	11295	18609	21666	18863	9770	5452	10246	8022	3789	7906	3859	11522	8316	6313	7774	8830	5306	9658	8182	6109	8802	12600	8178	10143	20155	16763	6586	12690	19970	24056	4661	4216	19405	7362	9505	15531	10607	6545	8849	5626	10864	5019	3598	17141	12430	8718	14625	11165	8499	17888	13907	12145	15887	15486	11590	2486	19214	8490
9745	9498	3491	6060	8267	2892	8674	14849	13743	6791	10329	8940	11826	14542	10603	13787	11390	8535	14163	9922	10160	13401	11811	6636	12775	7533	9665	10407	15436	16173	7728	14227	7735	10213	5064	15200	7394	14036	6276	7313	9159	6620	7231	12019	9436	11204	15743	19353	10436	23949	23119	14798	17695	13804	11437	14361	7976	8175	9825	6494	10004	9830	4044	11233	6187	8300	15054	12853	8211	9948	8746	3496	15350	11654	11036	17751	22000	16671	9054	5623	9632	8118	3453	7277	3792	10666	8269	6176	7362	7974	4599	8786	8015	5650	9150	11600	7468	9584	19737	16214	6398	12077	19368	23575	4451	4020	16750	7200	8139	13750	10019	6073	7914	5959	10271	4952	3472	15166	11904	7661	13528	10576	8018	16773	12965	11596	15044	13445	9910	2343	17681	8301
8926	9140	3188	6069	7764	2936	8050	13322	12334	6195	9483	8008	10229	12837	9929	12012	9811	7556	12337	8694	8353	12568	10933	5821	11713	6700	8431	9354	14283	14607	7622	12286	7087	10043	4386	13486	6712	13166	5836	6632	7779	6084	6526	10340	8409	10279	14660	16920	8810	21673	22867	13121	14888	11111	10133	12748	7368	7299	8869	6271	8493	8840	3996	10303	5568	7571	13078	11812	7186	9351	8198	3166	13415	11584	10337	17030	23382	15330	8092	5288	8178	7000	2789	6481	3438	9607	7653	6028	6153	6730	4059	7603	7002	4946	8145	10429	6269	8105	16851	13288	5398	10264	16806	23256	3954	3795	13654	6426	6748	13010	9035	5675	7417	5735	9648	4688	3283	14344	10979	7013	12503	9985	7938	15501	12003	10851	13800	12243	9393	2220	16982	7765
4650	5035	1815	3605	4036	1476	4410	7541	6770	3530	5499	4034	5996	7098	4953	7131	5461	3873	6280	4222	4131	7008	5569	3155	7036	3905	4380	4973	7934	8123	4214	7011	4139	6067	2674	7524	4125	7553	3304	3531	5338	3704	3464	6215	4904	5690	8966	10060	5437	13416	13896	7029	7867	5687	6039	6545	4016	3884	4796	3392	4878	4633	2081	5621	3161	4088	8096	6706	4210	5633	4603	1865	8442	6263	6019	9188	13204	7997	4468	2636	4316	3810	1536	3722	1908	6289	4606	3519	3826	3835	2112	4264	3963	2557	4534	5508	3657	4595	9104	6894	2927	5378	8576	13084	1765	2303	6261	2764	2961	7195	5356	3362	4199	3108	5291	2628	1935	8249	6671	4297	7390	5364	4216	9263	6141	5292	8282	7309	5029	1193	9318	4230
387	515	127	212	199	97	207	521	402	186	452	249	379	488	331	563	361	249	436	246	224	659	383	167	485	327	302	181	484	608	271	688	218	412	93	332	275	608	168	256	388	227	285	566	352	338	752	466	389	983	1022	460	689	257	362	481	211	334	424	198	406	410	152	431	316	314	637	619	314	463	520	115	691	463	294	556	733	548	318	182	243	208	59	336	150	602	256	179	334	226	98	437	247	0	335	420	328	378	636	514	205	453	517	889	0	62	418	208	115	579	372	173	429	230	554	164	197	690	492	192	663	431	194	855	316	332	636	421	249	0	757	274
