E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B15_1	E12B15_2	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_2	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B7_1	E12B7_2	E12B7_3	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L3_3	E12L4_1	E12L4_2	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P7_1	E12P7_2	E12P8_1	E12P8_2	E12P9_2	E12X1_1	E12X1_2	E12X1_3
784	424	733	1250	728	762	579	1059	1245	220	383	957	1312	695	953	917	828	1034	805	698	426	847	1829	1938	1625	624	1087	1246	1049	885	1947	1088	1552	957	2091	859	571	939	801	667	1123	1589	1700	2290	924	1411	1603	956	714	616	771	777	915	1158	582	931	779	876	767	1136	651	1013	991	559	935	581	954	944	1269	918	1183	1322	502	887	935	1070	593	982	382	214	510	1037	876	556	513	752	657	489	870	372	944	480	334	258	425	233	541	1678	1122	1817	2217	2496	891	654	1087	1407	1233	994	667	829	1738	1031	943	1451	1394	3804	2445	1552	831	911	1238
2087	1201	2196	3662	2015	2021	1692	2110	3441	581	1037	2706	3377	1925	2613	2674	2353	2880	2324	2062	1322	2718	3782	3440	3856	1783	2762	3676	2790	2251	4621	2601	3794	2582	5168	2301	1669	2964	2039	1702	2948	3886	3529	3775	2750	3732	3630	2150	1966	1984	2122	2127	2483	3149	1765	2749	2124	1644	2488	2844	1788	2610	2588	1665	2527	1708	2529	2546	3338	2657	2710	3806	1349	1432	2454	2769	1525	2792	894	510	1349	2996	2531	1522	1343	2246	1729	1364	2245	1170	2284	1379	925	566	1255	762	1511	3621	2885	3282	3604	4655	2459	1651	2894	3234	2011	2931	2099	2076	3830	2793	2590	4102	3632	6064	3990	3482	2314	2381	3069
4606	3024	5136	9189	4259	4413	4188	4665	8681	1287	2402	5458	7174	4144	6303	6730	5228	7211	5274	4957	2955	6153	7276	5405	7750	4206	6257	8160	6118	4731	8414	6029	8224	5488	11902	5107	3870	5902	4280	3819	6922	8277	7040	7719	7043	7971	7199	5008	4524	4195	5359	4899	6213	6505	4094	6971	4922	3831	6079	6825	4408	6603	6019	3967	6096	4001	5903	5958	8320	6368	6054	7923	2961	2895	3844	6449	3409	5924	2107	1122	3025	7274	6330	3450	2909	5004	4018	3235	5066	2893	5408	3416	2283	1267	3290	2026	3556	7821	6952	6187	6874	7675	5493	3967	6593	6780	3960	7270	4769	4587	8477	6479	6067	8960	8547	10688	7239	7916	5574	5074	7233
8697	5968	9433	16699	7965	8813	8876	8943	15632	2178	4649	11363	13086	7345	12258	11793	9350	13463	10019	9328	6018	11868	13381	9120	14773	8010	10624	15204	10441	8677	14657	12690	14907	9809	19778	10349	7524	12054	7612	6715	13239	15309	11556	13849	13596	13699	12489	9694	7907	8573	11112	9110	12019	11485	7236	12376	9440	7499	10941	12887	8295	12365	11350	8078	12067	7845	12257	11401	15175	12492	11476	14354	5403	5689	7265	11644	6774	11231	3638	2349	5823	13843	12362	6898	5251	9411	6957	5388	9879	5201	10020	6049	4487	2118	6685	3989	6881	13949	13318	10785	11963	14629	10550	7823	12717	11966	7693	13589	9700	9342	15739	12447	12397	15920	16051	17466	12119	15266	10213	8131	13129
12239	9209	13609	23438	12013	13008	14367	14016	22623	3870	7554	16893	19569	11346	17845	19472	15174	19890	15311	13719	9421	18230	19267	13038	21903	12278	15688	22490	13994	11976	19231	19668	19665	12678	24797	15579	11627	17556	11387	10260	18766	21881	16436	19683	18727	20574	17747	15505	12920	13912	18287	14092	18969	17319	11273	19152	15094	11869	17226	18881	12691	18542	18169	12857	17452	12273	18202	16444	22428	18143	17050	20666	8145	8794	10606	17099	10080	16220	5658	4164	8867	21475	19366	10931	9046	15231	11168	9013	15207	9617	16914	11831	7778	4064	12093	7643	12208	20275	20783	14539	16650	19149	15476	12199	18066	16745	11501	18881	14561	14323	22376	19019	18978	21569	22532	23477	17316	22050	15004	12594	19005
13137	11065	15622	25566	13491	15188	16841	16659	25867	5039	9108	20469	21509	13480	20810	24697	18561	23521	18172	16292	11052	20562	21133	14454	23560	14796	18131	24445	15118	12669	21303	23291	19390	12885	24387	17477	13692	18872	12870	11605	21231	24629	18843	21648	20841	22908	19472	19290	16570	17748	22413	17299	23142	19746	13675	21482	18296	14406	19887	22381	15334	21147	21699	15450	19366	14402	20549	18581	25181	20702	18976	22555	9572	9637	12529	19308	11023	18053	7080	5413	9826	25609	22839	12814	11171	18433	14078	12009	19504	12557	22840	16652	10863	5437	16156	10883	16257	24430	24432	15341	17073	21270	17165	14617	20556	17655	12444	19590	15860	16380	24301	21991	21526	22503	23540	25265	19282	24224	17267	14595	21470
11574	10528	13789	23220	12334	13594	15776	16035	23399	4955	8527	18647	18445	12608	18676	24333	18579	21664	16712	15570	9952	19081	17786	12927	20864	13792	16665	21183	12958	11079	18434	21996	16020	10861	20351	16197	12010	16200	11361	10401	18521	22522	16659	18038	18326	20303	16889	19644	16862	18395	21492	17361	22391	17775	12908	20036	17804	14225	18702	20618	14371	19896	20927	14701	17304	13000	17967	16725	22576	18921	16927	20255	9191	8404	11291	17201	9587	15385	6974	5261	9045	23689	20271	11838	10939	17620	14900	12829	19524	14141	24587	17880	11129	5969	18197	12065	18317	23419	22613	12710	14649	16941	15003	14230	17757	14437	10062	15158	13526	14755	20718	20208	20470	18924	19662	22097	17250	21167	15410	12955	18966
7162	6874	8497	14313	7875	8699	9584	10885	16038	3616	5601	12495	11020	8671	11654	17419	12769	13821	10997	10308	6342	11584	10451	7688	11960	8948	10669	12639	8068	7069	11023	14896	9474	6741	13123	10208	7504	9053	7060	6616	11068	13781	10107	10057	10803	13260	9924	13965	12400	12783	14865	12362	15281	11354	8324	12316	12011	9878	11564	13076	9457	12192	13786	9700	11081	8047	10198	10212	13824	11852	10583	11299	6354	4864	7360	10049	5422	8688	4695	3365	5606	15335	12272	7806	7406	11693	11368	9597	14631	10812	19123	13499	8541	4944	14146	9386	14286	15777	15205	6475	8544	9325	9227	9580	10291	7720	5188	6806	7818	9320	12242	13204	13064	10521	11111	13330	10295	12483	9413	8552	11682
3125	2851	3024	5559	3109	3061	2827	4991	6312	1593	2533	4766	3970	3549	4829	7523	5297	5479	4540	4075	2608	4130	4462	3395	4502	3397	4597	4749	3186	3464	4823	6118	4383	3148	6027	4220	2914	3192	2864	2824	4163	5768	4992	3959	4701	5871	3863	5756	5469	4900	5954	5195	5638	4730	3316	4540	5107	3987	4375	5152	3819	4560	5577	3954	4974	3411	3614	3544	4707	4927	4542	4396	2493	1956	2935	4191	2075	3262	1879	1251	1921	5963	4305	3029	2908	4167	5051	3844	5934	5281	8462	5542	3783	2342	6248	4474	6460	6852	6388	2940	3801	3803	3849	4061	3750	2988	1974	1985	3391	3475	4451	5946	5386	4807	4729	6048	4108	5117	3503	4072	4528
680	641	631	1589	895	655	250	1189	1384	391	762	1070	910	1077	1173	2022	1664	1574	1027	837	797	948	1174	831	896	824	1238	836	950	1114	1174	1564	876	927	1652	1034	587	794	819	835	830	1285	1181	852	1065	1791	998	1356	1373	1100	1662	1132	1318	1302	1001	1023	1326	1053	934	1269	1186	1133	1572	1095	1424	851	791	963	876	1135	1390	1047	711	602	684	1185	455	727	543	363	380	1559	865	724	819	850	1204	900	1386	1573	2559	1605	1052	665	1748	1375	1932	1593	1773	701	881	879	1121	1066	767	813	520	288	1043	866	773	1682	1318	1542	1035	1945	849	1414	804	1073	1249
